sephora.id:INTEGER,sephora.variation_value:TEXT,sephora.display_name:TEXT,sephora.brand_name:TEXT,sephora.sku_size:TEXT,sephora.list_price:TEXT,sephora.product_url:TEXT
0,1.7 oz Eau de Parfum Spray,Rosa Nobile,Acqua Di Parma,1.7,120,/rosa-nobile-P388670
1,1.7 oz Eau de Cologne Spray,Colonia,Acqua Di Parma,1.7,96,/colonia-P163604
2,2.5 oz Eau de Toilette Spray,Blu Mediterraneo Mandorlo Di Sicilia,Acqua Di Parma,2.5,98,/blu-mediterraneo-mandorlo-di-sicilia-P307803
3,3.4 oz Eau de Cologne Concentr&#233;e ,Colonia Oud,Acqua Di Parma,3.4,210,/colonia-intensa-oud-P377678
4,2.5 oz Eau de Toilette Spray,Blu Mediterraneo Bergamotto Di Calabria,Acqua Di Parma,2.5,98,/blu-mediterraneo-bergamotto-di-calabria-P307802
5,1.7 oz Eau de Cologne Spray,Colonia Essenza,Acqua Di Parma,1.7,102,/colonia-essenza-P269110
6,1.7 oz Eau de Parfum Spray,Magnolia Nobile,Acqua Di Parma,1.7,120,/magnolia-nobile-P252213
7,1.7 oz Eau de Cologne Spray,Colonia Intensa,Acqua Di Parma,1.7,96,/colonia-intensa-P200313
8,3.4 oz Eau de Cologne Spray,Colonia Leather,Acqua Di Parma,3.4,210,/colonia-leather-P387145
9,5 oz Eau de Toilette Spray,Blu Mediterraneo Arancia Di Capri,Acqua Di Parma,5,144,/blu-mediterraneo-arancia-di-capri-P375388
10,,Colonia Bath and Shower Gel,Acqua Di Parma,6.7,51,/colonia-bath-shower-gel-P380569
11,,Colonia Deodorant,Acqua Di Parma,2.7,38,/colonia-deodorant-P380571
12,Cream,Rosa Nobile Velvety Body Cream,Acqua Di Parma,5.25,92,/null-P388672
13,,Colonia Body Cream,Acqua Di Parma,5,74,/colonia-body-cream-P380568
14,2.5 oz Eau de Toilette Spray,Blu Mediterraneo Mirto Di Panarea,Acqua Di Parma,2.5,98,/blu-mediterraneo-mirto-di-panarea-P307804
15,4.2 oz Eau de Toilette Spray,Acqua Nobile Iris,Acqua Di Parma,4.2,174,/acqua-nobile-iris-P378875
16,1.7 oz Eau de Parfum Spray,Gelsomino Nobile,Acqua Di Parma,1.7,120,/gelsomino-nobile-P298761
17,2.5 oz Eau de Toilette Spray,Blu Mediterraneo Ginepro di Sardegna ,Acqua Di Parma,2.5,98,/blu-mediterraneo-ginepro-di-sardegna-P386169
18,2.5 oz Eau de Toilette Spray,Blu Mediterraneo Fico Di Amalfi,Acqua Di Parma,2.5,98,/blu-mediterraneo-fico-di-amalfi-P307801
19,Balm,Collezione Barbiere After Shave Balm,Acqua Di Parma,3.4,76,/collezione-barbiere-after-shave-balm-P387149
20,Scrub,Collezione Barbiere Facial Cleansing Scrub,Acqua Di Parma,5,52,/collezione-barbiere-facial-cleansing-scrub-P387159
21,Cream,Collezione Barbiere Shaving Cream,Acqua Di Parma,4.4,72,/collezione-barbiere-shaving-cream-P387147
22,,Colonia Talcum Powder,Acqua Di Parma,3.5,50,/colonia-talcum-powder-P380567
23,1.7 oz Eau de Parfum Spray,Profumo,Acqua Di Parma,1.7,236,/profumo-P252214
24,Oil,Collezione Barbiere Shaving Oil,Acqua Di Parma,1,58,/collezione-barbiere-shaving-oil-P387154
25,After Shave Balm,Colonia Intensa After Shave Balm,Acqua Di Parma,3.4,76,/colonia-intensa-after-shave-balm-P306826
26,1.7 oz Eau de Cologne Spray,Colonia Assoluta,Acqua Di Parma,1.7,96,/colonia-assoluta-P163624
27,4.2 oz Eau de Toilette Spray,Acqua Nobile Gelsomino,Acqua Di Parma,4.2,174,/acqua-nobile-gelsomino-P378877
28,4.2 oz Eau de Toilette Spray,Acqua Nobile Magnolia,Acqua Di Parma,4.2,174,/acqua-nobile-magnolia-P378876
29,Body Lotion,Blu Mediterraneo - Fico Di Amalfi Body Lotion,Acqua Di Parma,6.7,73,/blu-mediterraneo-fico-di-amalfi-body-lotion-P306812
30,Body Lotion,Blu Mediterraneo - Mandorlo Di Sicilia Body Lotion,Acqua Di Parma,6.7,73,/blu-mediterraneo-mandorlo-di-sicilia-body-lotion-P306813
31,Body Cream,Gelsomino Nobile Body Cream,Acqua Di Parma,5.25,92,/gelsomino-nobile-body-cream-P306843
32,2.5 oz  Eau de Parfum Spray,Iris Nobile Sublime,Acqua Di Parma,2.5 oz ,148,/iris-nobile-sublime-P376827
33,,Iris Nobile,Acqua Di Parma,1.7,120,/iris-nobile-P379225
34,,Iris Nobile Luminous Body Cream,Acqua Di Parma,5.25,92,/iris-nobile-bath-body-collection-P306853
35,Sublime Body Cream,Magnolia Nobile Sublime Body Cream,Acqua Di Parma,5.25,92,/magnolia-nobile-sublime-body-cream-P306862
36,,Blu Mediterraneo Arancia Di Capri Body Lotion,Acqua Di Parma,6.7,73,/P307800
37,,Blu Mediterraneo Arancia Di Capri Body Lotion,Acqua Di Parma,6.7,73,/blu-mediterraneo-arancia-di-capri-body-lotion-P373501
38,,Blu Mediterraneo Bergamotto Di Calabria Body Lotion,Acqua Di Parma,6.7,73,/blu-mediterraneo-bergamotto-di-calabria-body-lotion-P373503
39,Body Lotion,Blu Mediterraneo Ginepro di Sardegna Body Lotion,Acqua Di Parma,6.7,73,/blu-mediterraneo-ginepro-di-sardegna-body-lotion-P386173
40,,Blu Mediterraneo Mirto Di Panarea Body Lotion,Acqua Di Parma,6.7,73,/blu-mediterraneo-mirto-di-panarea-P373505
41,Cream,Collezione Barbiere Revitalizing Face Cream,Acqua Di Parma,1.7,76,/collezione-barbiere-revitalizing-face-cream-P387157
42,Cream,Collezione Barbiere Soft Shaving Cream,Acqua Di Parma,2.5,44,/collezione-barbiere-soft-shaving-cream-P387152
43,,Colonia - Collezione Barbiere Gel,Acqua Di Parma,5,45,/colonia-collezione-barbiere-gel-P380530
44,4 oz,Oil Treatment,Agave,4,40,/oil-treatment-P378709
45,,Restorative Hydrating Mask,Agave,8.5,38,/restorative-hydrating-mask-P388043
46,,Smoothing Shampoo,Agave,8.5,25,/smoothing-shampoo-P378711
47,,Smoothing Conditioner,Agave,8.5,25,/smoothing-conditioner-P378710
48,,Revitalizing Shine Spray,Agave,3.9,26,/revitalizing-shine-spray-P388042
49,,Agave Vapor Infusion,Agave,4,20,/agave-vapor-infusion-P384769
50,,Genius Cream,Algenist,2,110,/genius-cream-P384537
51,,Genius Ultimate Anti-Aging Eye Cream,Algenist,0.5,72,/genius-ultimate-anti-aging-eye-cream-P388262
52,1 oz,Retinol Firming & Lifting Serum,Algenist,1,98,/retinol-firming-lifting-serum-P379027
53,,Firming & Lifting Eye Gel,Algenist,0.5,68,/firming-lifting-eye-gel-P304007
