amazon.id:INTEGER,amazon.productTitle:TEXT,amazon.brand:TEXT,amazon.priceblock_ourprice:TEXT,amazon.url:TEXT
0,Helia-D Age Control - Rejuvenating Day Cream,Helia-D,"$21.90",B008CF3G4W.html
1,"Habit Rouge Cologne Spray by Guerlain, 3.4 Ounce",Guerlain,"$48.85",B0017LW7AC.html
2,Yves Saint Laurent L'Homme 2.6 oz / 75 g Alcohol Free Deodorant Stick,Yves Saint Laurent,"$28.50",B000S1NQTI.html
3,Got 2B Oil-Licious Triple Oil Styling Oil 4 oz. (Pack of 6),GOT 2B,"$41.99",B00BSE39ZA.html
4,Blinc Eyebrow Mousse Black,Blinc Eye Care,"$19.99",B004GLUSP6.html
5,2-Pack BLISS PRO Beauty Blender Makeup Applicator **ORDER 2 SETS (2 x $9.99) AND RECEIVE A 3RD SET (2 Blenders) FREE!,BLISS PRO,"$9.99",B00CF3161C.html
6,2pc Set Pink Bobby Jack Monkey Hair Bow Clips,Deal Depot,"$4.99",B00E2UVLLG.html
7,Pack of 5-REVLON ColorBurst Lip Butter Lipstick EVENING OPULENCE by Gucci Westman-Provocative,Revlon,"$29.95",B00MG6YXXG.html
8,"Jurlique Silk Finishing Powder, Rose, 0.35 Ounce",Jurlique,"$36.00",B0016Q2604.html
9,"Estee Lauder Sumptuous Bold Volume Lifting Mascara Black for Women, 0.21 Ounce",Estee Lauder,"$23.99",B001CRX0NO.html
10,Tweezerman Stainless 2000 Thinning Shears ( High Performance Shears For Thinning Thick Hair ),Tweezerman,"$27.00",B00A7P8KBO.html
11,50pcs 3d Nail Art Fimo Canes Sticker Acrylic Uv Nail Art Decoration Tips Kits Rose,Generic,"$2.99",B00FO47PQY.html
12,50pcs 3d Nail Art Fimo Canes Sticker Acrylic Uv Nail Art Decoration Tips Kits Cake,Generic,"$2.99",B00FO4BJ5C.html
13,50pcs 3d Nail Art Fimo Canes Sticker Acrylic Uv Nail Art Decoration Tips Kits Fruit,Generic,"$2.99",B00FO4EI64.html
14,"HandByHand&reg; Multicolor Floral Pattern Kenzo Elastic Stretch Headband Head Wrap, Blue",Hand By Hand,"$6.99",B00MGAUHKA.html
15,Sephora + Pantone Universe 5-Piece Precious Metal 24-Karat Bag &amp; Brush Luxe Collection,Sephora + Pantone Universe,"$45.50",B00H7B1PKO.html
16,Icy Cleansing Bar ( Combination to Oily Skin ) - Ella Bache - Cleanser - 100g/3.5oz,Escada,"$12.81",B004T52G9K.html
17,"Lashfood Browfood Phyto Medic, Natural Eyebrow Enhancer, 0.20 Ounce",LashFood,"$69.99",B00JV8NXGA.html
18,"niceeshop(TM) 32 Pcs Professional Cosmetic Makeup Brush Set Kit with Synthetic Leather Case,Black",niceEshop,"$14.99",B0067F8BBM.html
19,"KOREAN COSMETICS, AmorePacific_HERA, HERA HD FIX FOUNDATION #NO21Natural Beige SPF 15/PA + (30m, Cover Foundation, HD, continuous)[001KR]",HERA,"$45.00",B00A34QD2C.html
20,Vivo Per Lei Green Diamond Collection (New Line) (Collagen Renewal Mask),Vivo Per Lei,"$18.89",B00GCOHBD2.html
21,Anastasia Beverly Hills Pro Pencil - Base 1,Anastasia,"$21.00",B00K0NY7CO.html
22,Hermes D'orange Vert Concentre by Hermes for Men. Eau De Toilette Spray 3.3-Ounces (Limited Edition),Hermes,"$61.25",B0020MM9NM.html
23,DERMAdoctor Wrinkle Revenge rescue &amp; protect eye balm,DERMAdoctor,"$50.00",B0006UHE9O.html
24,"Simplehuman Liquid Antibacterial Hand Soap Refill Pouch (2 Pack), 68 Fluid Ounce Total",simplehuman,"$41.97",B00MC6EO2K.html
25,"Aramis By Aramis for Men, Eau De Toilette Spray, 3.7-Ounce",Aramis,"$36.39",B000CR1WUI.html
26,Chloe 1.oz / 30 ml MINIATURE Perfumed Body Lotion,Chloe,"$9.99",B00D5G0I6M.html
27,Hair Tamer Black &quot;Ergo&quot; Detangling Hair Brush Teezer,Hair Tamer,"$13.00",B00JJ3QMFQ.html
28,"Physicians Formula Happy Booster Glow &amp; Mood Boosting Baked Bronzer, Light Bronzer, 0.33 Ounce",Physicians Formula,"$13.53",B00B4GPKK4.html
29,"Agave Healing Oil Smoothing Conditioner, 8.5 fl. oz.",Cydraend,"$19.79",B00IUHYKRO.html
30,Boyfriend Boyfriend 0.5 oz Eau de Parfum,Trifing,"$40.00",B00J9BLNDO.html
31,"GHD Metallic Collection Professional Styler, Silver, 1 Inch",ghd PROFESSIONAL,"$158.89",B00A6RZVL0.html
32,Acqua Di Parma Colonia Shampoo,Acqua Di Parma,"$40.00",B000I0XT6Y.html
33,"Ikon Men Eau De Toilette Spray Deodorant Stick by Zirh, 2 Count",Zirh,"$23.11",B0028T4F6G.html
34,Acqua Di Parma Blu Mediterraneo Fico Di Amalfi Vitalizing Body Lotion For Women 200Ml/6.7Oz,Acqua Di Parma,"$63.11",B007D61TKO.html
35,Acqua Di Parma Collezione Barbiere Revitalizing Face Cream 50ml/1.7oz,Acqua Di Parma,"$64.04",B00GK4I3XQ.html
36,"Carven Vetiver For Men By Carven  Eau-de-toilette Spray, 1.6-Ounce",Carven,"$24.99",B001KNRJMI.html
37,Acqua Di Parma Collezione Barbiere Revitalizing Eye Treatment - 15ml/0.5oz,Acqua Di Parma,"$50.29",B00GK5H200.html
38,Mustela Stretch Marks Double Action (8 oz),Mustela,"$42.04",B0009MYUI2.html
39,Acqua Di Parma Colonia Assoluta 1.7 oz Eau de Cologne Spray,Acqua Di Parma,"$71.00",B000PXZVB0.html
40,Dolly Girl on The Beach by Anna Sui Womens Body Lotion 6.8 oz,Unknown,"$23.99",B000PY16NG.html
41,Eau de Cartier Concentree for Men by Cartier 100ml 3.3oz EDT Spray,Cartier,"$79.99",B00BOJTAFC.html
42,Cover FX Matte FX Oil Absorbing Powder Medium,Cover FX,"$14.99",B000VWL9NY.html
43,Fast Lash - Lash Lengthening Fibers,Fast Lash,"$11.99",B000J29AMS.html
44,"Too Faced The Secret to No Makeup Makeup Fresh and Flawless Face Palette, 0.65 Ounce",Too Faced,"$29.99",B00AYCOLMC.html
45,Naruto Anti YU Hot Water Village Headband Akatsuki Hidan,COSPLAY INSHOP,"$4.14",B00BTWQU48.html
46,Algenist Advanced Anti-Aging Repairing Oil Deluxe Mini (.23 oz),Algenist,"$6.96",B00G7TRJGG.html
47,Acqua di Parma Colonia Intensa Oud Eau De Cologne Concentree Spray - 180ml/6oz,Acqua Di Parma,"$234.90",B00JXMCMSE.html
48,New Two Tone Fluffy Healthy Curly Full Wig As Real Hair Black mixed Purple Wigs,COOLGO,"$14.29",B00LIUMWRA.html
49,Yu-Be Moisturizing Cream - Jar Size,YuBe,"$35.00",B000Q7XFY0.html
50,Clairol Nice 'n' Easy Perfect 10 Black 2,Clairol,"$14.99",B001RYNKTQ.html
51,"Escada Cherry In The Air Eau de Toilette Spray for Women, 1.6 Ounce",Escada,"$51.76",B00B8MDYJ8.html
52,"Softsoap Hand Soap, Soothing Aloe Vera, 7.5 Fl Oz",Softsoap,"$1.89",B000VM2O5Q.html
53,Acqua Di Parma Colonia (2.5 oz Shampoo),Acqua Di Parma,"$11.49",B00KRIIICM.html
54,Josie Maran Lavender Mist Calming Lavender Water 4 FL OZ,Josie Maran,"$22.95",B00KRIZ8GQ.html
55,"Max Factor 2000 Calorie Dramatic Volume Mascara Black, 9ml",Max Factor,"$12.95",B001GNBW0W.html
56,Bobbi Brown Bobbi Brown Hydrating Rich Cream Cleanser 4.2 Fl Oz,Bobbi Brown,"$29.00",B005N04LHA.html
57,Ellis Faas Powder-402 Medium,Ellis Faas,"$30.00",B0063I7358.html
58,Acqua Di Parma Assoluta Travel Spray Refills,Acqua Di Parma,"$98.59",B0028SCBBI.html
59,Generic Anna Sui Style Butterfly Set (Middle),Generic,"$12.99",B002SPQ7MU.html
60,"Be Fabulous Gift Set By Preferred Fragrance Contains Impressions of Be Delicious, Be Delicious Fresh Blossom and Be Delicious Night By DKNY&reg;.",Preferred Fragrance,"$24.99",B005EFTOOO.html
61,Acqua Di Parma Colonia Oud Hair &amp; Shower Gel For Men 200Ml/6.7Oz,Acqua Di Parma,"$52.92",B00M1MYQ7I.html
62,Prada Gift Set Prada Infusion D'iris By Prada,Prada,"$63.99",B00M1RQEJG.html
63,Soap And Glory One Heck Of A Blot Super Translucent Mattifying Powder 9g,Soap & Glory,"$21.00",B00BVJJW9O.html
64,Men's Skin - The Art Of Shaving - The 4 Elements Of The Perfect Shave - Unscented (New Packaging) (Pre Shave Oil + Shave Crm + A/S Balm + Brush) 4pcs,The Art of Shaving,"$115.00",B00D58K5GS.html
65,GIVENCHY PLAY FOR HER FOR WOMEN BY GIVENCHY 75ML 2.5OZ,Givenchy,"$49.36",B005DC6784.html
66,Jimmy Choo Eau De Toilette Splash Mini 0.15 Oz / 4.5ml Travel Size,Jimmy Choo,"$4.89",B007F3BLX0.html
67,Hello Kitty Pink Passion EDT Spray 3.4 oz / 100 ml,Hello Kitty,"$27.48",B00A3EZM4M.html
68,"Acqua Di Parma Blue Mediterraneo Mirto Di Panarea Eau de Toilette Spray, 2.5 Ounce",Acqua Di Parma,"$85.89",B007D61Z4O.html
69,Acqua Di Parma Blu Mediterraneo Mandorlo Di Sicilia Pampering Body Lotion - 200ml/6.7oz,Acqua Di Parma,"$63.11",B00A3DKNVA.html
70,Pureology Perfect 4 Platinum Shampoo 1.7oz,Pureology,"$7.99",B00JAFNIRS.html
71,Clinique 3 Step system for dry/combination skin gift set- dramatically moisturizing Lotion 125 ml/ lotion 2-200 ml/soap mild 200ml,BB,"$69.49",B003ZKHE6K.html
72,"Issey Miyake Eau de Toilette Spray, L'eau D'issey Pour Homme Sport, 3.3 Ounce",Issey Miyake,"$40.99",B007I01TK0.html
73,Essence Iridescent FOR WOMEN by Narciso Rodriguez - 3.3 OZ EDP Spray,Narciso Rodriguez,"$71.63",B00BOJQOVU.html
74,Dolce &amp; Gabbana Rose The One Shimmer Powder 0.91 oz,Dolce & Gabbana,"$34.50",B002SPXABQ.html
75,Acqua Di Parma Acqua Di Parma Blu Mediterraneo Mirto Di Panarea Body Lotion 6.7 oz,Acqua Di Parma,"$60.61",B007D61U3K.html
76,"Vidal Sasson VS433C Tangle-Free Hot Air Brush Styler and Dryer, 1 Inch",Vidal Sassoon,"$22.70",B000PY17PI.html
77,Vidal Sasson VS505 1875W Fast Dry Turbo Dryer,Vidal Sassoon,"$17.99",B000PXYC6U.html
78,Jean Paul Gaultier Le Male 3 Piece Gift Set for Men,Jean Paul Gaultier,"$65.36",B009RJNDCC.html
79,Narciso Rodriguez 2 Piece Gift Set for Women,Narciso Rodriguez,"$76.95",B00EPB072G.html
80,ARMANI CODE For Men By GIORGIO ARMANI Gift Set,GIORGIO ARMANI,"$79.99",B00J15JFCO.html
81,Cartier Baiser Vole By Cartier For Women Eau De Parfum Spray 3.4 Oz,Cartier,"$57.10",B007342KZO.html
82,Chloe New By Chloe For Women Eau De Parfum Spray 1.7 Oz,Chloe,"$48.99",B002XITZJ4.html
83,Special 1 Pack of 3 - Kerasal Ultra20 Extra Strength Foot Cream ALT85707400121 ALTERNA LLC,KERASAL ULTRA20,"$42.26",B003MWVC5U.html
84,Armani Code By Giorgio Armani For Men. Eau De Toilette Spray 1.7 Ounces,GIORGIO ARMANI,"$52.99",B000C1VWTA.html
85,"Giorgio by Giorgio Beverly Hills for Women, Body Lotion, 6.8-Ounce",Giorgio Beverly Hills,"$23.19",B000C213LQ.html
86,"Seche Vite Dry Fast Top Nail Coat, 0.5 Ounce",Seche,"$4.00",B00150LT40.html
87,"Redken Fresh Curls Shampoo, 10.1 Ounce",Redken,"$19.00",B0011ZZC2E.html
88,"Versace Eau Fraiche Men Gift Set (Eau De Toilette Spray, Perfumed Bath and Shower Gel)",Versace,"$53.95",B004AQ4VIC.html
89,"Essie Matte About You, 0.5-Ounce",essie,"$5.88",B002G3K1TY.html
90,"Bulgaria Omnia Crystalline Eau de Toilette Perfume Spray for Women, 2.2 Fluid Ounce",BVLGARI,"$39.95",B001RVKB9G.html
91,Clarins Skin Illusion Foundation SPF 10 107 Beige,Clarins,"$39.18",B005IASKVI.html
