pairId:INTEGER,tableA.id:INTEGER,tableA.title,tableA.price:FLOAT,tableA.brand:TEXT,tableA.weight,tableA.size,tableB.id:INTEGER,tableB.title,tableB.price:FLOAT,tableB.description,tableB.variation_size,tableB.size
445,1,fiber one honey clusters cereal  14.25 oz,3.98,Fiber One,14.25,NA,445,barbara's bakery high fiber cereal  original 12 oz,8.74,barbara's bakery high,12,NA
3341,1,fiber one honey clusters cereal  14.25 oz,3.98,Fiber One,14.25,NA,3341,chex cereal  honey nut  13.8 oz,12.79,chex cereal ,13.8,NA
5385,2,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,1220,kellogg's special k cereal bar  strawberry  .81 oz  12/box,15.48,kellogg's special k,81,NA
5744,2,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,1579,special k cereal bar  strawberry;blueberry  .81 oz  12/box,16.98,special k cereal,81,NA
5802,2,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,1637,kellogg's special k red berries cereal 14.7 oz,9.95,kellogg's special k,14.7,NA
5945,2,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,1780,kellogg's special k cereal  vanilla almond  12.4 ounce (pack of 12),59.99,kellogg's special k,12.4,12.0
7150,2,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,2985,special k cereal bar  strawberry  .81 oz  12/box,12.81,special k cereal,81,NA
7580,2,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,3415,kellogg's special k cereal bars hazelnut & almond (5x21g),7.19,kellogg's special k,NA,NA
7920,2,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,3755,special k cereal  chocolatey delight  13.4 oz,8.97,special k cereal,13.4,NA
8789,3,cascadian farm organic oats and honey granola  16 oz,3.0,Cascadian Farms,16,NA,459,cascadian farm organic granola  oatmeal rasin 6.24 oz. (case of 12),79.51,cascadian farm organic,6.24,NA
10230,3,cascadian farm organic oats and honey granola  16 oz,3.0,Cascadian Farms,16,NA,1900,cascadian farm organic granola bars  oats and cocoa crunchy  7.1 oz,10.39,cascadian farm organic,7.1,NA
10712,3,cascadian farm organic oats and honey granola  16 oz,3.0,Cascadian Farms,16,NA,2382,cascadian farm organic crunchy granola bars  peanut butter  7.1 ounce,5.8,cascadian farm organic,7.1,NA
11354,3,cascadian farm organic oats and honey granola  16 oz,3.0,Cascadian Farms,16,NA,3024,cascadian farm organic peanut butter chip chewy granola bars  7.4 oz,10.19,cascadian farm organic,7.4,NA
11764,3,cascadian farm organic oats and honey granola  16 oz,3.0,Cascadian Farms,16,NA,3434,cascadian farm organic fruitful o's cereal  10.19 oz,13.15,cascadian farm organic,10.19,NA
11766,3,cascadian farm organic oats and honey granola  16 oz,3.0,Cascadian Farms,16,NA,3436,cascadian farm chocolate chip organic chewy granola bars  7.4 oz,13.98,cascadian farm chocolate,7.4,NA
23313,6,go raw granola 1lb pack of 6,85.52,Go Raw,NA,6.0,2488,go raw 100% organic bars variety pack of 12,16.95,go raw 100%,NA,12.0
23831,6,go raw granola 1lb pack of 6,85.52,Go Raw,NA,6.0,3006,go raw live granola bar (10x1.8 oz.),-1.0,go raw live,1.8,NA
31029,8,kellogg's pop-tarts frosted strawberry & frosted brown sugar cinnamon toaster pastries  48 count  86.2 oz,9.98,Kellogg's Poptarts,86.2,NA,1874,kellogg's pop tarts frosted brown sugar cinnamon  12 count (pack of 3),14.99,kellogg's pop tarts,NA,3.0
50427,13,great value corn flakes cereal  18 oz,-1.0,Great Value,18,NA,447,great value chewy fiber bars  5-1.4 oz (40g),14.0,great value chewy,1.4,NA
58715,15,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,405,annie's organic peanutty granola bars 6.9 oz (pack of 6),33.35,annie's organic peanutty,6.9,6.0
58748,15,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,438,nature's path organic optimum slim 14.0 oz (pack of 6),52.56,nature's path organic,14.0,6.0
59158,15,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,848,skout  organic apple - cinnamon trailbar 1.8 oz (pack of 12),27.33,skout  organic,1.8,12.0
