id:INTEGER,title,authors,date,edition,publisher,isbn-13,language,series,age range,pages,lexile
1434,Managing and Mining Graph Data  ,Charu C. Aggarwal;Haixun Wang;,2010/02/19,2010,Springer,9781441960443,English,Advances in Database Systems (Book 40),,600,
2505,Oracle Performance Survival Guide: A Systematic Approach to Database Optimization,Guy Harrison;,2009/10/19,1,Prentice Hall,9780137011957,English,,,768,
4791,Applied Microsoft SQL Server 2008 Reporting Services,Teo Lachev;,2008/08/15,,Prologika Press,9780976635314,English,,,768,
3931,Building the Unstructured Data Warehouse. Technics Publications Llc  . 2011.,KRISH KRISHNAN . BY (AUTHOR): W H INMON;,2011,,Technics Publications Llc (US),,,,,,
2344,"Global Perspectives on Design Science Research: 5th International Conference, DESRIST 2010, St. Gallen, Switzerland, June 4-5, 2010. Proceedings ... Applications, incl. Internet/Web, and HCI)",Robert Winter;J. Leon Zhao;Stephan Aier;,2010/06/01,2010,Springer,9783642133343,English,"Lecture Notes in Computer Science / Information Systems and Applications, incl. Internet/Web, and HCI (Book 6105)",,564,
2518,Start Here! Learn Microsoft Visual Basic 2012,Michael Halvorson;,2012/12/16,1,Microsoft Press,9780735672987,English,Start Here,,366,
2734,The Data Warehouse Toolkit: The Complete Guide to Dimensional Modeling 2nd   edition,,2001,,Wiley,,,,,,
1483,Beginning Apache Cassandra Development,Vivek Mishra;,2014/11/05,1,Apress,9781484201435,English,,,250,
4663,Data Warehousing,Reema Thareja;,2009/06/15,,Oxford University Press,9780195699616,English,,,456,
4884,"Exploring: Microsoft Access 2013, Introductory  ",Mary Anne Poatsy;Cynthia Krebs;Eric Cameron;,2013/07/12,1,Prentice Hall,9780133412192,English,Exploring for Office 2013,,336,
111,Database applications-ACCESS relational database tutorial ,E DA WEI;,2000/01/01,,Xiamen University Pub. Date :2010-12-1,9787561537381,Chinese,,,,
3770,Text Mining: Applications and Theory,Michael W. Berry;Jacob Kogan;,2010/05/03,1,Wiley,9780470749821,English,,,222,
2197,Fundamentals of Relational Database Management System,S. SUMATHI;,,,,9788184890099,English,,,,
1006,A Course in In-Memory Data Management: The Inner Mechanics of In-Memory Databases,Hasso Plattner;,2014/06/11,2nd ed. 2014,Springer,9783642552694,English,,,312,
4345,Sams Teach Yourself SQL in 24 Hours  ,Ryan Stephens;Ron Plew;Arie D. Jones;,2011/05/23,5,Sams Publishing,9780672335419,English,Sams Teach Yourself,,504,
618,data warehousing and data mining,SU XIN NING . ( DENG ) BIAN ZHU;,1991,,Tsinghua University Press,9787302126485,,,,,
1457,Microsoft Access 2010 VBA Programming Inside Out,Andrew Couch;,2011/07/25,1,Microsoft Press,9780735659872,English,Inside Out,,736,
1920,Database Design Essentials for Business Custom Devry,Frost Graver;,2008,,Pearson custom,9780536501684,,,,,
477,Mastering SQL Server 2008,Michael Lee;Gentry Bieker;,2009/01/20,,Sybex,9780470289044,English,,,792,
593,"Holonic and Multi-Agent Systems for Manufacturing: First International Conference on Industrial Applications of Holonic and Multi-Agent Systems, ... / Lecture Notes in Artificial Intelligence)",Vladimir Marik;Duncan McFarlane;Paul Valckenaers;,2003/08/18,2003,Springer,9783540407515,English,Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence (Book 2744),,328,
4927,Designing for the Web: Getting Started in a New Medium,Jennifer Niederst;,1996/01/11,1,O'Reilly Media,9781565921658,English,,,180,
2384,Visual Basic6 Database Programming,John W. Fronckowiak;David J. Helda;,1998/12/28,,Wiley,9780764532542,English,,,1032,
4545,Oracle PL/SQL by Example  ,Benjamin Rosenzweig;Elena Rakhimov;,2008/08/25,4,Prentice Hall,9780137144228,English,,,768,
3802,Multimedia Data Mining and Knowledge Discovery,Valery A. Petrushin;Latifur Khan;,2006/12/15,1st Edition.,Springer,,English,,,552,
215,Grouping Multidimensional Data: Recent Advances in Clustering,Jacob Kogan;Charles Nicholas;Marc Teboulle;,2005/12/16,2006,Springer,9783540283485,English,,,268,
5065,How to Set-Up and Maintain a Web Site  ,Lincoln D. Stein;,1996/12/21,2,Addison-Wesley Professional,9780201634624,English,,,816,
1402,Google BigQuery Analytics,Jordan Tigani;Siddartha Naidu;,2014/06/09,1,Wiley,9781118824825,English,,,528,
993,"Real-Time and Embedded Computing Systems and Applications: 9th International Conference, RTCSA 2003, Tainan, Taiwan, February 18-20, 2003. Revised Papers  ",Jing Chen;Seongsoo Hong;,2004/05/21,,Springer,9783540219743,English,Lecture Notes in Computer Science (Book 2968),,626,
3188,Soft Sensors for Monitoring and Control of Industrial Processes  ,Luigi Fortuna;Salvatore Graziani;Alessandro Rizzo;,2006/12/07,2007,Springer,9781846284793,English,Advances in Industrial Control,,271,
4664,Algorithms in Ambient Intelligence  ,Wim Verhaegh;Emile Aarts;Jan Korst;,2010/12/06,Softcover reprint of hardcover 1st ed. 2004,Springer,9789048164905,English,Philips Research Book Series (Book 2),,341,
3075,Building and Maintaining a Data Warehouse,Fon Silvers;,2008/03/18,1,Auerbach Publications,9780736096416,English,,,328,
11,Microsoft SQL Server 2008 Reporting Services,Brian Larson;,2008/09/11,3,McGraw-Hill Osborne Media,9780071548083,English,,,866,
1395,Data Warehouse Management: Das St. Galler Konzept zur ganzheitlichen Gestaltung der Informationslogistik    ,Eitel von Maur;Robert Winter;,2003/05/28,2003,Springer,9783540005858,German,Business Engineering,,361,
4352,Exploring Splunk,David Carasso;,2012/08/06,,CITO Research,9780982550670,English,,,168,
3051,Oracle Web Applications:  PL/SQL Developer's Intro: Developer's Introduction,Andrew Odewahn;,1999/09/11,1st,O'Reilly Media,9781565926875,English,,,256,
4904,Client/Server Computing with Sybase SQL Server,Joe Salemi;,1994/01/01,,Ziff-Davis Press,9781562761875,English,,,236,
3955,Information Processing and Management of Uncertainty: 15th International Conference on Information Processing and Management of Uncertainty in ... in Computer and Information Science),Anne Laurent;Olivier Strauss;Bernadette Bouchon-Meunier;,2014/06/13,2014,Springer,9783319087948,English,Communications in Computer and Information Science (Book 442),,603,
653,Beginning PHP and MySQL: From Novice to Professional  ,W Jason Gilmore;,2010/09/23,4,Apress,9781430231141,English,Expert's Voice in Web Development,,824,
1516,Educational Improvement Through Data Mining and Analytics,Marcella Pietro;,2014/08/25,,Nova Science Pub Inc,9781633213586,English,,,76,
1212,"Security, Audit and Control Features Oracle E-Business Suite, 3rd Edition",Deloitte Touche Tohmatsu Research Team and Isaca;,2010/06/30,,Isaca,9781604201062,English,,,407,
1086,Oracle 10g Developing Media Rich Applications,Lynne Dunckley;Larry Guros;,2006/12/05,1,Digital Press,9781555583316,English,,,520,
1257,Multi-Label Dimensionality Reduction  ,Liang Sun;Shuiwang Ji;Jieping Ye;,2013/11/04,0,Chapman and Hall/CRC,9781439806159,English,Chapman & Hall/Crc Machine Learning & Pattern Recognition,,208,
4276,"Computers, Privacy and Data Protection: an Element of Choice",Serge Gutwirth;Yves Poullet;Paul de Hert;,2011/02/27,2011,Springer,9789400706408,English,,,458,
1772,OLTP: Online Transaction Processing Systems,Billy G. Claybrook;,1992/03,1,Wiley,9780471556688,English,,,384,
384,Mining Amazon Web Services: Building Applications with the Amazon API,John Paul Mueller;Sybex;,2004/01/23,Pap/Cdr,Sybex,9780782143072,English,,,400,
3728,DB2 9 for Developers,Philip K. Gunning;,2008/03/01,1,Mc Press,9781583470718,English,,,550,
4393,The Design and Implementation of a Log-structured file system  ,Mendel Rosenblum;,1994/12/31,1995,Springer,9780792395416,English,The Springer International Series in Engineering and Computer Science (Book 303),,132,
2895,Microsoft Office Inside Out: 2013 Edition,Carl Siechert;Ed Bott;,2013/06/25,1,Microsoft Press,9780735669062,English,Inside Out,,912,
3827,Microsoft® SQL Server® 2008 T-SQL Fundamentals  ,Itzik Ben-Gan;,2008/10/22,1,Microsoft Press,9788178531045,English,Developer Reference,,688,
2209,DB2  High Performance Design and Tuning,Richard A. Yevich;Susan Lawson;,2000/08/24,2,Prentice Hall PTR,9780132037952,English,,,736,
1116,Windows Server 2008 Active Directory Resource Kit,Stan Riemer;Conan Kezema;Mike Mulcare;,2008/03/07,PAP/CDR,Microsoft Press,9780735625150,English,,,827,
3816,"Adaptive Multimedia Retrieval: Retrieval, User, and Semantics: 5th International Workshop, AMR 2007, Paris, France, July 5-6, 2007, Revised Selected ... Applications, incl. Internet/Web, and HCI)",Nozha Boujemaa;Marcin Detyniecki;Andreas Nürnberger;,2008/08/06,2008,Springer,,English,"Lecture Notes in Computer Science / Information Systems and Applications, incl. Internet/Web, and HCI (Book 4918)",,276,
2940,"High Performance Computing - HiPC 2001: 8th International Conference, Hyderabad, India, December, 17-20, 2001. Proceedings  ",Burkhard Monien;Viktor K. Prasanna;Sriram Vajapeyam;,2001/12/05,,Springer,9783540430094,English,Lecture Notes in Computer Science (Book 2228),,438,
3735,Natural Language Processing: Semantic Aspects,Epaminondas Kapetanios;Doina Tatar;Christian Sacarea;,2013/11/14,1,CRC Press,9781466584969,English,,,346,
1935,Beginning ASP.NET Databases using C#,John Kauffman;Kent Tegel;Brian Matsik;,2002/07,,Wrox Press,9781861007414,English,Programmer to Programmer,,400,
195,High Availability Guide for DB2,Chris Eaton;Enzo Cialini;,2004/05/20,1,IBM Press,9780131448308,English,,,256,
1448,Study Guide for 1Z0-062: Oracle Database 12c: Installation and Administration: Oracle Certification Prep,Matthew Morris;,2014/03/10,,ODB Press,9781941404010,English,,,270,
1785,"Governance, Risk, and Compliance Handbook for Oracle Applications",Nigel King;Adil Khan;,2012/08/24,,Packt Publishing,9781849681704,English,,,488,
3604,A System Administrator's Guide to Sun Workstations  ,George Becker;Kathy Slattery;,1991/10/01,1,Springer,9780387972503,English,Sun Technical Reference Library,,288,
1601,"Risk Assessment and Decision Analysis with Bayesian Networks by Fenton, Norman, Neil, Martin  ",,0100,,CRC Press,,,,,,
1493,Mahout in Action,Sean Owen;Robin Anil;Ted Dunning;,2011/10/17,,Manning Publications,9781935182689,English,,,416,
1817,Beginning PHP4 Databases,Andrew Hill;Chris Lea;Christopher  Scollo;,2002/10,,Wrox Press,9781861007827,English,,,568,
3274,"Algorithms and Computation: 11th International Conference, ISAAC 2000, Taipei, Taiwan, December 18-20, 2000. Proceedings  ",D.T. Lee;Shang-Hua Teng;,2001/01/12,,Springer,9783540412557,English,Lecture Notes in Computer Science (Book 1969),,582,
2909,"Geospatial Semantics and the Semantic Web: Foundations, Algorithms, and Applications  ",Naveen Ashish;Amit P. Sheth;,2013/08/06,2011,Springer,9781461429081,English,Semantic Web and Beyond (Book 12),,168,
2069,Data Mining Using Grammar Based Genetic Programming and Applications,Man Leung Wong;Kwong Sak Leung;,2000/02/29,2000,Springer,9780792377467,English,Genetic Programming (Book 3),,214,
445,Mastering Oracle8i,Mark D. Blomber;Mark D. Blomberg;,2001/12/13,,Sybex Inc,9780782129298,English,Mastering,,1200,
115,PHP and MySQL: Create - Modify - Reuse,Timothy Boronczyk;Martin E. Psinas;,2008/05/05,,Wrox,9780470192429,English,,,341,
5192,MongoDB Applied Design Patterns,Rick Copeland;,2013/03/22,1,O'Reilly Media,9781449340049,English,,,176,
3768,"Data Virtualization for Business Intelligence Systems: Revolutionizing Data Integration for Data Warehouses by van der Lans, Rick      ",van der Lans;,0012/08/09,,"Morgan Kaufmann,2012",,,,,,
1898,Access 2007 All-in-One Desk Reference For Dummies,Alan Simpson;Margaret Levine Young;Alison Barrows;,2006/12/26,1,For Dummies,9780470036495,English,,,768,
3658,Persuasive Recommender Systems: Conceptual Background and Implications  ,Kyung-Hyan Yoo;Ulrike Gretzel;Markus Zanker;,2012/08/16,2013,Springer,9781461447016,English,SpringerBriefs in Electrical and Computer Engineering,,59,
1675,Business Database Systems,Thomas Connolly;Carolyn Begg;Richard Holowczak;,2008/11/22,1,Addison-Wesley,9781405874373,English,,,592,
4235,The Data Warehouse Mentor: Practical Data Warehouse and Business Intelligence Insights,Robert Laberge;,2011/05/12,1,McGraw-Hill Osborne Media,9780071745321,English,,,416,
2524,Access 2003 For Dummies,John Kaufeld;,2003/10/10,1,For Dummies,9780764538810,English,,,384,
3050,Beginning Database Design Solutions,Rod Stephens;,2008/11/10,,Wrox,9780470385494,English,,,552,
4295,The Difference Between God And Larry Ellison*: Inside Oracle Corporation,Mike Wilson;,1997/11/05,,William Morrow,9780688149253,English,,,385,
4740,Microsoft Windows 7: Comprehensive  ,Gary B. Shelly;Steven M. Freund;Raymond E. Enger;,2010/08/20,1,Cengage Learning,9781439081037,English,Sam 2010 Compatible Products,,720,
