pairId:INTEGER,walmart.id,amazon.id,label:INTEGER
1,395,1768,1
2,1234,12408,1
3,1341,8497,1
4,1093,13748,1
5,1719,12857,1
6,596,14870,1
7,1906,7801,1
8,595,20844,1
9,1785,11404,1
10,2104,2964,1
11,723,12996,1
12,469,20646,1
13,475,18530,1
14,2156,4510,1
15,1973,3591,1
16,1535,1091,1
17,2508,5039,1
18,932,6452,1
19,524,7631,1
20,1559,4509,1
21,1267,4233,1
22,2122,4433,1
23,538,791,1
24,1386,17537,1
25,1467,13593,1
26,1844,9692,1
27,2244,482,1
28,1154,13246,1
29,1923,20241,1
30,2344,4785,1
31,2041,9551,1
32,1642,11045,1
33,2333,18201,1
34,1479,1767,1
35,1965,14804,1
36,1502,5286,1
37,1440,19655,1
38,2325,20694,1
39,1418,7249,1
40,2141,6966,1
41,314,8871,1
42,425,8535,1
43,2107,1254,1
44,1611,10451,1
45,247,19032,1
46,89,3270,1
47,1316,7784,1
48,499,5578,1
49,1629,6289,1
50,1194,4494,1
51,331,16953,1
52,640,7372,1
53,1008,11117,1
54,2202,17199,1
55,1146,4788,1
56,2409,6809,1
57,1397,2439,1
58,2197,19485,1
59,604,21732,1
60,1937,18141,1
61,2230,14756,1
62,2220,246,1
63,318,1083,1
64,247,13590,1
65,1316,15123,1
66,2232,17840,1
67,1108,12701,1
68,710,1097,1
69,89,18981,1
70,786,10846,1
71,2089,22026,1
72,1317,4507,1
73,1950,17303,1
74,1705,16232,1
75,337,20175,1
76,195,20940,1
77,2015,11741,1
78,2210,17163,1
79,1698,16579,1
80,1695,20398,1
81,2095,15248,1
82,1704,17702,1
83,432,18465,1
84,854,6748,1
85,1721,20523,1
86,2417,5900,1
87,236,21784,1
88,726,16801,1
89,397,7150,1
90,1209,18171,1
91,222,16625,1
92,541,9384,1
93,1164,6863,1
94,2093,13768,1
95,1696,17275,1
96,1288,15034,1
97,1335,8619,1
98,34,11684,1
99,1885,17579,1
100,1529,16917,1
101,1935,9579,1
102,837,8740,1
103,1209,3255,1
104,1719,8846,1
105,1652,13805,1
106,2406,18333,1
107,1281,7638,1
108,2483,19120,1
109,863,5783,1
110,92,17688,1
111,865,11895,1
112,348,14459,1
113,740,11688,1
114,484,9131,1
115,1002,6639,1
116,560,20714,1
117,532,19818,1
118,322,20698,1
119,2365,16367,1
120,1427,10693,1
121,551,19540,1
122,81,6527,1
123,2018,16794,1
124,320,21484,1
125,2354,13477,1
126,1125,15648,1
127,115,9224,1
128,1238,6975,1
129,109,12442,1
130,2005,19521,1
131,1791,19801,1
132,2379,11831,1
133,482,14854,1
134,35,3068,1
135,1483,8567,1
136,1523,21030,1
137,464,11441,1
138,585,966,1
139,1023,12117,1
140,2528,13283,1
141,562,18153,1
142,1143,14278,1
143,646,6761,1
144,1608,13173,1
145,2482,6886,1
146,2408,12312,1
147,1909,20112,1
148,1695,11027,1
149,16,4283,1
150,377,9390,1
151,927,4427,1
152,2517,20310,1
153,1109,10673,1
154,455,1892,1
155,1371,5173,1
156,1578,13541,1
157,2409,5519,1
158,2520,2669,1
159,1263,12735,1
160,1500,4638,1
161,2370,20053,1
162,2441,6644,1
163,1928,19027,1
164,1749,17508,1
165,1360,1904,1
166,206,10518,1
167,858,7348,1
168,1861,5561,1
169,503,11436,1
170,1803,14925,1
171,477,2718,1
172,2543,6691,1
173,150,8944,1
174,1775,18403,1
175,1039,5011,1
176,1110,6058,1
177,1031,10556,1
178,2156,17865,1
179,2015,9457,1
180,1039,19036,1
181,2532,19977,1
182,40,10873,1
183,1844,4901,1
184,2148,2888,1
185,921,3247,1
186,743,8236,1
187,1618,2749,1
188,586,14868,1
189,1300,14224,1
190,1883,10855,1
191,2014,9227,1
192,66,7157,1
193,481,377,1
194,2240,327,1
195,1012,13414,1
196,612,8430,1
197,1178,20812,1
198,192,1244,1
199,545,13665,1
200,462,18390,1
201,738,6760,1
202,543,13160,1
203,1218,5250,1
204,1856,12475,1
205,515,14882,1
206,70,14642,1
207,87,7611,1
208,1892,15305,1
209,2512,21504,1
210,262,5193,1
211,976,13423,1
212,2057,3068,1
213,2200,18139,1
214,2361,7250,1
215,2191,2311,1
216,1682,13298,1
217,194,19881,1
218,1219,5268,1
219,8,1304,1
220,21,16838,1
221,1064,3146,1
222,100,4521,1
223,2267,1617,1
224,1150,9482,1
225,1505,4818,1
226,862,11943,1
227,1718,17262,1
228,2316,9549,1
229,636,7146,1
230,4,4379,1
231,1530,1442,1
232,2217,17495,1
233,2134,8991,1
234,448,13175,1
235,79,12348,1
236,1071,18621,1
237,1770,5883,1
238,1135,8790,1
239,202,6829,1
240,1316,21113,1
241,1401,14944,1
242,811,1481,1
243,2509,11583,1
244,65,8392,1
245,416,17244,1
246,54,17893,1
247,1067,8298,1
248,556,19010,1
249,830,8898,1
250,108,12091,1
251,2211,16561,1
252,1149,16757,1
253,984,18365,1
254,2245,595,1
255,1152,18331,1
256,30,6032,1
257,95,9052,1
258,742,11538,1
259,1237,7616,1
260,376,5042,1
261,1727,18464,1
262,1864,21326,1
263,1395,19581,1
264,87,11618,1
265,261,3778,1
266,2516,4425,1
267,158,16206,1
268,2539,2280,1
269,2410,11715,1
270,1094,5463,1
271,661,10274,1
272,2117,14496,1
273,829,10888,1
274,842,7504,1
275,1657,14170,1
276,1631,10852,1
277,1902,10883,1
278,2217,20676,1
279,2125,11565,1
280,1739,20133,1
281,1945,829,1
282,2227,8671,1
283,42,6817,1
284,2112,3378,1
285,1199,14824,1
286,2472,19284,1
287,1773,2223,1
288,2072,8815,1
289,650,1428,1
290,1066,10601,1
291,497,4497,1
292,2070,21449,1
293,1184,11289,1
294,2296,21435,1
295,2540,10706,1
296,876,4227,1
297,2022,17375,1
298,2026,2699,1
299,1549,9246,1
300,1981,4279,1
301,1894,11121,1
302,1828,2579,1
303,1622,16059,1
304,873,15269,1
305,1633,20071,1
306,918,17318,1
307,590,16954,1
308,1000,4924,1
309,1954,11439,1
310,449,13174,1
311,1210,14110,1
312,1610,2510,1
313,2256,14016,1
314,2027,3204,1
315,1462,3781,1
316,1512,4520,1
317,1321,885,1
318,945,14178,1
319,149,16351,1
320,2193,3145,1
321,1074,2523,1
322,1414,2789,1
323,626,18444,1
324,700,4284,1
325,933,2814,1
326,173,1153,1
327,195,6877,1
328,975,19754,1
329,766,15416,1
330,504,10207,1
331,1415,2486,1
332,1834,9343,1
333,1082,21588,1
334,819,980,1
335,2098,21458,1
336,1120,3472,1
337,2365,17916,1
338,1350,12192,1
339,1985,1121,1
340,2187,13584,1
341,872,20289,1
342,2345,6971,1
343,721,13399,1
344,1072,16127,1
345,1440,1637,1
346,91,21918,1
347,470,19258,1
348,2246,3567,1
349,70,21810,1
350,706,16537,1
351,66,11130,1
352,700,3857,1
353,2073,4160,1
354,600,557,1
355,529,21348,1
356,2413,7234,1
357,1603,19808,1
358,1037,10881,1
359,1734,21813,1
360,833,4598,1
361,2094,16312,1
362,86,9497,1
363,2108,8359,1
364,1211,1325,1
365,121,14796,1
366,216,6602,1
367,1933,9096,1
368,1363,17389,1
369,821,6299,1
370,2038,21544,1
371,599,3627,1
372,2477,6956,1
373,1366,18373,1
374,2034,18680,1
375,2469,10814,1
376,1269,4381,1
377,2089,17264,1
378,55,6573,1
379,1596,13391,1
380,1910,11285,1
381,2497,12025,1
382,185,2960,1
383,417,19476,1
384,2423,8664,1
385,145,7971,1
386,2053,6287,1
387,1851,17489,1
388,2238,1697,1
389,414,285,1
390,1474,3251,1
391,1940,20178,1
392,1249,16299,1
393,2142,11049,1
394,1969,10525,1
395,303,16808,1
396,2124,1795,1
397,888,12784,1
398,951,15943,1
399,1030,16792,1
400,390,10544,1
401,1326,10508,1
402,228,2203,1
403,1253,9636,1
404,2524,10366,1
405,1318,20507,1
406,785,12734,1
407,1348,12432,1
408,804,4122,1
409,2260,14835,1
410,531,18532,1
411,1084,20645,1
412,936,14801,1
413,2502,4363,1
414,160,5665,1
415,770,6363,1
416,2225,14687,1
417,2140,102,1
418,338,6116,1
419,578,19368,1
420,2218,19468,1
421,812,454,1
422,2274,5256,1
423,1989,2477,1
424,679,8963,1
425,1485,15559,1
426,470,2721,1
427,1658,16333,1
428,94,8351,1
429,1543,10128,1
430,962,14318,1
431,2060,5735,1
432,20,17430,1
433,2040,7444,1
434,1142,9254,1
435,1863,15435,1
436,1247,17192,1
437,1869,4495,1
438,760,8382,1
439,726,16278,1
440,223,17535,1
441,2550,19120,1
442,1667,6195,1
443,903,6662,1
444,1550,18949,1
445,724,1690,1
446,2150,4785,1
447,904,16990,1
448,282,7825,1
449,383,12583,1
450,1469,2294,1
451,226,12628,1
452,1452,4720,1
453,1910,20494,1
454,323,9991,1
455,1179,18154,1
456,325,8520,1
457,2419,7680,1
458,1592,3206,1
459,548,9296,1
460,174,1250,1
461,1964,6962,1
462,1209,16936,1
463,361,19151,1
464,2463,8176,1
465,2137,19007,1
466,785,21197,1
467,1814,1608,1
468,1814,3254,1
469,16,17365,1
470,513,9061,1
471,1642,15010,1
472,379,21691,1
473,1339,17544,1
474,578,21737,1
475,512,1393,1
476,2184,10974,1
