pairID:INTEGER,A.id:TEXT,B.id:TEXT,label:INTEGER
1,3985002,3985002#eBags,1
2,4217002,4217002#eBags,1
3,5347115,5347115#eBags,1
4,8245516,8245516#eBags,1
5,8586825,8586825#eBags,1
6,9193948,9193948#eBags,1
7,3377768,3377768#eBags,1
8,4217013,4217013#eBags,1
9,4217014,4217014#eBags,1
10,9447294,9447294#eBags,1
11,3356833,3356833#eBags,1
12,3377763,3377763#eBags,1
13,3377767,3377767#eBags,1
14,3356835,3356835#eBags,1
15,8586819,8586819#eBags,1
16,8829633,8829633#eBags,1
17,9225287,9225287#eBags,1
18,9225291,9225291#eBags,1
19,8586826,8586826#eBags,1
20,9225276,9225276#eBags,1
21,4805973,4805973#eBags,1
22,9225280,9225280#eBags,1
23,9225292,9225292#eBags,1
24,4216995,4216995#eBags,1
25,9875796,9875796#eBags,1
26,9225273,9225273#eBags,1
27,9225293,9225293#eBags,1
28,3356836,3356836#eBags,1
29,3371668,3371668#eBags,1
30,4217000,4217000#eBags,1
31,8586822,8586822#eBags,1
32,9225274,9225274#eBags,1
33,4217003,4217003#eBags,1
34,8586821,8586821#eBags,1
35,9225275,9225275#eBags,1
36,9225289,9225289#eBags,1
37,3985006,3985006#eBags,1
38,3356838,3356838#eBags,1
39,5996481,5996481#eBags,1
40,9721996,9721996#eBags,1
41,5996470,5996470#eBags,1
42,9863777,9863777#eBags,1
43,4217012,4217012#eBags,1
44,9225288,9225288#eBags,1
45,3356832,3356832#eBags,1
46,3356840,3356840#eBags,1
47,9208106,9208106#eBags,1
48,9225277,9225277#eBags,1
49,9722003,9722003#eBags,1
50,10073803,10073803#eBags,1
51,10910315,10910315#eBags,1
52,11068335,11068335#eBags,1
53,11082496,11082496#eBags,1
54,11084238,11084238#eBags,1
55,11988059,11988059#eBags,1
56,11988076,11988076#eBags,1
57,11997515,11997515#eBags,1
58,12179434,12179434#eBags,1
59,12180028,12180028#eBags,1
60,12180070,12180070#eBags,1
61,12180103,12180103#eBags,1
62,12181608,12181608#eBags,1
63,12181609,12181609#eBags,1
64,12181620,12181620#eBags,1
65,12181700,12181700#eBags,1
66,12181705,12181705#eBags,1
67,15010242,15010242#Babyhaven,1
68,12182239,12182239#eBags,1
69,12182374,12182374#eBags,1
70,12182400,12182400#eBags,1
71,12182846,12182846#eBags,1
72,12183204,12183204#eBags,1
73,932031,932031#Limited Goods,1
74,1234894,1234894#Limited Goods,1
75,2470128,2470128#Limited Goods,1
76,3756896,3756896#Limited Goods,1
77,4025874,4025874#Limited Goods,1
78,5871514,5871514#Limited Goods,1
79,7080511,7080511#Limited Goods,1
80,7754443,7754443#Limited Goods,1
81,9189660,9189660#Limited Goods,1
82,9225261,9225261#Limited Goods,1
83,9871188,9871188#Limited Goods,1
84,12184525,12184525#eBags,1
85,12184565,12184565#eBags,1
86,872051,872051#ivgStores,1
87,2585639,2585639#ivgStores,1
88,3387612,3387612#ivgStores,1
89,3576485,3576485#ivgStores,1
90,12186203,12186203#eBags,1
91,12186211,12186211#eBags,1
92,12186335,12186335#eBags,1
93,4664464,4664464#ivgStores,1
94,5723587,5723587#ivgStores,1
95,12187451,12187451#eBags,1
96,12187705,12187705#eBags,1
97,12187816,12187816#eBags,1
98,12187871,12187871#eBags,1
99,12323715,12323715#eBags,1
100,12342530,12342530#eBags,1
101,12343007,12343007#eBags,1
102,12343021,12343021#eBags,1
103,9225253,9225253#ivgStores,1
104,9447127,9447127#ivgStores,1
105,2445355,2445355#ivgStores,1
106,2585638,2585638#ivgStores,1
107,2685981,2685981#ivgStores,1
108,17771102,17771102#Babyhaven,1
109,12360588,12360588#eBags,1
110,4172357,4172357#ivgStores,1
111,12361423,12361423#eBags,1
112,12361427,12361427#eBags,1
113,7964947,7964947#ivgStores,1
114,7964948,7964948#ivgStores,1
115,12444923,12444923#eBags,1
116,872052,872052#ivgStores,1
117,1233539,1233539#ivgStores,1
118,2160472,2160472#ivgStores,1
119,15010234,15010234#Babyhaven,1
120,12509863,12509863#eBags,1
121,2470635,2470635#ivgStores,1
122,2470642,2470642#ivgStores,1
123,2585627,2585627#ivgStores,1
124,2685988,2685988#ivgStores,1
125,12528315,12528315#eBags,1
126,3321417,3321417#ivgStores,1
127,3630469,3630469#ivgStores,1
128,29829040,29829040#Perf-Moto,1
129,12548329,12548329#eBags,1
130,29829781,29829781#Perf-Moto,1
131,15010243,15010243#Babyhaven,1
132,13045149,13045149#eBags,1
133,13050315,13050315#eBags,1
134,8154370,8154370#ivgStores,1
135,13071910,13071910#eBags,1
136,13219542,13219542#eBags,1
137,13219580,13219580#eBags,1
138,13219589,13219589#eBags,1
139,13219595,13219595#eBags,1
140,9893700,9893700#ivgStores,1
141,13241002,13241002#eBags,1
142,13241061,13241061#eBags,1
143,1233548,1233548#ivgStores,1
144,13246663,13246663#eBags,1
145,13246664,13246664#eBags,1
146,2585647,2585647#ivgStores,1
147,13248342,13248342#eBags,1
148,13252811,13252811#eBags,1
149,4404164,4404164#ivgStores,1
150,13376604,13376604#eBags,1
151,13730097,13730097#eBags,1
152,13730100,13730100#eBags,1
153,13812840,13812840#eBags,1
154,5799661,5799661#ivgStores,1
155,5934005,5934005#ivgStores,1
156,13983018,13983018#eBags,1
157,8111422,8111422#ivgStores,1
158,8144079,8144079#ivgStores,1
159,14118875,14118875#eBags,1
160,8144086,8144086#ivgStores,1
161,14178205,14178205#eBags,1
162,14313307,14313307#eBags,1
163,14574778,14574778#eBags,1
164,14644597,14644597#eBags,1
165,932034,932034#ivgStores,1
166,2470128,2470128#ivgStores,1
167,14664902,14664902#eBags,1
168,14698031,14698031#eBags,1
169,14698043,14698043#eBags,1
170,3576486,3576486#ivgStores,1
171,3630474,3630474#ivgStores,1
172,14967560,14967560#eBags,1
173,14978725,14978725#eBags,1
174,15040735,15040735#eBags,1
175,15040761,15040761#eBags,1
176,15042368,15042368#eBags,1
177,15042380,15042380#eBags,1
178,15062939,15062939#eBags,1
179,5799655,5799655#ivgStores,1
180,15062963,15062963#eBags,1
181,15111419,15111419#eBags,1
182,15172512,15172512#eBags,1
183,8136492,8136492#ivgStores,1
184,8154406,8154406#ivgStores,1
185,15406802,15406802#eBags,1
186,15421546,15421546#eBags,1
187,15442717,15442717#eBags,1
188,15522312,15522312#eBags,1
189,29837780,29837780#Perf-Moto,1
190,15524252,15524252#eBags,1
191,15524257,15524257#eBags,1
192,15525078,15525078#eBags,1
193,15525124,15525124#eBags,1
194,9907221,9907221#ivgStores,1
195,15525125,15525125#eBags,1
196,9919109,9919109#ivgStores,1
197,15539671,15539671#eBags,1
198,1043457,1043457#ivgStores,1
199,2470713,2470713#ivgStores,1
200,2470838,2470838#ivgStores,1
201,15571944,15571944#eBags,1
202,15580523,15580523#eBags,1
203,15580580,15580580#eBags,1
204,15637084,15637084#eBags,1
205,15637114,15637114#eBags,1
206,15637124,15637124#eBags,1
207,7754470,7754470#ivgStores,1
208,7754471,7754471#ivgStores,1
209,15716918,15716918#eBags,1
210,15722364,15722364#eBags,1
211,15722382,15722382#eBags,1
212,15727165,15727165#eBags,1
213,15751622,15751622#eBags,1
214,15819062,15819062#eBags,1
215,932031,932031#ivgStores,1
216,2193980,2193980#ivgStores,1
217,16225401,16225401#eBags,1
218,16225405,16225405#eBags,1
219,16332634,16332634#eBags,1
220,3576511,3576511#ivgStores,1
221,16332658,16332658#eBags,1
222,16530330,16530330#eBags,1
223,16541537,16541537#eBags,1
224,16541545,16541545#eBags,1
225,16550056,16550056#eBags,1
226,16561673,16561673#eBags,1
227,16561688,16561688#eBags,1
228,16561711,16561711#eBags,1
229,16561787,16561787#eBags,1
230,16561924,16561924#eBags,1
231,16565533,16565533#eBags,1
232,16636672,16636672#eBags,1
233,5799656,5799656#ivgStores,1
234,5924809,5924809#ivgStores,1
235,16641283,16641283#eBags,1
236,16641284,16641284#eBags,1
237,16641285,16641285#eBags,1
238,16641310,16641310#eBags,1
239,16660595,16660595#eBags,1
240,16660597,16660597#eBags,1
241,16660704,16660704#eBags,1
242,16660729,16660729#eBags,1
243,9225261,9225261#ivgStores,1
244,16679655,16679655#eBags,1
245,870855,870855#ivgStores,1
246,870864,870864#ivgStores,1
247,1234888,1234888#ivgStores,1
248,16792219,16792219#eBags,1
249,16794871,16794871#eBags,1
250,16794882,16794882#eBags,1
251,2069533,2069533#ivgStores,1
252,16914020,16914020#eBags,1
253,3630468,3630468#ivgStores,1
254,16927127,16927127#eBags,1
255,16954485,16954485#eBags,1
256,17129242,17129242#eBags,1
257,17129629,17129629#eBags,1
258,17129636,17129636#eBags,1
259,17129650,17129650#eBags,1
260,17134142,17134142#eBags,1
261,17182015,17182015#eBags,1
262,17182017,17182017#eBags,1
263,5723581,5723581#ivgStores,1
