@info
{
    "table":{
        "name":"train_stage1",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"784_stage3",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT,label:INTEGER
1,34972919,23136815#UnbeatableSale.com,0
2,8086868,8086868#Tech For Less Inc,1
3,37671602,40826081#TigerDirect,0
4,35496125,40804262#TigerDirect,0
5,34928239,42462449#TigerDirect,0
6,22286246,22287459#UnbeatableSale.com,0
7,31402029,23143945#UnbeatableSale.com,0
8,41493844,41493844#TEKENVY,1
9,42585178,42398566#TigerDirect,0
10,40605305,40605305#US Micro,1
11,34693823,20440006#UnbeatableSale.com,0
12,33562360,40514293#TigerDirect,0
13,33474373,41033591#TigerDirect,0
14,42458827,42458758#TigerDirect,0
15,42581131,42462524#TigerDirect,0
16,13216348,13216348#Circuit City,1
17,16541897,16541897#Shoplet,1
18,11077980,11077955#Walmart.com,0
19,40818602,40818602#TEKENVY,1
20,43014809,43014809#TEKENVY,1
21,41084745,20701067#UnbeatableSale.com,0
22,15529646,15529646#Tech For Less Inc,1
23,42935652,43006915#O.co,0
24,14915860,14915858#Wayfair,0
25,41183318,41183318#TEKENVY,1
26,41564354,40399148#TigerDirect,0
27,10250409,10250409#UnbeatableSale.com,1
28,40985575,40985575#TEKENVY,1
29,40689495,40689495#OneCall,1
30,40870657,40870657#TEKENVY,1
31,42523790,42523790#US Micro,1
32,42614235,42614235#TEKENVY,1
33,14277830,14277830#Tech For Less Inc,1
34,42458726,42454381#TigerDirect,0
35,40514904,40514904#Monoprice Inc,1
36,40668526,40668514#TigerDirect,0
37,40695304,40695304#OneCall,1
38,42557969,42557969#TEKENVY,1
39,40438989,38527851#TigerDirect,0
40,42397724,40088176#TigerDirect,0
41,43113736,43113736#TEKENVY,1
42,42018047,42013626#Zoro,0
43,42462379,42456506#TigerDirect,0
44,41436830,40831890#Zoro,0
45,14908466,14873104#Wayfair,0
46,41177631,41177631#US Micro,1
47,35597444,35597444#Focus Camera,1
48,27292001,42508288#TigerDirect,0
49,40931017,41062302#Zoro,0
50,283430,283430#Walmart.com,1
51,41981895,41981895#HappEshopper,1
52,42558848,42558848#TEKENVY,1
53,41290838,41290838#TEKENVY,1
54,41344609,41344609#US Micro,1
55,15047794,15047794#Tech For Less Inc,1
56,40594573,40594506#TigerDirect,0
57,37585341,41513982#TigerDirect,0
58,41193448,41193448#TEKENVY,1
59,751026,751026#Walmart.com,1
60,41269295,41269295#HappEshopper,1
61,42489820,42491479#TigerDirect,0
62,35879256,35879256#OneCall,1
63,13309316,12183220#Wayfair,0
64,3880822,3880822#Shoplet,1
65,33247957,40322196#TigerDirect,0
66,37674317,42476744#TigerDirect,0
67,41053687,41053687#US Micro,1
68,33474818,40618737#TigerDirect,0
69,13056098,13056098#Tonzof,1
70,40987620,40987620#TEKENVY,1
71,1032330,11538912#Walmart.com,0
72,4216952,4216952#Mega Retail Store,1
73,40500521,40500521#Monoprice Inc,1
74,40500243,40500243#Monoprice Inc,1
75,20835954,29942498#UnbeatableSale.com,0
76,41152282,40293894#TigerDirect,0
77,33043872,39150754#TigerDirect,0
78,40500889,40500889#Monoprice Inc,1
79,41981334,41981334#SF Planet,1
80,41344642,41344642#US Micro,1
81,41493803,41493803#TEKENVY,1
82,39751855,42398696#TigerDirect,0
83,41508268,41508268#Focus Camera,1
84,639034,639034#Walmart.com,1
85,15819315,15819315#UnbeatableSale.com,1
86,30360555,40128370#TigerDirect,0
87,37671748,40629812#TigerDirect,0
88,41489546,41489546#Focus Camera,1
89,40500682,40500682#Monoprice Inc,1
90,40908441,41356253#Zoro,0
91,11089211,11089209#Walmart.com,0
92,39853753,38578670#TigerDirect,0
93,42584546,42584546#TEKENVY,1
94,1170499,1170499#UnbeatableSale.com,1
95,13077921,21261793#UnbeatableSale.com,0
96,31905537,41529613#TigerDirect,0
97,40218730,38671698#TigerDirect,0
98,40623046,40623046#OneCall,1
99,40984980,22273756#UnbeatableSale.com,0
100,12221214,24211002#UnbeatableSale.com,0
101,14247832,14247832#Tonzof,1
102,41477721,41477721#OneCall,1
103,20751067,11006599#Walmart.com,0
104,23756162,23756162#Focus Camera,1
105,1272542,1272542#UnbeatableSale.com,1
106,13056500,13056500#Circuit City,1
107,12021441,12021446#Wayfair,0
108,42021364,40839449#Zoro,0
109,40871604,40871604#TEKENVY,1
110,43096908,43096908#Focus Camera,1
111,41866680,42395501#TigerDirect,0
112,15421582,15421582#Circuit City,1
113,11684433,11684433#OneCall,1
114,15172663,15172663#Circuit City,1
115,41114021,40829791#Zoro,0
116,37670472,42397377#TigerDirect,0
117,40985628,40985628#TEKENVY,1
118,21999454,24547578#UnbeatableSale.com,0
119,41493791,41493791#TEKENVY,1
120,42464572,42454994#TigerDirect,0
121,42458832,42462596#TigerDirect,0
122,23134170,23134296#UnbeatableSale.com,0
123,11015707,11975426#Walmart.com,0
124,40986300,40986300#TEKENVY,1
125,40957954,40957967#TigerDirect,0
126,3910302,3910302#Shoplet,1
127,43133000,43133000#Focus Camera,1
128,41981950,41981950#HappEshopper,1
129,40706570,40860392#TigerDirect,0
130,42510175,42031585#TigerDirect,0
131,15913582,15913582#Tonzof,1
132,22045220,22045220#Tech For Less Inc,1
133,42462547,42458555#TigerDirect,0
134,41183236,41183236#TEKENVY,1
135,40496089,42466368#TigerDirect,0
136,40501961,40501961#Monoprice Inc,1
137,39798076,40900237#TigerDirect,0
138,36611777,36611777#Tech For Less Inc,1
139,41075720,42934973#TigerDirect,0
140,35106497,40717658#TigerDirect,0
141,13056141,13056141#Circuit City,1
142,16524296,16524296#Tonzof,1
143,37812491,42395897#TigerDirect,0
144,40623035,40623035#OneCall,1
145,11600136,11959462#Walmart.com,0
146,38669167,38669167#Tech For Less Inc,1
147,42523272,42523272#SF Planet,1
148,40551890,40089452#TigerDirect,0
149,16353347,16353347#Circuit City,1
150,43096192,43096192#Focus Camera,1
151,42450793,42464246#TigerDirect,0
152,41212362,40786251#Zoro,0
153,31057880,31057880#Tech For Less Inc,1
154,29905255,29905255#Tech For Less Inc,1
155,41193789,41193789#TEKENVY,1
156,8586821,8586821#Shoplet,1
157,908067,908067#UnbeatableSale.com,1
158,41193051,41193051#TEKENVY,1
159,40590219,40590219#Monoprice Inc,1
160,23138225,23138325#UnbeatableSale.com,0
161,34136810,42778961#TigerDirect,0
162,10755882,10755882#Circuit City,1
163,42558569,42558569#TEKENVY,1
164,40739187,40739187#Tech For Less Inc,1
165,41282416,42779006#TigerDirect,0
166,41177525,41177525#US Micro,1
167,21675237,41628799#O.co,0
168,34515469,40741350#TigerDirect,0
169,42558697,42558697#TEKENVY,1
170,35908259,41320188#Zoro,0
171,37812491,40722266#TigerDirect,0
172,38643600,38643600#Dazadi.com,1
173,40623220,40623220#OneCall,1
174,34527905,40422671#TigerDirect,0
175,41589126,40550905#TigerDirect,0
176,41053779,41053779#US Micro,1
177,20434711,20434711#OneCall,1
178,41177320,41177320#US Micro,1
179,41869347,42490098#TigerDirect,0
180,17770443,17770443#Tonzof,1
181,42523062,42523062#SF Planet,1
182,42396106,42394951#TigerDirect,0
183,25836912,25836912#Music123,1
184,40501142,40501142#Monoprice Inc,1
185,40871440,40871440#TEKENVY,1
186,40160621,40160621#Tech For Less Inc,1
187,11089822,11089729#Walmart.com,0
188,41031359,41031359#TEKENVY,1
189,43019366,42006242#Zoro,0
190,15084833,15084833#Circuit City,1
191,42464164,42450917#TigerDirect,0
