@info
{
    "table":{
        "name":"train_stage1_2",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"784_stage3",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT,label:INTEGER
1,34972919,23136815#UnbeatableSale.com,0
2,8086868,8086868#Tech For Less Inc,1
5,34928239,42462449#TigerDirect,0
8,41493844,41493844#TEKENVY,1
11,34693823,20440006#UnbeatableSale.com,0
12,33562360,40514293#TigerDirect,0
13,33474373,41033591#TigerDirect,0
14,42458827,42458758#TigerDirect,0
15,42581131,42462524#TigerDirect,0
21,41084745,20701067#UnbeatableSale.com,0
22,15529646,15529646#Tech For Less Inc,1
23,42935652,43006915#O.co,0
28,40985575,40985575#TEKENVY,1
29,40689495,40689495#OneCall,1
33,14277830,14277830#Tech For Less Inc,1
35,40514904,40514904#Monoprice Inc,1
36,40668526,40668514#TigerDirect,0
38,42557969,42557969#TEKENVY,1
40,42397724,40088176#TigerDirect,0
43,42462379,42456506#TigerDirect,0
44,41436830,40831890#Zoro,0
45,14908466,14873104#Wayfair,0
46,41177631,41177631#US Micro,1
47,35597444,35597444#Focus Camera,1
48,27292001,42508288#TigerDirect,0
51,41981895,41981895#HappEshopper,1
53,41290838,41290838#TEKENVY,1
57,37585341,41513982#TigerDirect,0
59,751026,751026#Walmart.com,1
61,42489820,42491479#TigerDirect,0
63,13309316,12183220#Wayfair,0
64,3880822,3880822#Shoplet,1
72,4216952,4216952#Mega Retail Store,1
73,40500521,40500521#Monoprice Inc,1
74,40500243,40500243#Monoprice Inc,1
78,40500889,40500889#Monoprice Inc,1
79,41981334,41981334#SF Planet,1
82,39751855,42398696#TigerDirect,0
83,41508268,41508268#Focus Camera,1
86,30360555,40128370#TigerDirect,0
88,41489546,41489546#Focus Camera,1
93,42584546,42584546#TEKENVY,1
95,13077921,21261793#UnbeatableSale.com,0
100,12221214,24211002#UnbeatableSale.com,0
101,14247832,14247832#Tonzof,1
102,41477721,41477721#OneCall,1
106,13056500,13056500#Circuit City,1
108,42021364,40839449#Zoro,0
109,40871604,40871604#TEKENVY,1
114,15172663,15172663#Circuit City,1
119,41493791,41493791#TEKENVY,1
124,40986300,40986300#TEKENVY,1
126,3910302,3910302#Shoplet,1
127,43133000,43133000#Focus Camera,1
129,40706570,40860392#TigerDirect,0
130,42510175,42031585#TigerDirect,0
132,22045220,22045220#Tech For Less Inc,1
133,42462547,42458555#TigerDirect,0
136,40501961,40501961#Monoprice Inc,1
138,36611777,36611777#Tech For Less Inc,1
140,35106497,40717658#TigerDirect,0
144,40623035,40623035#OneCall,1
146,38669167,38669167#Tech For Less Inc,1
148,40551890,40089452#TigerDirect,0
151,42450793,42464246#TigerDirect,0
152,41212362,40786251#Zoro,0
154,29905255,29905255#Tech For Less Inc,1
156,8586821,8586821#Shoplet,1
160,23138225,23138325#UnbeatableSale.com,0
161,34136810,42778961#TigerDirect,0
162,10755882,10755882#Circuit City,1
163,42558569,42558569#TEKENVY,1
164,40739187,40739187#Tech For Less Inc,1
169,42558697,42558697#TEKENVY,1
171,37812491,40722266#TigerDirect,0
172,38643600,38643600#Dazadi.com,1
174,34527905,40422671#TigerDirect,0
175,41589126,40550905#TigerDirect,0
177,20434711,20434711#OneCall,1
180,17770443,17770443#Tonzof,1
183,25836912,25836912#Music123,1
184,40501142,40501142#Monoprice Inc,1
186,40160621,40160621#Tech For Less Inc,1
188,41031359,41031359#TEKENVY,1
191,42464164,42450917#TigerDirect,0
192,19212546,19212546#Shoplet,1
193,21081334,42398654#TigerDirect,0
194,40985079,40985079#TEKENVY,1
195,31367670,31367670#Monoprice Inc,1
199,25394849,25394849#Tech For Less Inc,1
207,15602655,42464333#TigerDirect,0
210,42395889,42398240#TigerDirect,0
213,11988337,11988337#Circuit City,1
216,42458832,42450703#TigerDirect,0
217,37832356,42490726#TigerDirect,0
218,14860159,14860159#Mega Retail Store,1
219,41451990,41468392#TigerDirect,0
221,39552612,40985891#TigerDirect,0
225,37670389,40495955#TigerDirect,0
226,42398695,40496446#TigerDirect,0
227,40500182,40500182#Monoprice Inc,1
229,5799661,10993518#Walmart.com,0
232,40820091,40770336#Zoro,0
234,41032451,41032451#TEKENVY,1
235,42960976,43000035#O.co,0
236,13072994,13072994#Shoplet,1
238,40975200,40717654#TigerDirect,0
239,22049695,22130697#UnbeatableSale.com,0
240,43058352,43059260#Zoro,0
243,31155881,21672607#UnbeatableSale.com,0
244,40998023,41135829#TigerDirect,0
246,17151083,17151083#Circuit City,1
249,42584496,42584496#TEKENVY,1
251,40502378,40502378#Monoprice Inc,1
253,17201148,17201148#Circuit City,1
254,40898538,40898538#TEKENVY,1
255,42395174,42397879#TigerDirect,0
257,33573622,40266129#TigerDirect,0
259,31276026,31276026#Monoprice Inc,1
260,42558033,42558033#TEKENVY,1
261,11089814,11089800#Walmart.com,0
263,41177347,41177347#US Micro,1
269,16539625,16539625#Shoplet,1
270,41258887,41258887#TEKENVY,1
274,40500077,40500077#Monoprice Inc,1
276,42032547,42032547#OneCall,1
280,40717667,40716164#TigerDirect,0
281,13069357,13069357#Circuit City,1
282,41177287,41177287#US Micro,1
283,12538156,12538156#Circuit City,1
284,33163707,23422732#UnbeatableSale.com,0
286,13056547,13056547#Shoplet,1
289,1579875,1579875#Walmart.com,1
291,39822963,42491055#TigerDirect,0
292,27587302,27587302#Music123,1
293,40723883,40707551#TigerDirect,0
294,11463283,11204374#Wayfair,0
295,10714738,10714738#UnbeatableSale.com,1
297,15052188,15052188#Shoplet,1
298,20742485,20742485#Tech For Less Inc,1
300,238665,238665#Walmart.com,1
302,42462595,42464164#TigerDirect,0
304,19346131,19346131#Bic Warehouse,1
305,41234192,41234192#TEKENVY,1
308,41491318,41491318#Focus Camera,1
309,36501373,41221400#TigerDirect,0
312,15172394,15172394#Shoplet,1
313,41269220,41269220#HappEshopper,1
315,29732397,29732397#Tech For Less Inc,1
318,13216290,13216290#Circuit City,1
326,16529031,16529031#Shoplet,1
328,41193730,41193730#TEKENVY,1
333,42481280,42481306#TigerDirect,0
336,42458624,42464124#TigerDirect,0
337,38549899,39196691#TigerDirect,0
338,41261136,41261136#TEKENVY,1
340,42462589,42462581#TigerDirect,0
341,41091977,11018956#Walmart.com,0
342,42509787,42509787#TEKENVY,1
346,13219457,14903827#Wayfair,0
348,40623161,40623161#OneCall,1
349,24548458,41975311#TigerDirect,0
350,40986590,40986590#TEKENVY,1
351,12574850,41121339#Zoro,0
353,41180179,41180179#TEKENVY,1
355,41053650,41053650#US Micro,1
360,41163231,42467490#TigerDirect,0
362,13075158,13075158#Bic Warehouse,1
365,42523768,42523768#US Micro,1
366,41182026,41182026#TEKENVY,1
367,40986216,40986216#TEKENVY,1
370,40500627,40500627#Monoprice Inc,1
371,42952571,43037255#O.co,0
372,41464151,41464151#TEKENVY,1
373,42870944,22235728#UnbeatableSale.com,0
374,16401825,16401825#Tonzof,1
375,23787858,11543902#Walmart.com,0
377,41314990,41314990#US Micro,1
379,41053772,41053772#US Micro,1
380,19336724,19336724#Circuit City,1
382,33152537,42450888#TigerDirect,0
383,42394471,42965834#TigerDirect,0
385,40900101,40900101#SF Planet,1
386,41077788,22025770#UnbeatableSale.com,0
388,11089830,11089758#Walmart.com,0
391,40871144,40871144#TEKENVY,1
393,4064396,4064396#Mega Retail Store,1
394,41981341,41981341#SF Planet,1
395,42557485,42557485#TEKENVY,1
397,12085914,12085912#Wayfair,0
398,40502197,40502197#Monoprice Inc,1
