@info
{
    "table":{
        "name":"aamzon_bn_candset_minus_gold",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"Books",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"amazon.id",
                "type":"INTEGER"
            },
            {
                "name":"bn.id",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,amazon.id:INTEGER,bn.id:INTEGER
1,1434,3561
2,1434,3563
3,1434,3564
5,4791,3897
6,4791,3898
7,4791,4989
8,2734,5924
9,4663,939
11,4663,1479
12,4663,1481
13,4663,4621
14,4884,2506
15,2197,2716
16,2197,5182
17,1006,25
19,4345,5285
20,4345,5286
21,4345,5294
22,4345,5307
23,4345,5311
24,1457,3761
25,477,3630
26,2384,6258
28,4545,4555
29,3802,1334
30,3802,3687
31,3802,5695
33,1402,2810
34,3075,799
35,11,526
36,11,3442
37,11,3862
39,11,3897
40,11,3898
41,11,4921
42,11,4989
43,4352,2520
44,653,660
45,653,661
46,653,662
49,4393,2113
51,3735,4150
52,1935,627
55,1817,663
56,2909,2767
57,1898,119
58,1898,3899
59,1675,836
60,1675,1852
61,1675,1857
62,1675,1879
64,1675,1894
65,2524,99
66,2524,111
67,2524,166
68,2524,168
69,3050,640
70,3050,641
71,4737,386
73,3628,1407
74,4546,3568
75,3718,2848
76,341,2639
77,1965,3869
78,1965,3880
80,569,1471
81,1266,5863
82,4323,5593
83,1371,3941
84,2542,1325
85,2951,4748
86,3707,112
87,4526,739
89,1503,127
90,1503,129
91,1503,4882
92,2362,2587
93,1571,3317
94,3490,2243
96,395,3623
97,395,4388
98,395,4392
99,395,4599
101,441,4007
103,2782,972
104,365,2570
105,365,2571
106,365,2572
107,365,2592
108,365,2594
109,2753,3677
111,2753,4921
112,2125,3844
113,1270,5745
114,1270,5749
115,1939,1413
116,1433,722
117,3690,2896
118,1217,2416
119,1607,673
120,1607,674
122,1607,677
123,745,1345
124,745,1388
125,745,5166
127,3388,408
128,3296,3240
130,3399,1800
131,3399,3631
132,3399,6261
133,358,3111
134,1161,3442
135,1161,3897
136,1161,4911
138,1161,4916
139,1161,4921
140,1161,4931
141,1379,89
143,1379,5599
144,322,5896
145,3324,4568
146,233,1478
148,3739,3127
149,3739,3129
151,2744,174
152,2673,4482
153,2331,5502
154,2728,2236
156,4974,1476
157,4145,1345
159,4145,5452
161,1702,348
162,1359,2765
163,3393,5912
164,2013,6411
165,4199,5926
168,1547,3822
169,1547,3837
170,1892,4749
171,3787,2845
172,4084,3745
174,4084,3828
175,716,708
176,962,788
177,4040,3253
178,1568,128
179,5129,669
180,3752,4296
181,4498,5612
182,4498,5683
183,408,1869
184,2438,4084
185,2438,4085
186,2438,4086
187,3371,4938
189,5003,3795
190,2628,711
191,2660,4652
192,4709,3190
193,1122,3765
195,2787,2823
196,939,3750
197,2550,3282
198,2550,6264
199,2550,6266
200,706,3922
202,404,3889
203,1552,1411
204,3283,3588
205,4493,2873
206,1134,2676
207,4214,45
208,4214,2833
209,4214,2834
210,72,2570
211,72,2571
212,72,2572
213,72,2592
214,72,2594
215,3861,641
216,2497,1589
217,2497,1592
218,2497,1593
219,1038,713
220,2681,1227
221,307,5545
222,328,5634
224,2885,4919
225,2885,4929
226,1319,4643
227,3289,3838
228,2551,1334
229,2551,3687
230,2551,5695
231,502,6283
233,489,2569
234,56,1419
235,2636,4631
236,463,577
237,453,3472
238,5011,4916
240,103,3620
241,4812,6041
242,3695,4987
245,3695,4994
246,1699,6313
247,2190,1416
248,2190,1421
249,2190,1423
250,2115,6046
251,2115,6047
252,2621,653
254,2621,3902
255,2621,3908
256,2211,830
257,2211,831
258,4864,6169
259,4028,4514
260,4028,4609
262,4390,2833
263,4390,2834
264,218,633
265,218,635
266,218,638
267,218,683
268,4693,5843
269,4693,5849
270,4693,5853
271,3846,121
272,3846,132
273,3358,1399
275,3358,1582
276,3358,1854
277,3358,4929
278,1856,3673
279,1856,3674
281,4910,4689
282,3262,1356
283,5199,4451
284,5199,4459
285,5199,4469
286,951,393
287,1961,589
288,4944,5563
289,423,4858
290,825,1484
291,3005,1470
292,273,2322
293,1393,990
294,1207,4299
295,3800,2854
296,2050,1774
297,2050,1890
300,1249,1776
301,1249,1777
302,1249,1780
303,1249,1781
304,5030,5937
305,1944,1420
306,2251,1393
307,803,3777
308,1958,1359
309,1958,1375
310,801,3730
313,2759,720
314,4086,3869
315,4086,3873
316,4086,3874
317,4086,3891
318,3081,5676
319,57,5455
321,4181,2555
322,878,1312
323,4163,3422
325,4271,4548
326,736,108
327,3334,378
328,2437,3649
329,2437,3650
330,2202,5827
331,2772,804
332,2772,1455
333,325,5995
335,5059,1561
336,4268,4523
337,607,6008
338,580,3849
339,216,1328
340,2130,4227
342,2646,2571
343,2646,2572
344,2646,2592
345,2646,2594
347,983,5285
349,983,5294
350,983,5307
351,983,5311
353,2404,1388
354,2404,5452
355,4277,5617
356,1830,4400
358,3130,115
359,3130,126
360,3130,4745
361,3130,5605
362,4399,168
363,4399,529
364,4399,531
365,809,6153
366,3632,617
367,3382,1296
369,4933,651
370,4933,671
371,4933,4917
372,4933,5632
373,3929,3052
374,1385,3433
376,1119,3743
379,2618,1426
380,2813,2293
381,413,290
383,1168,436
385,4903,5018
387,3700,1320
388,2057,2668
389,4250,5976
390,132,4370
392,238,1056
393,238,1057
394,238,1058
396,3402,2406
399,2021,1687
400,2021,1690
401,2021,1692
402,2021,1693
403,2021,1699
404,2021,1727
405,2021,3997
407,2021,4000
408,2021,4001
409,2021,4003
410,2021,4004
411,382,5050
412,4559,4555
413,4529,3351
414,1174,3862
415,1174,3883
417,1807,1334
418,1807,3687
419,1807,5695
420,3605,3906
421,3605,4992
422,1625,5286
423,662,5443
424,515,1706
425,515,1852
427,515,1881
428,515,1889
429,515,1894
430,813,2302
431,1693,5612
432,1693,5683
433,796,2073
434,4334,1144
435,1306,491
436,1459,664
437,4422,1884
438,313,1586
439,5000,1853
440,5000,1892
441,5000,1893
443,3046,5656
444,3826,514
446,1523,640
448,4500,4465
450,1231,2784
451,4439,5667
453,2582,2198
454,2467,4208
455,21,5287
456,21,5288
457,21,5290
458,21,5291
459,21,5292
460,21,5838
461,1316,4913
462,1316,4922
463,299,4788
464,4392,1366
465,2999,1495
467,2918,2257
468,652,6137
469,3069,4502
470,3820,3739
471,2510,4873
