@info
{
    "table":{
        "name":"isbn_candset",
        "description":"",
        "idAttrib":{
            "name":"pairId",
            "type":"INTEGER"
        },
        "projectName":"books",
        "attributes":[
            {
                "name":"pairId",
                "type":"INTEGER"
            },
            {
                "name":"bowker.id",
                "type":"TEXT"
            },
            {
                "name":"walmart.id",
                "type":"TEXT"
            },
            {
                "name":"bowker.title",
                "type":"TEXT"
            },
            {
                "name":"bowker.author",
                "type":"TEXT"
            },
            {
                "name":"bowker.pubYear",
                "type":"TEXT"
            },
            {
                "name":"walmart.title",
                "type":"TEXT"
            },
            {
                "name":"walmart.author",
                "type":"TEXT"
            },
            {
                "name":"walmart.pubYear",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairId:INTEGER,bowker.id:TEXT,walmart.id:TEXT,bowker.title:TEXT,bowker.author:TEXT,bowker.pubYear:TEXT,walmart.title:TEXT,walmart.author:TEXT,walmart.pubYear:TEXT
1,9780226156439,4086892,Bedtrick : Tales of Sex and Masquerade,"Doniger, Wendy",2005,The Bedtrick: Tales of Sex and Masquerade,"Doniger, Wendy",2005
2,9780060655808,535599,Harpercollins Study Bible Standard Version with the Apocryphal/Deuterocanonical Books,"Meeks, Wayne A.",1993,HarperCollins Study Bible-NRSV,"Meeks, Wayne A.",1993
3,9780030402432,12537042,Allez Viens,d'Amado,2005,Se CD-R(set of 25)Allez Viens LV 2 2006,Damado,2006
4,9780130901262,1386538,Adaptive Filter Theory,"Haykin, Simon",2001,Adaptive Filter Theory,"Haykin, Simon S.",2001
5,9780205700424,13945932,Introduction to the Theories of Learning- (Value Pack W/MySearchLab),"Olson, Matthew H. Hergenhahn, B. R.",2009,An Introduction to Theories of Learning [With Access Code],"Olson, Matthew",2009
6,9780217455008,15280600,"Catalogue of Earthquakes on the Pacific Coast, 1897 To 1906","Mcadie, Alexander",2009,"Catalogue of Earthquakes on the Pacific Coast, 1897 to 1906 (49, Nos. 1-5)","McAdie, Alexander",2010
7,9780217825382,15286798,"Cured by an Incurable, by Crowquill and Pencilpoint","Pseud, Crowquill",2009,"Cured by an Incurable, by Crowquill and Pencilpoint","Pseud, Crowquill",2012
8,9780217940207,15295588,Daring Adventures of Kit Carson and Fremont,"Fr�mont, John Charles",2009,"The Daring Adventures of Kit Carson and Fremont; Among Buffaloes, Grizzlies and Indians Being a Spirited Diary of the Most Difficult and Wonderful Exp","Frmont, John Charles",2012
9,9780217270052,15334872,"Personal Efficiency, Applied Salesmanship, and Sales Administration","Allen, Irving Ross",2009,"Personal Efficiency, Applied Salesmanship, and Sales Administration","Allen, Irving Ross",2010
10,9780217304399,15338150,Universal Merchant,"Alldridge, W. J.",2009,The Universal Merchant; In Theory and Practice Improved and Enl,"Alldridge, W. J.",2012
11,9780070479081,1566948,Elusive Eden : A New History of California,"Rice, Richard Bullough, Bonnie Bullough, William Orsi, Richard J.",1996,The Elusive Eden: A New History of California,"Rice, Richard B.",1996
