@info
{
    "table":{
        "name":"amazon",
        "description":"",
        "idAttrib":{
            "name":"title",
            "type":"TEXT"
        },
        "projectName":"breakfast",
        "attributes":[
            {
                "name":"title",
                "type":"TEXT"
            },
            {
                "name":"price",
                "type":"FLOAT"
            },
            {
                "name":"unitPrice",
                "type":"TEXT"
            },
            {
                "name":"size",
                "type":"TEXT"
            },
            {
                "name":"description",
                "type":"TEXT"
            }
        ]
    }
}

@data
title:TEXT,price:FLOAT,unitPrice:TEXT,size:TEXT,description:TEXT
Fieldstone Bakery Apple Cinnamon Fruit and Grain Bar - 16 per pack -- 12 packs per case.,51.95,NaN,NaN,"Our bar is baked with real apple fruit filling and a touch of cinnamon for a great breakfast time or anytime snack. Each individually wrapped bar is a good source of 9 vitamins and minerals. Individually Wrapped, Kosher View Nutrition Fact  "
Thunderbird Energetica Energy Bar Cashew Fig Carrot -- 1 Bar Each / Pack of 6,18.04,NaN,NaN,"Thunderbird Energetica specializes in creating epic tasting whole food energy bars. Containing uniquely pure and highly powerful ingredients, Thunderbird bars provide consumers with conveniently packaged, nutrient dense, plant-based goodness. Each bar is made using the finest and freshest available whole foods that Mother Earth has to offer.

Our 100% soy free, dairy free, gluten free, no added sugar energy bars gives you the same clean burning fuel humans have enjoyed over the last 10,000 years. Our wrapper is 100% biodegradable and compostable leaving nothing behind.  "
"Fiber One Dark Chocolate Meal Bar, Almond, 7.95 Ounce",12.74,($1.00 /  oz),NaN,"A great-tasting meal bar with nutrition that works for you, making every delicious bite count.  "
"Kellogg's Nutrigrain Cereal Bar,Individually Wrapped - Blueberry - 16 / Box",14.72,NaN,7.8 x 6 x 3.1 inches ; 1.3 pounds,"Calcium-enriched fruit snack bars.  "
Bee Nut Free Gluten Free Nut Free Sunflower Fig Ginger Energy Granola Bar,18.0,NaN,NaN,"Packed with loads of fig, sunflower and chia seeds, these little numbers are the perfect addition to a bike ride, hike, or any of your outdoor activities when you need a little ""pick me up!"". These granola bars are finished with a subtle hint of ginger; figuring you want something substantial, not overwhelming to your palatte. Conveniently packaged in individual ""grab-n-go"" bags to toss in your biking jersey, fanny pack, or lunch box.  "
Clif Luna The Whole Nutrition Bar for Women,28.15,NaN,NaN,"The Whole Nutrition Bar for Women. S'Mores. The Whole Nutrition Bar for Women. High in Calcium and Folic Acid. Vitamin D. 9g Protein. 3g Fiber. Rich in Antioxidants (Vit. A, C, E). Low Glycemic. No Hydrogenated Oils. New Recipe. 70% Organic Ingredients. As women we know they way we eat makes a difference in how we feel. Food feeds our souls, lifts our spirits, nourishes and sustains us. So, why does finding the right thing to eat sometimes seem so complicated? With 70% organic ingredients, vitamins to meet the special needs of our bodies and flavors we love, LUNA makes finding nourishment a bit simpler.-The Women of LUNA-LUNA is an active sponsor of the Breast Cancer Fund and its efforts to eliminate the environmental and preventable causes of the disease.  "
KITKEB56926OFX00019 - Value Kit - Kellogg's Special K Pastry Crisps (KEB56926) and Office Snax Reclosable Canister of Sugar (OFX00019),69.63,NaN,NaN,"lt;stronggt;KEB56926lt;/stronggt;lt;BR/gt;Kellogg's Special K Pastry Crispslt;BR/gt;Two light crisps, slightly sweet with real fruit filling on the inside. Lightly sweetened, drizzle on the top. 100 calories per serving. Food Type: Cereal Bar Flavor: Blueberry Capacity Weight:.88 oz.lt;BR/gt;lt;BR/gt;lt;stronggt;OFX00019lt;/stronggt;lt;BR/gt;Kellogg's Special K Pastry Crispslt;BR/gt;Reclosable canister is the perfect size for any office breakroom. Flavor: Regular Packing Type: Canister Premeasured: No Coffee Condiments Special Features: N/A.  "
NuGo-Family- Vanilla Yogurt (5 Pack),10.23,NaN,NaN,"All Natural, Low Glycemic, High Protein, Chocolate The original NuGo bars are made with real milk chocolate or luscious yogurt, whole oats, brown rice, and soy. All of these nourishing ingredients are 100% natural and delicious. NuGo Family bars are high in protein, low in fat and loaded with essential antioxidants and vitamins. NuGo Family bars are also certified low glycemic, which means they are digested slowly to provide extended levels of satiety and energy. Try one of our six delicious family flavors with real milk chocolate or luscious yogurt. Available in Chocolate, Chocolate Banana, Coffee, Orange Smoothie, Peanut Butter Chocolate, and Vanilla Yogurt.  "
Grainna Low Sugar Black Sesame & 8 Cereal Bar 16g X 5 Bars,25.22,NaN,NaN,NaN
Corazonas Oatmeal Squares Banana Walnut,26.66,($0.66 /  oz),0.6 x 4.9 x 3.2 inches ; 2 pounds,"Corazonas Oatmeal Squares - Banana Walnut - Case of 12 - 1.76 oz  "
