@info
{
    "table":{
        "name":"dfsd",
        "description":"",
        "idAttrib":{
            "name":"pairId",
            "type":"INTEGER"
        },
        "projectName":"breakfast",
        "attributes":[
            {
                "name":"pairId",
                "type":"INTEGER"
            },
            {
                "name":"tableA.id",
                "type":"INTEGER"
            },
            {
                "name":"tableB.id",
                "type":"INTEGER"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairId:INTEGER,tableA.id:INTEGER,tableB.id:INTEGER,label:INTEGER
445,1,445,0
3341,1,3341,0
5385,2,1220,0
5744,2,1579,0
5802,2,1637,0
5945,2,1780,0
7150,2,2985,0
7580,2,3415,0
7920,2,3755,0
8789,3,459,0
10230,3,1900,0
10712,3,2382,0
11354,3,3024,0
11764,3,3434,0
11766,3,3436,0
23313,6,2488,0
23831,6,3006,0
31029,8,1874,0
50427,13,447,0
58715,15,405,0
58748,15,438,0
59158,15,848,0
61074,15,2764,0
61347,15,3037,0
61413,15,3103,0
62260,15,3950,0
63916,16,1441,0
66206,16,3731,0
71683,18,878,0
72895,18,2090,0
75471,19,501,0
75511,19,541,0
78319,19,3349,0
79581,20,446,0
80278,20,1143,0
80296,20,1161,0
80313,20,1178,0
80373,20,1238,1
80940,20,1805,0
82104,20,2969,0
82639,20,3504,0
82759,20,3624,0
88374,22,909,0
88959,22,1494,0
92077,23,447,0
108592,27,302,0
111485,27,3195,0
115650,28,3195,0
115737,28,3282,0
117529,29,909,0
118114,29,1494,0
122833,30,2048,0
136475,33,3195,0
140640,34,3195,0
146068,36,293,0
154250,38,145,0
158415,39,145,0
167509,41,909,0
168094,41,1494,0
170961,42,196,0
172415,42,1650,0
172440,42,1675,0
174035,42,3270,0
174208,42,3443,0
174326,42,3561,0
174805,42,4040,0
174914,42,4149,0
176979,43,2049,0
177038,43,2108,0
177223,43,2293,0
177412,43,2482,0
178240,43,3310,0
182516,44,3421,0
182687,44,3592,0
183135,44,4040,0
184371,45,1111,0
185099,45,1839,0
185242,45,1982,0
185552,45,2292,0
185696,45,2436,0
186044,45,2784,0
186108,45,2848,0
186617,45,3357,0
188268,46,843,0
189474,46,2049,0
189718,46,2293,0
191849,47,259,0
192087,47,497,0
193417,47,1827,0
193435,47,1845,0
195865,48,110,0
195871,48,116,0
196027,48,272,0
196160,48,405,0
196544,48,789,0
196835,48,1080,0
196874,48,1119,0
197040,48,1285,0
197397,48,1642,0
197430,48,1675,0
197671,48,1916,0
197764,48,2009,0
198043,48,2288,0
198519,48,2764,0
198686,48,2931,0
198727,48,2972,0
198792,48,3037,0
198800,48,3045,0
198846,48,3091,0
198858,48,3103,0
198870,48,3115,0
198876,48,3121,0
198981,48,3226,0
