@info
{
    "table":{
        "name":"gold",
        "description":"",
        "idAttrib":{
            "name":"pairId",
            "type":"INTEGER"
        },
        "projectName":"breakfast",
        "attributes":[
            {
                "name":"pairId",
                "type":"INTEGER"
            },
            {
                "name":"tableA.id",
                "type":"INTEGER"
            },
            {
                "name":"tableB.id",
                "type":"INTEGER"
            },
            {
                "name":"tableA.title",
                "type":"TEXT"
            },
            {
                "name":"tableA.price",
                "type":"FLOAT"
            },
            {
                "name":"tableA.brand",
                "type":"TEXT"
            },
            {
                "name":"tableA.weight",
                "type":"TEXT"
            },
            {
                "name":"tableA.size",
                "type":"TEXT"
            },
            {
                "name":"tableB.title",
                "type":"TEXT"
            },
            {
                "name":"tableB.price",
                "type":"FLOAT"
            },
            {
                "name":"tableB.description",
                "type":"TEXT"
            },
            {
                "name":"tableB.variation_size",
                "type":"TEXT"
            },
            {
                "name":"tableB.size",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairId:INTEGER,tableA.id:INTEGER,tableB.id:INTEGER,tableA.title:TEXT,tableA.price:FLOAT,tableA.brand:TEXT,tableA.weight:TEXT,tableA.size:TEXT,tableB.title:TEXT,tableB.price:FLOAT,tableB.description:TEXT,tableB.variation_size:TEXT,tableB.size:TEXT,label:INTEGER
445,1,445,fiber one honey clusters cereal  14.25 oz,3.98,Fiber One,14.25,NA,barbara's bakery high fiber cereal  original 12 oz,8.74,barbara's bakery high,12,NA,0
3341,1,3341,fiber one honey clusters cereal  14.25 oz,3.98,Fiber One,14.25,NA,chex cereal  honey nut  13.8 oz,12.79,"chex cereal ",13.8,NA,0
5385,2,1220,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,kellogg's special k cereal bar  strawberry  .81 oz  12/box,15.48,kellogg's special k,81,NA,0
5744,2,1579,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,special k cereal bar  strawberry;blueberry  .81 oz  12/box,16.98,special k cereal,81,NA,0
5802,2,1637,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,kellogg's special k red berries cereal 14.7 oz,9.95,kellogg's special k,14.7,NA,0
5945,2,1780,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,kellogg's special k cereal  vanilla almond  12.4 ounce (pack of 12),59.99,kellogg's special k,12.4,12.0,0
7150,2,2985,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,special k cereal bar  strawberry  .81 oz  12/box,12.81,special k cereal,81,NA,0
7580,2,3415,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,kellogg's special k cereal bars hazelnut & almond (5x21g),7.19,kellogg's special k,NA,NA,0
7920,2,3755,special k vanilla almond cereal  12.4 oz,2.98,Kellogg's Special K,12.4,NA,special k cereal  chocolatey delight  13.4 oz,8.97,special k cereal,13.4,NA,0
8789,3,459,cascadian farm organic oats and honey granola  16 oz,3.0,Cascadian Farms,16,NA,cascadian farm organic granola  oatmeal rasin 6.24 oz. (case of 12),79.51,cascadian farm organic,6.24,NA,0
10230,3,1900,cascadian farm organic oats and honey granola  16 oz,3.0,Cascadian Farms,16,NA,cascadian farm organic granola bars  oats and cocoa crunchy  7.1 oz,10.39,cascadian farm organic,7.1,NA,0
10712,3,2382,cascadian farm organic oats and honey granola  16 oz,3.0,Cascadian Farms,16,NA,cascadian farm organic crunchy granola bars  peanut butter  7.1 ounce,5.8,cascadian farm organic,7.1,NA,0
11354,3,3024,cascadian farm organic oats and honey granola  16 oz,3.0,Cascadian Farms,16,NA,cascadian farm organic peanut butter chip chewy granola bars  7.4 oz,10.19,cascadian farm organic,7.4,NA,0
11764,3,3434,cascadian farm organic oats and honey granola  16 oz,3.0,Cascadian Farms,16,NA,cascadian farm organic fruitful o's cereal  10.19 oz,13.15,cascadian farm organic,10.19,NA,0
11766,3,3436,cascadian farm organic oats and honey granola  16 oz,3.0,Cascadian Farms,16,NA,cascadian farm chocolate chip organic chewy granola bars  7.4 oz,13.98,cascadian farm chocolate,7.4,NA,0
23313,6,2488,go raw granola 1lb pack of 6,85.52,Go Raw,NA,6.0,go raw 100% organic bars variety pack of 12,16.95,go raw 100%,NA,12.0,0
23831,6,3006,go raw granola 1lb pack of 6,85.52,Go Raw,NA,6.0,go raw live granola bar (10x1.8 oz.),-1.0,go raw live,1.8,NA,0
