@info
{
    "table":{
        "name":"tableA",
        "description":"",
        "idAttrib":{
            "name":"id",
            "type":"INTEGER"
        },
        "projectName":"breakfast",
        "attributes":[
            {
                "name":"id",
                "type":"INTEGER"
            },
            {
                "name":"brand",
                "type":"TEXT"
            },
            {
                "name":"description",
                "type":"TEXT"
            },
            {
                "name":"ingredients",
                "type":"TEXT"
            },
            {
                "name":"keywords",
                "type":"TEXT"
            },
            {
                "name":"price",
                "type":"FLOAT"
            },
            {
                "name":"size",
                "type":"TEXT"
            },
            {
                "name":"title",
                "type":"TEXT"
            },
            {
                "name":"weight",
                "type":"FLOAT"
            }
        ]
    }
}

@data
id:INTEGER,brand:TEXT,description:TEXT,ingredients:TEXT,keywords:TEXT,price:FLOAT,size:TEXT,title:TEXT,weight:FLOAT
1,Fiber One,Fiber One Honey Clusters Cereal contains 27 grams whole grain per serving (at least 48 grams recommended daily) A whole grain food is made by using all three parts of the grain,Whole Grain Wheat  Corn Bran  Wheat Bran  Chicory Root Extract  Whole Grain Oats  Crisp Oats (Rice Flour  Whole Grain Oats  Sugar  Malt Extract  Toasted Oats (Whole Grain Oats  Sugar  High Fructose Corn Syrup  Soybean Oil  Honey  Brown Sugar  Molasses)  Salt  Wheat Bits (Whole Grain Wheat  Corn Starch  Corn Flour  Sugar  Salt  Trisodium Phosphate  Baking Soda  Color Added)  Barley Malt Extract  Honey  Modified Corn Starch  Malt Syrup  Tripotassium Phosphate  Color Added  Cinnamon  Natural And Artificial Flavor  Sucralose  Walnut Meal  Almond Meal  Nonfat Milk. Vitamin E (Mixed Tocopherols) And BHT Added To Preserve Freshness. Vitamins And Minerals: Calcium Carbonate  Zinc And Iron (Mineral Nutrients)  Vitamin C (Sodium Ascorbate)  A B Vitamin (Niacinamide)  Vitamin B6 (Pyridoxine Hydrochloride)  A B Vitamin (Folic Acid)  Vitamin B12.,Fiber One Cereal  Honey Clusters Cereal  14.25 oz  Whole Grain Cereal,3.98,8.0x12.0x12.0,Fiber One Honey Clusters Cereal  14.25 oz,1.35
2,Kellogg's Special K,NA,Rice  Whole Grain Wheat  Sugar  Almonds  Wheat Bran  Contains 2% Or Less of Salt  Brown Sugar Syrup  Soluble Wheat Fiber  Malt Flavoring  Honey  Maltodextrin  Natural And Artificial Flavor  BHT For Freshness. Vitamins And Minerals: Vitamin C (Ascorbic Acid)  Reduced Iron  Niacinamide  Vitamin B6 (Pyridoxine Hydrochloride)  Vitamin B2 (Riboflavin)  Vitamin B1 (Thiamin Hydrochloride)  Vitamin A Palmitate  Folic Acid  Vitamin D  Vitamin B12. Contains Wheat And Almond Ingredients.,Special K Vanilla Almond Cereal  12.4 oz  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,2.98,1.875x7.5x10.75,Special K Vanilla Almond Cereal  12.4 oz,0.775
3,Cascadian Farms,The Cascadian Farm Organic Oats and Honey Granola will treat your tastebuds This cereal has outstanding flavor and a satisfying texture,Whole Grain Oats*  Sugar*  Rice*  Sunflower Oil*  Molasses*  Maltodextrin*  Honey*  Sea Salt  Malted Barley Extract*  Vanilla Extract*. Vitamin E (Mixed Tocopherols) Added to Preserve Freshness. May Contain Wheat Ingredients. *Organic.,Cascadian Farm Organic Oats and Honey Granola  Cascadian Farm Granola  16 Oz  Cascadian Farm Cereal,3.0,2.0x6.25x9.43,Cascadian Farm Organic Oats and Honey Granola  16 oz,1.0
4,NA,"Natures Path 52163 Organic Mesa Sunrise F Cereal: Breakfast & Cereal : Walmart.com ",NA,Natures Path 52163 Organic Mesa Sunrise F Cereal  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,57.53,12.09,Natures Path 52163 Organic Mesa Sunrise F Cereal,-1.0
5,NATURES PATH,Superfood breakfast cereal 6 g protein (per 30 g serving)  4 g fiber (per 30 g serving)  2.2 g ALA omega-3s (per 30 g serving),NA,Natures Path Breakfast Cereal 7.9oz Pack of 10  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,100.11,12.22x8.49x5.57,Natures Path Breakfast Cereal 7.9oz Pack of 10,8.32
6,Go Raw,Real live food Premium - with hemp,NA,Go Raw Granola 1lb Pack of 6  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,85.52,16.0x6.5x5.38,Go Raw Granola 1lb Pack of 6,16.56
7,Tru Roots,Whole Grain From farms that use best practices and time-honored tradition,NA,Tru Roots Quinoa 12oz Pack of 6  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,67.92,9.0x7.0x5.0,Tru Roots Quinoa 12oz Pack of 6,13.04
8,Kellogg's Poptarts,NA,Frosted Strawberry: Enriched Flour (Wheat Flour  Niacin  Reduced Iron  Thiamin Mononitrate [Vitamin B1]  Riboflavin [Vitamin B2]  Folic Acid)  Corn Syrup  High Fructose Corn Syrup  Dextrose  Soybean And Palm Oil (With Tbhq For Freshness)  Sugar  Contains Two Percent Or Less of Cracker Meal  Wheat Starch  Salt  Dried Strawberries  Dried Pears  Dried Apples  Cornstarch  Leavening (Baking Soda  Sodium Acid Pyrophosphate  Monocalcium Phosphate)  Citric Acid  Corn Cereal  Gelatin  Partially Hydrogenated Soybean Oil+  Caramel Color  Modified Corn Starch  Soy Lecithin  Xanthan Gum  Modified Wheat Starch  Tricalcium Phosphate  Color Added  Turmeric Color  Vitamin A Palmitate  Red #40  Niacinamide  Reduced Iron  Pyridoxine Hydrochloride (Vitamin B6)  Yellow #6  Riboflavin (Vitamin B2)  Thiamine Hydrochloride (Vitamin B1)  Folic Acid  Blue #1. Frosted Brown Sugar Cinnamon: Enriched Flour (Wheat Flour  Niacin  Reduced Iron  Thiamin Mononitrate [Vitamin B1]  Riboflavin [Vitamin B2]  Folic Acid)  Brown Sugar (Sugar  Molasses)  Soybean And Palm Oil (With Tbhq For Freshness)  Corn Syrup  Dextrose  High Fructose Corn Syrup  Cracker Meal  Contains Two Percent Or Less of Salt  Calcium Carbonate  Cornstarch  Leavening (Baking Soda  Sodium Acid Pyrophosphate  Monocalcium Phosphate)  Cinnamon  Wheat Starch  Gelatin  Caramel Color  Soy Lecithin  Vitamin A Palmitate  Niacinamide  Reduced Iron  Pyridoxine Hydrochloride (Vitamin B6)  Riboflavin (Vitamin B2)  Thiamin Hydrochloride (Vitamin B1)  Folic Acid. Contains Wheat And Soy Ingredients. +Less Than 0.5g Trans Fat Per Serving.,Kellogg's Pop-Tarts Frosted Strawberry & Frosted Brown Sugar Cinnamon Toaster Pastries  48 count  86.2 oz  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,9.98,6.125x6.688x11.063,Kellogg's Pop-Tarts Frosted Strawberry & Frosted Brown Sugar Cinnamon Toaster Pastries  48 count  86.2 oz,6.15
9,Pillsbury,NA,Enriched Flour Bleached (Wheat Flour  Malted Barley Flour  Niacin  Ferrous Sulfate  Thiamin Mononitrate  Riboflavin  Folic Acid  Azodicarbonamide [Dough Conditioner])  Water  Vegetable Oil (Palm  Soybean)  High Fructose Corn Syrup  Sugar  Maltodextrin. Contains 2% Or Less of: Corn Starch  Modified Corn Starch  Dry Yeast  Hydrogenated Palm Oil  Salt  Whey  Dextrose  Egg Yolk  Baking Powder (Baking Soda  Sodium Acid Pyrophosphate)  Corn Syrup Solids  Strawberry Puree  Citric Acid  Blueberry Puree  Mono- And Diglycerides  Sodium Citrate  Preservatives (Potassium Sorbate  Sodium Benzoate  Tbhq)  Xanthan Gum  Polysorbate 60  Natural And Artificial Flavor  Guar Gum  Locust Bean Gum  Colored With (Red 40  Yellow 5  Blue 1  Artificial Color)  Sucralose. Contains Wheat  Milk And Egg Ingredients.,Pillsbury Toaster Strudel Wildberry Toaster Pastries  6 count  11.5 oz  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,-1.0,NA,Pillsbury Toaster Strudel Wildberry Toaster Pastries  6 count  11.5 oz,-1.0
10,Wholesome Goodness,Rice and wheat flakes with vanilla and almonds Simple,NA,Wholesome Goodness Cereal 14oz Pack of 10  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,67.8,14.75x12.55x10.25,Wholesome Goodness Cereal 14oz Pack of 10,16.56
11,POP-TARTS,NA,NA,Kellogg's Pop-Tarts Frosted Grape Toaster Pastries  14.1 oz  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,1.98,0.3021x0.2917x0.4428,Kellogg's Pop-Tarts Frosted Grape Toaster Pastries  14.1 oz,0.0734
