@info
{
    "table":{
        "name":"TableA_skd",
        "description":"",
        "idAttrib":{
            "name":"filename",
            "type":"TEXT"
        },
        "projectName":"el_325_skd",
        "attributes":[
            {
                "name":"filename",
                "type":"TEXT"
            },
            {
                "name":"book_name",
                "type":"TEXT"
            },
            {
                "name":"contributors",
                "type":"TEXT"
            },
            {
                "name":"Hardcover",
                "type":"TEXT"
            },
            {
                "name":"Paperback",
                "type":"TEXT"
            },
            {
                "name":"NOOK Book",
                "type":"TEXT"
            },
            {
                "name":"Audiobook",
                "type":"TEXT"
            },
            {
                "name":"ISBN-13",
                "type":"TEXT"
            },
            {
                "name":"Series",
                "type":"TEXT"
            },
            {
                "name":"Publisher",
                "type":"TEXT"
            },
            {
                "name":"Publication Date",
                "type":"TEXT"
            },
            {
                "name":"Sales rank",
                "type":"TEXT"
            },
            {
                "name":"Pages",
                "type":"TEXT"
            },
            {
                "name":"Product dimensions",
                "type":"TEXT"
            }
        ]
    }
}

@data
filename:TEXT,book_name:TEXT,contributors:TEXT,Hardcover:TEXT,Paperback:TEXT,NOOK Book:TEXT,Audiobook:TEXT,ISBN-13:TEXT,Series:TEXT,Publisher:TEXT,Publication Date:TEXT,Sales rank:TEXT,Pages:TEXT,Product dimensions:TEXT
0.html,A Guide to the Project Management Body of Knowledge (Pmbok Guide) - 5th Edition / Edition 5,Project Management Institute,,$38.17,,,9781935589679,,Project Management Institute,,332,589,10.86(w) x 8.26(h) x 1.24(d)
1.html,Windows 10: The Missing Manual,David Pogue,,$23.41,$19.99,,9781491947173,,"O'Reilly Media, Incorporated",,300,696,7.00(w) x 9.20(h) x 1.40(d)
2.html,"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win",Gene Kim# Kevin Behr# George Spafford, ,$13.17,$9.99,,9780988262508,,IT Revolution Press,,"30,046",376,5.90(w) x 8.90(h) x 1.10(d)
3.html,Reclaiming Conversation: The Power of Talk in a Digital Age,Sherry Turkle,$17.46,,$14.99,$31.83,9781594205552,,Penguin Publishing Group,,238,448,
4.html,A Work in Progress,Connor Franta,,$12.17,$12.99,,9781476791616,,Atria/Keywords Press,,266,224,5.40(w) x 8.30(h) x 0.80(d)
5.html,Windows 10 For Dummies,Andy Rathbone,,$15.36,$12.99,,9781119049364,,Wiley,,476,432,7.30(w) x 9.20(h) x 0.90(d)
6.html,DotCom Secrets: The Underground Playbook for Growing Your Company Online,Russell Brunson,,$11.54,$8.49,,9781630474775,,Morgan James Publishing,,"1,685",236,5.40(w) x 8.40(h) x 0.80(d)
7.html,Ask: The Counterintuitive Online Formula to Discover Exactly What Your Customers Want to Buy...Create a Mass of Raving Fans...and Take Any Business to the Next Level,Ryan Levesque,,$7.21,$6.99,,9781939447722,,Dunham Books,,"2,547",160,5.50(w) x 8.40(h) x 0.60(d)
8.html,Youtube : I Invented You Tube,Eric Skaggs,,,,,9781312931596,,Lulu.com,,"4,161",,
9.html,"Alan Turing: The Enigma: The Book That Inspired the Film ""The Imitation Game""",Andrew Hodges,,$13.05,$6.78,,9780691164724,,Princeton University Press,,"17,053",768,5.00(w) x 7.70(h) x 2.20(d)
10.html,Minecraft Craftings,Ika Maisuradze,,,,,9782765913511,,Ika Maisuradze,,"10,063",,
11.html,"Candy Crush Soda Saga: The Juicy, Tasty, Sodalicious, and Soda Crush, Unofficial Player's Guide with Secret Tips, Tricks and Strategies",Jack Adams,,,,,2940046317978,,Jack Adams,,"10,535",,
12.html,Steve Jobs,Walter Isaacson,$21.34,$12.27,$12.99,$19.19,9781451648546,,Simon & Schuster,,925,656,6.38(w) x 9.02(h) x 1.56(d)
13.html,Turn Your Story into an eBook: Easy Self-Publishing with Draft2Digital.com (Unstressed Syllables Presents),Aaron Pogue,,,,,2940015963328,Unstressed Syllables Presents,Masked Fox Productions,,"14,345",,
14.html,Windows 10 For Seniors For Dummies,Peter Weverka,,$14.59,$12.99,,9781119038597,,Wiley,,392,336,7.30(w) x 9.20(h) x 0.80(d)
15.html,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull# Amy Wallace,$16.66,,$13.99,$24.55,9780812993011,,Random House Publishing Group,,768,368,6.20(w) x 9.40(h) x 2.20(d)
16.html,"CompTIA A+ Certification All-in-One Exam Guide, 8th Edition (Exams 220-801 & 220-802)",Mike Meyers,,,$45.00,,9780071795111,All-in-One,McGraw-Hill Education,,"120,658",1200,
17.html,Teach Yourself VISUALLY Windows 10,Paul McFedries,,$17.34,$15.99,,9781119057024,Teach Yourself VISUALLY (Tech) Series,Wiley,,"1,351",352,9.00(w) x 7.40(h) x 0.80(d)
18.html,"App Storm: Best Kindle Fire Apps, a Torrent of Games, Tools, and Learning Applications, Free and Paid, for Young and Old",Steve Weber,,,,,9781498965040,,Steve Weber,,"18,406",,
19.html,So You've Been Publicly Shamed,Jon Ronson,$19.06,$16.00,$13.99,$24.43,9781594487132,,Penguin Publishing Group,,"45,652",304,
20.html,"CISSP All-in-One Exam Guide, 6th Edition",Shon Harris,,,$60.00,,9780071781732,All-in-One,McGraw-Hill Education,,"449,536",1008,
21.html,The Church of Facebook: How the Wireless Generation Is Redefining Community,Jesse Rice,,$13.46,$10.99,,9781434765345,,"Cook, David C",,,240,5.50(w) x 8.20(h) x 0.60(d)
22.html,MyStatLab Student Access Kit (Standalone),Pearson Education# Pearson Education Staff,,,,,9780321694645,,Pearson,,"21,835",,7.80(w) x 9.80(h) x 0.20(d)
23.html,Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader,Brent Schlender# Rick Tetzeli,$30.00, ,$14.99,$31.33,9780385347402,,The Crown Publishing Group,,"49,449",464,6.40(w) x 9.20(h) x 1.60(d)
24.html,The Witcher 3: Wild Hunt Collector's Edition: Prima Official Game Guide,David Hodgson# Alex Musa,,,,,9780804162982,,DK Games,,"23,845",528,8.30(w) x 11.10(h) x 1.70(d)
25.html,Samsung Galaxy Tab 4 NOOK For Dummies,Corey Sandler,,$18.53,$10.49,,9781119008347,,Wiley,,"101,609",288,7.30(w) x 9.00(h) x 0.60(d)
28.html,"Introducing Windows 10 for IT Professionals, Preview Edition",Ed Bott,,,,,9780735696990,Introducing,Pearson Education,,"26,176",150,
29.html,Quicken WillMaker Plus 2015 Edition: Book & Software Kit,Nolo Editors,,,,,9781413320732,,NOLO,,"27,928",472,6.90(w) x 8.90(h) x 1.20(d)
30.html,"Future Crimes: Everything Is Connected, Everyone Is Vulnerable and What We Can Do About It",Marc Goodman,$17.04,,$12.99,$32.15,9780385539005,,Knopf Doubleday Publishing Group,,"41,330",464,6.20(w) x 9.40(h) x 1.40(d)
31.html,Pokemon Omega Ruby & Pokemon Alpha Sapphire: The Official National Pokedex,Pokemon Company International,,,,,9781101898284,,"Random House, Inc.",,"29,091",592,
32.html,700 Best Kindle Fire Apps: Including the Top 500+ Free Apps!,Steve Weber,,,,,2940151711913,,Steve Weber,,"30,627",,
33.html,"Library of Death (The Scourge of the Glitch , #1)",Cantonfield Kids,,,,,2940046262872,Scourge of the Glitch,Cantonfield Publishing,,"28,490",,
34.html,"CompTIA Network+ All-In-One Exam Guide, Sixth Edition (Exam N10-006)",Mike Meyers,$34.39,,$34.99,,9780071848220,All-in-One Series,McGraw-Hill Professional Publishing,,"31,213",872,7.70(w) x 9.10(h) x 2.00(d)
35.html,A Newbies Guide to Samsung Galaxy Tab 4 Nook: The Unofficial Beginners Guide to Doing Everything with the Nook Tablet,Minute Help Guides,,$7.99,$2.99,,9781502337368,,CreateSpace Publishing,,"345,691",100,8.50(w) x 11.00(h) x 0.21(d)
36.html,Earn Money with Swagbucks,Jeff Boyer,,,,,2940152253818,,Gamma Mouse,,"29,943",,
37.html,Make Money Online,Warren R. Sullivan,,,,,2940152244359,,Gamma Mouse,,"34,124",,
38.html,Tony Northrup's DSLR Book: How to Create Stunning Digital Photography,Tony Northrup,,$21.50,$9.98,,2940013832770,,Mason Press,,"34,610",240,
39.html,Evernote Essentials Guide (Boxed Set): Evernote Guide For Beginners for Organizing Your Life,Speedy Publishing,,,,,9781633835481,,Speedy Publishing LLC,,"37,136",58,
41.html,"Golem Attack (The Mastercreeper Plan, #1)",Cantonfield Kids,,,,,2940151699884,Mastercreeper Plan,Cantonfield Publishing,,"33,835",,
42.html,That Tree: An iPhone Photo Journal Documenting a Year in the Life of a Lonely Bur Oak,Mark Hirsch,,,,,9780615804422,,Press Syndication Group,,"35,686",,10.20(w) x 10.20(h) x 0.90(d)
43.html,Record Store in a Box: A Guide to Free Music on the Internet,Chris Mason,,,,,2940045580809,In a Box,Chris Mason,,"38,584",,
44.html,World Wide Rave: Creating Triggers that Get Millions of People to Spread Your Ideas and Share Your Stories / Edition 1,David Meerman Scott,$17.36,,$0.00,,9780470395004,,Wiley,,"1,331,506",208,4.90(w) x 7.10(h) x 0.60(d)
45.html,Alan Turing: The Enigma Man,Nigel Cawthorne,,,,,9781784280420,,Arcturus Publishing,,"36,836",,
46.html,Tribes: We Need You to Lead Us,Seth Godin,$11.76,,$16.99,$7.11,9781591842330,,Penguin Publishing Group,,"36,949",160,
47.html,Creating Mobile Apps with Xamarin.Forms Preview Edition 2,Charles Petzold,,,,,9780735697379,Developer Reference,Pearson Education,,"37,079",400,
48.html,JavaScript and HTML5 Now,Kyle Simpson,,,,,9781449339067,,"O'Reilly Media, Incorporated",,"38,987",18,
49.html,The Adobe Photoshop Lightroom CC Book for Digital Photographers,Scott Kelby,,$31.09,$23.49,,9780133979794,Voices That Matter Series,New Riders,,"36,647",576,7.90(w) x 9.90(h) x 1.30(d)
50.html,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,$18.03,$10.11,$9.99,$9.38,9780446576222,,Grand Central Publishing,,"37,889",253,5.90(w) x 8.90(h) x 0.90(d)
51.html,Find free Kindle books,Edward Jones,,,,,2940152199239,,Edward Jones,,"37,486",,
52.html,HTML & CSS: Design and Build Web Sites,Jon Duckett,,$17.19,,,9781118008188,,Wiley,,"39,087",512,7.30(w) x 9.10(h) x 1.10(d)
