@info
{
    "table":{
        "name":"train1cc",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"elec_40K",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT,label:INTEGER
3,248280,248280#Walmart.com,1
5,272168,272168#Walmart.com,1
9,320246,320246#Walmart.com,1
13,405487,405487#Walmart.com,1
14,453694,453694#Walmart.com,1
15,454695,454695#Walmart.com,1
16,468887,468887#Walmart.com,1
17,481771,481771#Walmart.com,1
21,518860,518860#Walmart.com,1
22,519343,519343#Walmart.com,1
24,532132,532132#Walmart.com,1
25,538351,538351#Walmart.com,1
30,582680,582680#Walmart.com,1
32,619990,619990#Walmart.com,1
33,621665,621665#Walmart.com,1
36,638215,638215#Walmart.com,1
40,676261,676261#Walmart.com,1
41,700450,700450#Walmart.com,1
43,757755,757755#Walmart.com,1
46,809812,809812#Walmart.com,1
48,830813,830813#Walmart.com,1
49,831793,831793#Walmart.com,1
52,845358,845358#Walmart.com,1
53,849492,849492#Walmart.com,1
56,857458,857458#Walmart.com,1
57,864453,864453#Walmart.com,1
60,870856,870856#Walmart.com,1
61,870864,870864#Walmart.com,1
64,908068,908068#Walmart.com,1
68,202896,202896#Walmart.com,1
71,238588,238588#Walmart.com,1
73,245478,245478#Walmart.com,1
74,283666,283666#Walmart.com,1
75,288817,288817#Walmart.com,1
77,311028,311028#Walmart.com,1
86,456574,456574#Walmart.com,1
89,468897,468897#Walmart.com,1
92,480855,480855#Walmart.com,1
94,503280,503280#Walmart.com,1
97,535236,535236#Walmart.com,1
98,535438,535438#Walmart.com,1
99,536115,536115#Walmart.com,1
100,537772,537772#Walmart.com,1
101,557657,557657#Walmart.com,1
103,570890,570890#Walmart.com,1
104,633051,633051#Walmart.com,1
105,652267,652267#Walmart.com,1
107,706129,706129#Walmart.com,1
108,718069,718069#Walmart.com,1
111,763787,763787#Walmart.com,1
114,796905,796905#Walmart.com,1
118,831010,831010#Walmart.com,1
119,831632,831632#Walmart.com,1
120,833529,833529#Walmart.com,1
122,847036,847036#Walmart.com,1
124,852047,852047#Walmart.com,1
125,853085,853085#Walmart.com,1
126,866769,866769#Walmart.com,1
130,872034,872034#Walmart.com,1
132,908067,908067#Walmart.com,1
133,913614,913614#Walmart.com,1
135,930530,930530#Walmart.com,1
136,213165,213165#Walmart.com,1
138,238653,238653#Walmart.com,1
143,283725,283725#Walmart.com,1
147,374986,374986#Walmart.com,1
149,398266,398266#Walmart.com,1
153,445878,445878#Walmart.com,1
156,456436,456436#Walmart.com,1
162,15994001,15994001#Tonzof,1
163,16203513,16203513#Tonzof,1
168,10333826,10333826#Bic Warehouse,1
169,16225731,16225731#Tonzof,1
171,16332625,16332625#Tonzof,1
177,10993519,10993519#Bic Warehouse,1
180,13021195,13021195#Bic Warehouse,1
181,13056064,13056064#Bic Warehouse,1
185,16401825,16401825#Tonzof,1
188,16419486,16419486#Tonzof,1
190,14590872,14590872#Bic Warehouse,1
191,16422766,16422766#Tonzof,1
192,16422789,16422789#Tonzof,1
193,474731,474731#Walmart.com,1
203,16480782,16480782#Tonzof,1
205,30026574,30026574#Perf-Moto,1
212,501757,501757#Walmart.com,1
218,512583,512583#Walmart.com,1
220,30051055,30051055#Perf-Moto,1
222,16523411,16523411#Tonzof,1
227,16533403,16533403#Tonzof,1
231,16550334,16550334#Tonzof,1
234,42964854,42964854#O.co,1
238,30052809,30052809#Perf-Moto,1
239,16563235,16563235#Tonzof,1
243,42965939,42965939#O.co,1
244,518581,518581#Walmart.com,1
245,16606780,16606780#Tonzof,1
253,10242691,10242691#Bic Warehouse,1
254,16636620,16636620#Tonzof,1
261,11002011,11002011#Bic Warehouse,1
262,16652566,16652566#Tonzof,1
268,42968661,42968661#O.co,1
269,533118,533118#Walmart.com,1
272,533213,533213#Walmart.com,1
273,533229,533229#Walmart.com,1
276,16880180,16880180#Tonzof,1
282,16904476,16904476#Tonzof,1
284,15993998,15993998#Bic Warehouse,1
287,541908,541908#Walmart.com,1
289,16928767,16928767#Tonzof,1
292,16954423,16954423#Tonzof,1
293,16911863,16911863#Bic Warehouse,1
295,16954545,16954545#Tonzof,1
299,42973443,42973443#O.co,1
303,17338075,17338075#Bic Warehouse,1
307,42974421,42974421#O.co,1
308,17129037,17129037#Tonzof,1
309,17129178,17129178#Tonzof,1
310,17129183,17129183#Tonzof,1
314,17165079,17165079#Tonzof,1
317,17167623,17167623#Tonzof,1
318,17173548,17173548#Tonzof,1
320,17188976,17188976#Tonzof,1
321,17196377,17196377#Tonzof,1
322,17200963,17200963#Tonzof,1
326,17218985,17218985#Tonzof,1
330,17237655,17237655#Tonzof,1
332,42978795,42978795#O.co,1
335,622795,622795#Walmart.com,1
347,30062968,30062968#Perf-Moto,1
348,42980080,42980080#O.co,1
349,14575798,14575798#Bic Warehouse,1
350,17376845,17376845#Tonzof,1
355,17378701,17378701#Tonzof,1
356,14915847,14915847#Bic Warehouse,1
358,14922680,14922680#Bic Warehouse,1
359,42984279,42984279#O.co,1
364,42984823,42984823#O.co,1
365,15047783,15047783#Bic Warehouse,1
366,17472692,17472692#Tonzof,1
370,17480517,17480517#Tonzof,1
372,15173186,15173186#Bic Warehouse,1
373,15268499,15268499#Bic Warehouse,1
374,17617007,17617007#Tonzof,1
375,17617033,17617033#Tonzof,1
381,17695702,17695702#Tonzof,1
383,17770443,17770443#Tonzof,1
384,669939,669939#Walmart.com,1
388,17787034,17787034#Tonzof,1
389,17787038,17787038#Tonzof,1
397,17472786,17472786#Bic Warehouse,1
400,19311050,19311050#Bic Warehouse,1
401,692034,692034#Walmart.com,1
405,30152903,30152903#Perf-Moto,1
406,19276756,19276756#Tonzof,1
411,13075158,13075158#Bic Warehouse,1
413,14301744,14301744#Bic Warehouse,1
414,720203,720203#Walmart.com,1
417,42993668,42993668#O.co,1
419,14922497,14922497#Bic Warehouse,1
422,42993688,42993688#O.co,1
424,14927358,14927358#Bic Warehouse,1
429,735692,735692#Walmart.com,1
430,15105362,15105362#Bic Warehouse,1
432,15118428,15118428#Bic Warehouse,1
435,19314741,19314741#Tonzof,1
438,11973999,11973999#HappEshopper,1
439,17205992,17205992#HappEshopper,1
441,19885600,19885600#HappEshopper,1
445,17206011,17206011#HappEshopper,1
447,16671312,16671312#HappEshopper,1
448,19604086,19604086#HappEshopper,1
449,19341674,19341674#Tonzof,1
455,17205994,17205994#HappEshopper,1
457,17205985,17205985#HappEshopper,1
459,16595181,16595181#HappEshopper,1
462,17205987,17205987#HappEshopper,1
465,11070555,11070555#HappEshopper,1
472,19410187,19410187#Tonzof,1
473,19410201,19410201#Tonzof,1
477,21188931,21188931#HappEshopper,1
478,22237370,22237370#HappEshopper,1
482,19415356,19415356#Tonzof,1
483,19415381,19415381#Tonzof,1
486,24309670,24309670#HappEshopper,1
493,19417955,19417955#Tonzof,1
494,23703091,23703091#HappEshopper,1
499,24905270,24905270#HappEshopper,1
504,21188895,21188895#HappEshopper,1
510,24905277,24905277#HappEshopper,1
513,21188916,21188916#HappEshopper,1
515,23703096,23703096#HappEshopper,1
521,24309665,24309665#HappEshopper,1
522,26076191,26076191#HappEshopper,1
526,23807913,23807913#HappEshopper,1
527,19580938,19580938#Tonzof,1
529,24221798,24221798#HappEshopper,1
530,26076190,26076190#HappEshopper,1
531,19592627,19592627#Tonzof,1
534,763789,763789#Walmart.com,1
540,19593484,19593484#Tonzof,1
542,17378711,17378711#Bic Warehouse,1
551,22795014,22795014#HappEshopper,1
552,23814261,23814261#HappEshopper,1
554,24458370,24458370#HappEshopper,1
557,27940462,27940462#HappEshopper,1
564,21344085,21344085#HappEshopper,1
567,24221665,24221665#HappEshopper,1
569,24905294,24905294#HappEshopper,1
574,24221715,24221715#HappEshopper,1
576,29813665,29813665#HappEshopper,1
577,20896481,20896481#HappEshopper,1
586,23868360,23868360#HappEshopper,1
587,27172835,27172835#HappEshopper,1
591,19647618,19647618#Tonzof,1
595,20627999,20627999#HappEshopper,1
599,24458857,24458857#HappEshopper,1
602,24905289,24905289#HappEshopper,1
603,24905303,24905303#HappEshopper,1
607,31285349,31285349#HappEshopper,1
608,34800010,34800010#HappEshopper,1
609,36265796,36265796#HappEshopper,1
610,37310132,37310132#HappEshopper,1
615,39411968,39411968#HappEshopper,1
616,31343379,31343379#HappEshopper,1
617,34800011,34800011#HappEshopper,1
621,19684494,19684494#Tonzof,1
625,31264273,31264273#HappEshopper,1
626,35845053,35845053#HappEshopper,1
638,39863600,39863600#HappEshopper,1
640,30579744,30579744#HappEshopper,1
642,32800967,32800967#HappEshopper,1
645,38425215,38425215#HappEshopper,1
647,39823015,39823015#HappEshopper,1
649,12321767,12321767#Bic Warehouse,1
650,31251710,31251710#HappEshopper,1
651,31260354,31260354#HappEshopper,1
654,35935037,35935037#HappEshopper,1
655,19793204,19793204#Tonzof,1
656,19795286,19795286#Tonzof,1
661,13073311,13073311#Bic Warehouse,1
662,30030337,30030337#HappEshopper,1
663,13081524,13081524#Bic Warehouse,1
664,31250430,31250430#HappEshopper,1
669,19862455,19862455#Tonzof,1
680,39411969,39411969#HappEshopper,1
682,39874348,39874348#HappEshopper,1
685,33684630,33684630#HappEshopper,1
687,37909912,37909912#HappEshopper,1
694,37471695,37471695#HappEshopper,1
695,30579748,30579748#HappEshopper,1
699,38264787,38264787#HappEshopper,1
702,39567896,39567896#HappEshopper,1
703,15047785,15047785#Bic Warehouse,1
706,35193827,35193827#HappEshopper,1
709,38378209,38378209#HappEshopper,1
716,35882467,35882467#HappEshopper,1
718,39403847,39403847#HappEshopper,1
732,42748133,42748133#HappEshopper,1
733,40945611,40945611#HappEshopper,1
734,41269321,41269321#HappEshopper,1
739,41981945,41981945#HappEshopper,1
741,830449,830449#Walmart.com,1
743,41269188,41269188#HappEshopper,1
744,41269254,41269254#HappEshopper,1
750,42748081,42748081#HappEshopper,1
751,42782164,42782164#HappEshopper,1
755,41269236,41269236#HappEshopper,1
757,41378019,41378019#HappEshopper,1
762,41982052,41982052#HappEshopper,1
771,19887923,19887923#Tonzof,1
774,19897308,19897308#Tonzof,1
776,42517022,42517022#HappEshopper,1
778,42963063,42963063#HappEshopper,1
780,41161819,41161819#HappEshopper,1
781,41161820,41161820#HappEshopper,1
785,41269307,41269307#HappEshopper,1
787,41879042,41879042#HappEshopper,1
788,10038408,10038408#Tonzof,1
790,41981905,41981905#HappEshopper,1
791,10073797,10073797#Tonzof,1
793,10099651,10099651#Tonzof,1
796,41981960,41981960#HappEshopper,1
801,10242673,10242673#Tonzof,1
807,10242795,10242795#Tonzof,1
810,42963094,42963094#HappEshopper,1
811,10284328,10284328#Tonzof,1
812,40717677,40717677#HappEshopper,1
813,10284364,10284364#Tonzof,1
815,10298555,10298555#Tonzof,1
817,10298565,10298565#Tonzof,1
820,41269247,41269247#HappEshopper,1
821,41269250,41269250#HappEshopper,1
822,41269261,41269261#HappEshopper,1
825,19866151,19866151#Bic Warehouse,1
826,10333827,10333827#Tonzof,1
830,41982042,41982042#HappEshopper,1
839,10603645,10603645#Tonzof,1
847,10730695,10730695#Tonzof,1
849,10242693,10242693#Bic Warehouse,1
850,10746775,10746775#Tonzof,1
854,10353073,10353073#Bic Warehouse,1
857,41981998,41981998#HappEshopper,1
858,10811240,10811240#Tonzof,1
861,42517052,42517052#HappEshopper,1
864,42748150,42748150#HappEshopper,1
866,10913181,10913181#Tonzof,1
868,41269225,41269225#HappEshopper,1
871,41269244,41269244#HappEshopper,1
872,41269255,41269255#HappEshopper,1
876,842821,842821#Walmart.com,1
877,10975609,10975609#Tonzof,1
883,10992495,10992495#Tonzof,1
888,11007934,11007934#Tonzof,1
889,11013482,11013482#Tonzof,1
890,11016949,11016949#Tonzof,1
902,41269289,41269289#HappEshopper,1
908,14669069,14669069#Bic Warehouse,1
909,41982032,41982032#HappEshopper,1
914,11077938,11077938#Tonzof,1
917,11331638,11331638#Tonzof,1
919,11331693,11331693#Tonzof,1
920,41269192,41269192#HappEshopper,1
927,11962147,11962147#Tonzof,1
928,11962166,11962166#Tonzof,1
937,12016362,12016362#Tonzof,1
939,42782166,42782166#HappEshopper,1
947,41879033,41879033#HappEshopper,1
949,15118429,15118429#Bic Warehouse,1
954,42748146,42748146#HappEshopper,1
955,15569971,15569971#Bic Warehouse,1
956,12342529,12342529#Tonzof,1
957,42782144,42782144#HappEshopper,1
958,42782161,42782161#HappEshopper,1
959,12342841,12342841#Tonzof,1
960,12342844,12342844#Tonzof,1
962,12343515,12343515#Tonzof,1
964,41161830,41161830#HappEshopper,1
968,41269252,41269252#HappEshopper,1
