@info
{
    "table":{
        "name":"train2r3",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"elec_40K",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT,label:INTEGER
1,215471,215471#Walmart.com,1
4,249673,249673#Walmart.com,1
6,283430,283430#Walmart.com,1
7,312235,312235#Walmart.com,1
8,320179,320179#Walmart.com,1
12,379254,379254#Walmart.com,1
18,491627,491627#Walmart.com,1
19,496626,496626#Walmart.com,1
28,568906,568906#Walmart.com,1
31,599768,599768#Walmart.com,1
34,623000,623000#Walmart.com,1
38,665138,665138#Walmart.com,1
44,784164,784164#Walmart.com,1
45,799511,799511#Walmart.com,1
51,841542,841542#Walmart.com,1
54,853594,853594#Walmart.com,1
55,853794,853794#Walmart.com,1
58,865798,865798#Walmart.com,1
62,872067,872067#Walmart.com,1
66,929157,929157#Walmart.com,1
72,238642,238642#Walmart.com,1
78,348834,348834#Walmart.com,1
82,431365,431365#Walmart.com,1
83,437915,437915#Walmart.com,1
84,438691,438691#Walmart.com,1
87,457398,457398#Walmart.com,1
88,465604,465604#Walmart.com,1
91,471927,471927#Walmart.com,1
95,512500,512500#Walmart.com,1
102,568894,568894#Walmart.com,1
106,680590,680590#Walmart.com,1
109,747505,747505#Walmart.com,1
110,759363,759363#Walmart.com,1
113,788597,788597#Walmart.com,1
117,827039,827039#Walmart.com,1
121,842140,842140#Walmart.com,1
127,869455,869455#Walmart.com,1
128,870823,870823#Walmart.com,1
131,872070,872070#Walmart.com,1
139,238661,238661#Walmart.com,1
145,326511,326511#Walmart.com,1
146,367360,367360#Walmart.com,1
150,416828,416828#Walmart.com,1
154,452080,452080#Walmart.com,1
157,461251,461251#Walmart.com,1
158,15913582,15913582#Tonzof,1
160,15935176,15935176#Tonzof,1
161,15935514,15935514#Tonzof,1
165,10242694,10242694#Bic Warehouse,1
167,16207415,16207415#Tonzof,1
173,16332676,16332676#Tonzof,1
174,16332718,16332718#Tonzof,1
176,10993254,10993254#Bic Warehouse,1
179,469133,469133#Walmart.com,1
