@info
{
    "table":{
        "name":"trainr",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"elec_40K",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT,label:INTEGER
1,215471,215471#Walmart.com,1
3,248280,248280#Walmart.com,1
4,249673,249673#Walmart.com,1
5,272168,272168#Walmart.com,1
6,283430,283430#Walmart.com,1
7,312235,312235#Walmart.com,1
8,320179,320179#Walmart.com,1
9,320246,320246#Walmart.com,1
12,379254,379254#Walmart.com,1
13,405487,405487#Walmart.com,1
14,453694,453694#Walmart.com,1
15,454695,454695#Walmart.com,1
16,468887,468887#Walmart.com,1
17,481771,481771#Walmart.com,1
18,491627,491627#Walmart.com,1
19,496626,496626#Walmart.com,1
21,518860,518860#Walmart.com,1
22,519343,519343#Walmart.com,1
24,532132,532132#Walmart.com,1
25,538351,538351#Walmart.com,1
28,568906,568906#Walmart.com,1
30,582680,582680#Walmart.com,1
31,599768,599768#Walmart.com,1
32,619990,619990#Walmart.com,1
33,621665,621665#Walmart.com,1
34,623000,623000#Walmart.com,1
36,638215,638215#Walmart.com,1
38,665138,665138#Walmart.com,1
40,676261,676261#Walmart.com,1
41,700450,700450#Walmart.com,1
43,757755,757755#Walmart.com,1
44,784164,784164#Walmart.com,1
45,799511,799511#Walmart.com,1
46,809812,809812#Walmart.com,1
48,830813,830813#Walmart.com,1
49,831793,831793#Walmart.com,1
51,841542,841542#Walmart.com,1
52,845358,845358#Walmart.com,1
53,849492,849492#Walmart.com,1
54,853594,853594#Walmart.com,1
55,853794,853794#Walmart.com,1
56,857458,857458#Walmart.com,1
57,864453,864453#Walmart.com,1
58,865798,865798#Walmart.com,1
60,870856,870856#Walmart.com,1
61,870864,870864#Walmart.com,1
62,872067,872067#Walmart.com,1
64,908068,908068#Walmart.com,1
66,929157,929157#Walmart.com,1
68,202896,202896#Walmart.com,1
71,238588,238588#Walmart.com,1
72,238642,238642#Walmart.com,1
73,245478,245478#Walmart.com,1
74,283666,283666#Walmart.com,1
75,288817,288817#Walmart.com,1
77,311028,311028#Walmart.com,1
78,348834,348834#Walmart.com,1
82,431365,431365#Walmart.com,1
83,437915,437915#Walmart.com,1
84,438691,438691#Walmart.com,1
86,456574,456574#Walmart.com,1
87,457398,457398#Walmart.com,1
88,465604,465604#Walmart.com,1
89,468897,468897#Walmart.com,1
91,471927,471927#Walmart.com,1
92,480855,480855#Walmart.com,1
94,503280,503280#Walmart.com,1
95,512500,512500#Walmart.com,1
97,535236,535236#Walmart.com,1
98,535438,535438#Walmart.com,1
99,536115,536115#Walmart.com,1
100,537772,537772#Walmart.com,1
101,557657,557657#Walmart.com,1
102,568894,568894#Walmart.com,1
103,570890,570890#Walmart.com,1
104,633051,633051#Walmart.com,1
105,652267,652267#Walmart.com,1
106,680590,680590#Walmart.com,1
107,706129,706129#Walmart.com,1
108,718069,718069#Walmart.com,1
109,747505,747505#Walmart.com,1
110,759363,759363#Walmart.com,1
111,763787,763787#Walmart.com,1
113,788597,788597#Walmart.com,1
114,796905,796905#Walmart.com,1
117,827039,827039#Walmart.com,1
118,831010,831010#Walmart.com,1
119,831632,831632#Walmart.com,1
120,833529,833529#Walmart.com,1
121,842140,842140#Walmart.com,1
122,847036,847036#Walmart.com,1
124,852047,852047#Walmart.com,1
125,853085,853085#Walmart.com,1
126,866769,866769#Walmart.com,1
127,869455,869455#Walmart.com,1
128,870823,870823#Walmart.com,1
130,872034,872034#Walmart.com,1
131,872070,872070#Walmart.com,1
132,908067,908067#Walmart.com,1
133,913614,913614#Walmart.com,1
135,930530,930530#Walmart.com,1
136,213165,213165#Walmart.com,1
138,238653,238653#Walmart.com,1
139,238661,238661#Walmart.com,1
143,283725,283725#Walmart.com,1
145,326511,326511#Walmart.com,1
146,367360,367360#Walmart.com,1
147,374986,374986#Walmart.com,1
149,398266,398266#Walmart.com,1
150,416828,416828#Walmart.com,1
153,445878,445878#Walmart.com,1
154,452080,452080#Walmart.com,1
156,456436,456436#Walmart.com,1
157,461251,461251#Walmart.com,1
158,15913582,15913582#Tonzof,1
160,15935176,15935176#Tonzof,1
161,15935514,15935514#Tonzof,1
162,15994001,15994001#Tonzof,1
163,16203513,16203513#Tonzof,1
165,10242694,10242694#Bic Warehouse,1
167,16207415,16207415#Tonzof,1
168,10333826,10333826#Bic Warehouse,1
169,16225731,16225731#Tonzof,1
171,16332625,16332625#Tonzof,1
173,16332676,16332676#Tonzof,1
174,16332718,16332718#Tonzof,1
176,10993254,10993254#Bic Warehouse,1
177,10993519,10993519#Bic Warehouse,1
179,469133,469133#Walmart.com,1
180,13021195,13021195#Bic Warehouse,1
181,13056064,13056064#Bic Warehouse,1
182,13136711,13136711#Bic Warehouse,1
183,13215283,13215283#Bic Warehouse,1
184,13432859,13432859#Bic Warehouse,1
185,16401825,16401825#Tonzof,1
187,16419415,16419415#Tonzof,1
188,16419486,16419486#Tonzof,1
189,30021208,30021208#Perf-Moto,1
190,14590872,14590872#Bic Warehouse,1
191,16422766,16422766#Tonzof,1
192,16422789,16422789#Tonzof,1
193,474731,474731#Walmart.com,1
195,480809,480809#Walmart.com,1
196,14916290,14916290#Bic Warehouse,1
199,481161,481161#Walmart.com,1
200,16472526,16472526#Tonzof,1
201,16472530,16472530#Tonzof,1
203,16480782,16480782#Tonzof,1
205,30026574,30026574#Perf-Moto,1
206,15173185,15173185#Bic Warehouse,1
208,42960972,42960972#O.co,1
210,501744,501744#Walmart.com,1
212,501757,501757#Walmart.com,1
213,42961419,42961419#O.co,1
214,16489835,16489835#Tonzof,1
216,16491111,16491111#Tonzof,1
218,512583,512583#Walmart.com,1
219,16503291,16503291#Tonzof,1
220,30051055,30051055#Perf-Moto,1
222,16523411,16523411#Tonzof,1
224,16529013,16529013#Tonzof,1
226,16531383,16531383#Tonzof,1
227,16533403,16533403#Tonzof,1
231,16550334,16550334#Tonzof,1
234,42964854,42964854#O.co,1
235,42964939,42964939#O.co,1
236,16560807,16560807#Tonzof,1
238,30052809,30052809#Perf-Moto,1
239,16563235,16563235#Tonzof,1
241,16575880,16575880#Tonzof,1
243,42965939,42965939#O.co,1
244,518581,518581#Walmart.com,1
245,16606780,16606780#Tonzof,1
246,42966029,42966029#O.co,1
250,42966636,42966636#O.co,1
253,10242691,10242691#Bic Warehouse,1
254,16636620,16636620#Tonzof,1
256,16636658,16636658#Tonzof,1
257,16636673,16636673#Tonzof,1
259,42968031,42968031#O.co,1
260,16652564,16652564#Tonzof,1
261,11002011,11002011#Bic Warehouse,1
262,16652566,16652566#Tonzof,1
263,16652568,16652568#Tonzof,1
264,13005742,13005742#Bic Warehouse,1
267,532953,532953#Walmart.com,1
268,42968661,42968661#O.co,1
269,533118,533118#Walmart.com,1
270,42968936,42968936#O.co,1
272,533213,533213#Walmart.com,1
273,533229,533229#Walmart.com,1
276,16880180,16880180#Tonzof,1
277,42969681,42969681#O.co,1
278,16898542,16898542#Tonzof,1
279,16900236,16900236#Tonzof,1
280,15140606,15140606#Bic Warehouse,1
281,15140624,15140624#Bic Warehouse,1
282,16904476,16904476#Tonzof,1
283,16904525,16904525#Tonzof,1
284,15993998,15993998#Bic Warehouse,1
287,541908,541908#Walmart.com,1
288,16927109,16927109#Tonzof,1
289,16928767,16928767#Tonzof,1
291,16954394,16954394#Tonzof,1
292,16954423,16954423#Tonzof,1
293,16911863,16911863#Bic Warehouse,1
294,16954444,16954444#Tonzof,1
295,16954545,16954545#Tonzof,1
296,42973296,42973296#O.co,1
297,42973342,42973342#O.co,1
299,42973443,42973443#O.co,1
302,42973691,42973691#O.co,1
303,17338075,17338075#Bic Warehouse,1
304,568904,568904#Walmart.com,1
307,42974421,42974421#O.co,1
308,17129037,17129037#Tonzof,1
309,17129178,17129178#Tonzof,1
310,17129183,17129183#Tonzof,1
