@info
{
    "table":{
        "name":"candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"gec_el",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT
1,3985002,3985002#eBags
2,4217002,4217002#eBags
3,5347115,5347115#eBags
4,8245516,8245516#eBags
5,8586825,8586825#eBags
6,9193948,9193948#eBags
7,3377768,3377768#eBags
8,4217013,4217013#eBags
9,4217014,4217014#eBags
10,9447294,9447294#eBags
11,3356833,3356833#eBags
12,3377763,3377763#eBags
13,3377767,3377767#eBags
14,3356835,3356835#eBags
15,8586819,8586819#eBags
16,8829633,8829633#eBags
17,9225287,9225287#eBags
18,9225291,9225291#eBags
19,8586826,8586826#eBags
20,9225276,9225276#eBags
21,4805973,4805973#eBags
22,9225280,9225280#eBags
23,9225292,9225292#eBags
24,4216995,4216995#eBags
25,9875796,9875796#eBags
26,9225273,9225273#eBags
27,9225293,9225293#eBags
28,3356836,3356836#eBags
29,3371668,3371668#eBags
30,4217000,4217000#eBags
31,8586822,8586822#eBags
32,9225274,9225274#eBags
33,4217003,4217003#eBags
34,8586821,8586821#eBags
35,9225275,9225275#eBags
36,9225289,9225289#eBags
37,3985006,3985006#eBags
38,3356838,3356838#eBags
39,5996481,5996481#eBags
40,9721996,9721996#eBags
41,5996470,5996470#eBags
42,9863777,9863777#eBags
43,4217012,4217012#eBags
44,9225288,9225288#eBags
45,3356832,3356832#eBags
46,3356840,3356840#eBags
47,9208106,9208106#eBags
48,9225277,9225277#eBags
49,9722003,9722003#eBags
50,10073803,10073803#eBags
51,10910315,10910315#eBags
52,11068335,11068335#eBags
53,11082496,11082496#eBags
54,11084238,11084238#eBags
55,11988059,11988059#eBags
56,11988076,11988076#eBags
57,11997515,11997515#eBags
58,12179434,12179434#eBags
59,12180028,12180028#eBags
60,12180070,12180070#eBags
61,12180103,12180103#eBags
62,12181608,12181608#eBags
63,12181609,12181609#eBags
64,12181620,12181620#eBags
65,12181700,12181700#eBags
66,12181705,12181705#eBags
67,15010242,15010242#Babyhaven
68,12182239,12182239#eBags
69,12182374,12182374#eBags
70,12182400,12182400#eBags
71,12182846,12182846#eBags
72,12183204,12183204#eBags
73,932031,932031#Limited Goods
74,1234894,1234894#Limited Goods
75,2470128,2470128#Limited Goods
76,3756896,3756896#Limited Goods
77,4025874,4025874#Limited Goods
78,5871514,5871514#Limited Goods
79,7080511,7080511#Limited Goods
80,7754443,7754443#Limited Goods
81,9189660,9189660#Limited Goods
82,9225261,9225261#Limited Goods
83,9871188,9871188#Limited Goods
84,12184525,12184525#eBags
85,12184565,12184565#eBags
86,872051,872051#ivgStores
87,2585639,2585639#ivgStores
88,3387612,3387612#ivgStores
89,3576485,3576485#ivgStores
90,12186203,12186203#eBags
91,12186211,12186211#eBags
92,12186335,12186335#eBags
93,4664464,4664464#ivgStores
94,5723587,5723587#ivgStores
95,12187451,12187451#eBags
96,12187705,12187705#eBags
97,12187816,12187816#eBags
98,12187871,12187871#eBags
99,12323715,12323715#eBags
