@info
{
    "table":{
        "name":"EMS_AL_Labeled_Pairs",
        "description":"This table was produced incrementally from the active learning rounds",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"haojun_wentao",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"amazon.id",
                "type":"INTEGER"
            },
            {
                "name":"bn.id",
                "type":"INTEGER"
            },
            {
                "name":"user_comment",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,amazon.id:INTEGER,bn.id:INTEGER,user_comment:TEXT,label:INTEGER
4,4791,526,User supplied seed,1
10,4663,1474,User supplied seed,0
18,4345,5282,User supplied seed,0
47,1086,4387,User supplied seed,1
301,1249,1777,,0
277,3358,4929,,0
300,1249,1776,,0
141,1379,89,,0
197,2550,3282,,0
283,5199,4451,,0
8,2734,5924,,1
6,4791,3898,,0
62,1675,1879,,0
331,2772,804,,0
39,11,3897,,1
33,1402,2810,,0
37,11,3862,,0
25,477,3630,,1
28,4545,4555,,0
3,1434,3564,,0
34,3075,799,,0
2,1434,3563,,0
15,2197,2716,,0
46,653,662,,0
122,1607,677,,0
59,1675,836,,1
119,1607,673,,0
67,2524,166,,0
68,2524,168,,0
51,3735,4150,,1
26,2384,6258,,1
14,4884,2506,,1
57,1898,119,,1
139,1161,4921,,1
174,4084,3828,,1
116,1433,722,,1
162,1359,2765,,1
92,2362,2587,,1
103,2782,972,,1
56,2909,2767,,0
120,1607,674,,0
17,1006,25,,0
84,2542,1325,,0
196,939,3750,,1
221,307,5545,,1
153,2331,5502,,1
215,3861,641,,1
112,2125,3844,,0
148,3739,3127,,0
207,4214,45,,0
55,1817,663,,1
94,3490,2243,,1
74,4546,3568,,0
222,328,5634,,0
308,1958,1359,,1
285,5199,4469,,1
306,2251,1393,,1
237,453,3472,,1
258,4864,6169,,1
146,233,1478,,1
302,1249,1780,,0
177,4040,3253,,1
234,56,1419,,1
328,2437,3649,,1
128,3296,3240,,0
107,365,2592,,0
127,3388,408,,1
82,4323,5593,,0
105,365,2571,,0
108,365,2594,,0
113,1270,5745,,0
71,4737,386,,1
78,1965,3880,,1
136,1161,4911,,0
661,729,2514,,0
389,4250,5976,,0
655,3652,1530,,1
214,72,2594,,0
257,2211,831,,0
410,2021,4004,,0
439,5000,1853,,0
52,1935,627,,0
20,4345,5286,,0
669,5136,804,,0
226,1319,4643,,1
199,2550,6266,,1
220,2681,1227,,1
183,408,1869,,1
191,2660,4652,,1
73,3628,1407,,1
70,3050,641,,1
75,3718,2848,,1
178,1568,128,,0
231,502,6283,,1
169,1547,3837,,0
133,358,3111,,1
168,1547,3822,,0
123,745,1345,,0
132,3399,6261,,0
140,1161,4931,,0
11,4663,1479,,0
93,1571,3317,,1
111,2753,4921,,0
175,716,708,,1
