@info
{
    "table":{
        "name":"dsfdfsdf",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"haojun_wentao",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"amazon.id",
                "type":"INTEGER"
            },
            {
                "name":"bn.id",
                "type":"INTEGER"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,amazon.id:INTEGER,bn.id:INTEGER,label:INTEGER
550,4300,4817,1
551,2448,3867,0
2,4663,1474,0
3,4345,5282,0
4,2384,6266,0
8,3728,2011,1
10,1935,632,0
556,1588,3907,1
557,1558,2594,0
11,195,2891,1
555,620,3908,0
14,2181,3318,1
553,212,5925,0
567,1512,25,1
19,2753,4914,1
564,933,3864,0
21,4138,902,1
574,1550,3623,0
572,1331,509,1
26,87,4121,1
569,1584,4489,1
34,1122,3838,1
35,1328,5593,1
32,4084,3805,0
33,5003,3350,1
39,3695,4991,0
513,2748,1400,1
42,4390,45,0
525,3223,3787,1
40,3695,4992,1
527,4819,1481,0
46,1770,4646,1
44,3883,3361,0
533,4341,1444,1
49,4810,341,1
535,2942,3888,0
48,801,3742,0
53,983,5282,0
541,3515,5284,0
57,4658,3903,1
56,1830,4566,0
65,4223,4277,1
67,2021,1683,0
78,1778,2094,0
72,5206,128,0
85,4705,5835,0
87,1475,3902,0
86,4705,5838,0
83,1284,4617,1
93,457,3973,1
92,1255,3824,0
94,1021,5099,1
91,2447,1449,1
576,5084,234,0
100,144,1692,0
579,3427,3774,0
580,2037,5651,1
99,144,1687,0
96,3437,5154,1
583,1689,4638,1
584,1173,804,0
109,5154,1481,0
587,3901,4422,1
588,3708,3864,0
590,3078,618,0
591,2514,20,1
119,4618,4052,0
116,4618,1683,0
115,4827,3766,1
597,4628,3908,0
599,2825,1054,0
598,4201,3293,0
127,664,5630,1
600,1219,5307,0
122,2359,3758,0
137,508,360,1
143,3333,1455,0
129,1311,737,1
130,4890,618,0
135,1267,5205,0
134,3597,5666,1
152,1618,2481,0
157,4725,6411,1
158,1867,2469,1
159,3565,1772,1
144,482,4715,1
146,1247,6080,1
147,1333,4619,0
150,2662,4428,1
175,4735,2486,1
174,1191,2142,1
163,4003,248,1
186,4538,2140,0
187,4344,3898,0
190,3028,1769,0
188,5191,3355,1
189,4364,1217,1
179,2484,2856,0
177,4035,3830,0
183,1036,251,1
205,3673,1780,0
207,2127,842,0
206,2127,215,1
192,606,4989,0
212,1543,1422,1
213,3799,5003,0
210,2821,4566,0
238,3897,1620,0
236,3583,3885,0
235,3058,4904,0
232,1829,4015,0
224,4914,3252,0
254,1678,1631,0
250,1950,4617,0
251,3559,3761,0
242,4815,4521,1
240,4851,5746,1
277,4474,1692,0
280,4468,5976,0
287,3022,5614,0
285,4017,5850,0
284,2145,5718,1
259,1890,3829,0
262,724,2150,1
260,2849,804,0
267,2863,5651,0
264,2800,4833,1
265,3796,4636,1
269,938,261,1
306,3066,3037,1
311,2954,2548,0
310,4206,2541,1
314,2791,5976,1
288,289,5977,1
290,2466,5497,1
291,4899,3117,1
296,3142,521,0
297,3142,752,0
299,3142,5572,0
302,5156,4299,0
303,671,4996,0
343,3665,1289,1
341,3544,4988,0
340,2912,3694,0
338,2776,4862,0
344,277,5476,1
326,5074,5294,0
323,4983,3763,0
320,3885,5085,0
334,3139,2702,0
335,3139,2707,1
330,2611,2504,1
328,150,4402,0
373,1955,1894,0
372,1955,1857,0
369,2477,451,0
381,934,6424,1
383,2981,3677,0
376,1828,6261,0
358,2834,1890,0
355,3722,1904,1
367,4485,4474,0
360,65,687,1
361,65,6257,0
363,1845,4084,0
408,654,4633,1
409,4939,1853,0
401,2180,804,0
407,840,4981,1
404,2692,5741,0
394,1135,1705,1
393,707,1202,1
386,4249,4075,1
389,4586,1540,1
443,155,824,0
445,1683,4899,1
435,1185,746,1
438,4059,2774,1
429,2793,1601,0
428,3271,3611,0
417,1575,4367,0
422,1792,371,1
476,269,1683,0
477,269,1727,0
475,269,1682,0
468,4113,5175,1
462,4375,633,0
457,2205,3992,0
455,3532,939,0
451,2215,6223,0
448,759,939,0
508,2824,2704,0
506,2874,5315,0
501,2295,2799,0
503,4620,2846,0
496,1669,3966,0
498,731,4509,0
485,2146,2314,0
484,4971,593,1
483,2586,4117,1
