@info
{
    "table":{
        "name":"ffsdffd",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"haojun_wentao",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"amazon.id",
                "type":"INTEGER"
            },
            {
                "name":"bn.id",
                "type":"INTEGER"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,amazon.id:INTEGER,bn.id:INTEGER,label:INTEGER
2,4663,1474,0
548,1105,5287,1
4,2384,6266,0
5,1402,2809,0
7,1086,4387,1
545,3624,3674,0
557,1558,2594,0
11,195,2891,1
12,1675,1889,0
554,3997,1331,1
13,696,1356,1
555,620,3908,0
552,2032,5165,1
14,2181,3318,1
567,1512,25,1
17,395,4904,0
16,395,658,0
566,133,4899,0
564,933,3864,0
18,4523,5113,1
21,4138,902,1
20,1607,676,1
561,1109,2479,0
560,2655,3861,0
574,1550,3623,0
24,1379,136,0
27,4974,1475,1
572,1331,509,1
571,2429,5634,0
29,1702,347,0
28,4145,1388,0
569,1584,4489,1
31,1547,3759,1
568,2860,2998,1
30,694,5146,1
517,5052,5192,0
35,1328,5593,1
518,3035,4389,0
519,4067,3480,1
33,5003,3350,1
38,5011,4921,1
513,2748,1400,1
39,3695,4991,0
514,2888,662,1
37,469,328,0
515,276,3896,0
524,2544,4592,0
525,3223,3787,1
40,3695,4992,1
526,4819,939,0
41,2621,3220,0
521,3094,5305,0
47,801,3735,0
522,205,4547,1
523,4981,4562,0
533,4341,1444,1
532,865,1376,1
50,4774,595,1
535,2942,3888,0
528,1813,5607,1
530,2567,5613,1
541,3515,5284,0
543,2086,4591,0
57,4658,3903,1
542,2287,4913,1
56,1830,4566,0
537,4937,3286,0
63,3509,1984,1
62,4066,1967,1
539,1962,5307,0
60,2170,4286,1
68,2021,3999,0
69,1174,3897,0
70,515,1857,0
65,4223,4277,1
66,2021,1682,0
77,3236,4010,1
78,1778,2094,0
79,687,824,0
72,5206,128,0
73,1523,641,0
75,2582,2197,0
85,4705,5835,0
81,2219,4000,0
93,457,3973,1
95,1404,1357,1
88,172,714,1
90,4982,3837,0
576,5084,234,0
103,144,1894,0
577,53,5591,0
578,2774,5994,1
580,2037,5651,1
582,5044,4607,1
583,1689,4638,1
584,1173,804,0
111,2191,2707,0
585,1173,824,0
108,2946,6272,1
109,5154,1481,0
589,3078,617,0
107,4920,3166,0
590,3078,618,0
105,3815,4905,1
119,4618,4052,0
118,4618,1889,0
117,4618,1693,0
116,4618,1683,0
115,4827,3766,1
597,4628,3908,0
113,991,4419,1
599,2825,1054,0
598,4201,3293,0
112,4340,4498,0
600,1219,5307,0
125,3055,1210,1
124,1949,678,1
123,2282,5582,0
121,3806,4402,1
137,508,360,1
136,5196,5623,1
139,746,4175,1
141,4951,5833,0
130,4890,618,0
133,2965,4499,1
132,3766,5653,0
135,1267,5205,0
152,1618,2481,0
154,3917,5384,1
155,3756,3891,1
156,4570,4428,0
158,1867,2469,1
159,3565,1772,1
146,1247,6080,1
147,1333,4619,0
148,613,245,0
149,581,3549,1
169,2777,711,0
175,4735,2486,1
174,1191,2142,1
173,604,4534,1
172,3813,2045,1
160,2315,2930,1
167,259,4642,0
186,4538,2140,0
187,4344,3898,0
185,1718,4868,1
191,3202,1480,1
188,5191,3355,1
189,4364,1217,1
178,484,5286,1
177,4035,3830,0
181,2571,5588,1
207,2127,842,0
206,2127,215,1
198,4952,2822,0
192,606,4989,0
220,1522,4606,0
221,917,5658,1
222,3132,675,0
216,4688,4895,1
217,2106,1853,0
218,2106,1892,0
212,1543,1422,1
209,1788,6072,0
210,2821,4566,0
238,3897,1620,0
236,3583,3885,0
234,3360,5314,0
232,1829,4015,0
230,3374,6159,0
229,3374,1879,0
228,3374,1727,0
226,3374,1712,0
224,4914,3252,0
255,1992,1469,0
253,927,3791,1
250,1950,4617,0
249,2677,3626,0
244,2302,4989,1
242,4815,4521,1
240,4851,5746,1
275,4474,1683,0
273,765,2626,0
272,5025,668,1
279,4468,5489,0
277,4474,1692,0
276,4474,1690,0
283,3123,3891,0
281,552,2867,1
287,3022,5614,0
286,4017,5852,1
285,4017,5850,0
284,2145,5718,1
258,1890,3767,0
261,2108,3505,0
267,2863,5651,0
270,2666,5877,1
305,4178,3687,0
306,3066,3037,1
309,3685,4223,0
308,3685,1858,0
311,2954,2548,0
313,2950,3937,1
288,289,5977,1
292,2836,1857,0
294,3245,1437,0
297,3142,752,0
298,3142,5452,0
299,3142,5572,0
301,4612,1385,1
302,5156,4299,0
303,671,4996,0
341,3544,4988,0
340,2912,3694,0
339,2714,4472,0
338,2776,4862,0
336,4331,4295,1
351,4039,1699,0
348,4359,3675,0
346,3034,660,0
326,5074,5294,0
327,1362,1477,1
321,1996,2846,0
334,3139,2702,0
333,4156,656,0
331,1704,1117,1
328,150,4402,0
373,1955,1894,0
374,1955,2237,0
369,2477,451,0
368,1124,3904,1
370,914,1460,0
383,2981,3677,0
382,5017,4994,0
376,1828,6261,0
379,3981,6424,0
357,1156,1058,0
359,4849,3876,0
352,4039,1727,0
364,1845,4086,0
365,2968,2219,0
360,65,687,1
362,65,6261,0
363,1845,4084,0
409,4939,1853,0
402,2180,1455,0
403,2692,2804,0
407,840,4981,1
405,5056,2498,0
395,1838,1345,0
399,3157,2090,0
398,4063,4975,1
397,4442,5489,1
396,3370,5628,1
385,4486,3842,1
391,1499,1592,1
390,26,3791,0
389,4586,1540,1
444,3688,668,0
446,1273,3906,0
447,1273,4992,1
434,1009,3931,1
437,255,1835,0
438,4059,2774,1
426,4767,4448,0
429,2793,1601,0
428,3271,3611,0
431,2793,5174,0
416,3758,3843,0
419,2492,1857,0
418,2492,1687,0
421,2492,2235,0
422,1792,371,1
478,2598,4917,0
479,1599,5627,0
474,3288,1142,1
472,1382,5144,1
467,228,5155,1
465,2701,4917,1
463,1741,4119,1
459,3419,5306,0
454,3329,1191,1
453,2817,5197,1
452,4550,3943,1
448,759,939,0
509,1206,1461,1
510,2279,3626,0
511,4975,1472,0
505,3189,4716,1
501,2295,2799,0
503,4620,2846,0
496,1669,3966,0
497,3400,1404,1
495,1669,2470,0
488,5126,6289,1
485,2146,2314,0
486,3686,262,1
481,1408,5781,0
482,3843,2019,0
