@info
{
    "table":{
        "name":"train",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"haojun_wentao",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"amazon.id",
                "type":"INTEGER"
            },
            {
                "name":"bn.id",
                "type":"INTEGER"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,amazon.id:INTEGER,bn.id:INTEGER,label:INTEGER
548,1105,5287,0
4,2384,6266,0
7,1086,4387,1
545,3624,3674,0
11,195,2891,0
554,3997,1331,1
12,1675,1889,0
13,696,1356,1
14,2181,3318,1
17,395,4904,0
16,395,658,0
18,4523,5113,1
564,933,3864,0
20,1607,676,1
561,1109,2479,0
574,1550,3623,0
27,4974,1475,1
571,2429,5634,0
28,4145,1388,0
569,1584,4489,1
31,1547,3759,0
568,2860,2998,1
518,3035,4389,0
519,4067,3480,1
38,5011,4921,0
513,2748,1400,1
39,3695,4991,0
514,2888,662,1
37,469,328,0
515,276,3896,0
524,2544,4592,0
40,3695,4992,0
41,2621,3220,0
521,3094,5305,0
523,4981,4562,0
533,4341,1444,1
50,4774,595,1
535,2942,3888,0
528,1813,5607,1
530,2567,5613,1
541,3515,5284,0
543,2086,4591,0
542,2287,4913,1
56,1830,4566,0
537,4937,3286,0
62,4066,1967,1
539,1962,5307,0
69,1174,3897,0
70,515,1857,0
65,4223,4277,1
77,3236,4010,1
78,1778,2094,0
79,687,824,0
72,5206,128,0
73,1523,641,0
85,4705,5835,0
81,2219,4000,0
93,457,3973,1
95,1404,1357,1
90,4982,3837,0
576,5084,234,0
103,144,1894,0
578,2774,5994,1
582,5044,4607,1
584,1173,804,0
108,2946,6272,1
589,3078,617,0
590,3078,618,0
119,4618,4052,0
118,4618,1889,0
117,4618,1693,0
116,4618,1683,0
597,4628,3908,0
599,2825,1054,0
598,4201,3293,0
600,1219,5307,0
123,2282,5582,0
121,3806,4402,1
137,508,360,1
136,5196,5623,1
133,2965,4499,1
152,1618,2481,0
155,3756,3891,1
158,1867,2469,1
159,3565,1772,1
146,1247,6080,1
147,1333,4619,0
148,613,245,0
169,2777,711,0
175,4735,2486,1
174,1191,2142,1
173,604,4534,1
172,3813,2045,1
160,2315,2930,1
167,259,4642,0
186,4538,2140,0
185,1718,4868,1
191,3202,1480,1
188,5191,3355,1
189,4364,1217,1
177,4035,3830,0
206,2127,215,0
198,4952,2822,0
220,1522,4606,0
221,917,5658,1
216,4688,4895,1
217,2106,1853,0
218,2106,1892,0
212,1543,1422,1
210,2821,4566,0
236,3583,3885,0
234,3360,5314,0
229,3374,1879,0
226,3374,1712,0
224,4914,3252,0
253,927,3791,1
249,2677,3626,0
242,4815,4521,1
279,4468,5489,0
276,4474,1690,0
283,3123,3891,0
281,552,2867,1
287,3022,5614,0
286,4017,5852,1
267,2863,5651,0
270,2666,5877,1
305,4178,3687,0
306,3066,3037,1
309,3685,4223,0
308,3685,1858,0
311,2954,2548,0
313,2950,3937,1
292,2836,1857,0
298,3142,5452,0
299,3142,5572,0
301,4612,1385,1
341,3544,4988,0
339,2714,4472,0
338,2776,4862,0
336,4331,4295,1
351,4039,1699,0
348,4359,3675,0
346,3034,660,0
321,1996,2846,0
334,3139,2702,0
333,4156,656,0
331,1704,1117,1
373,1955,1894,0
374,1955,2237,0
369,2477,451,0
368,1124,3904,1
370,914,1460,0
382,5017,4994,0
376,1828,6261,0
379,3981,6424,0
357,1156,1058,0
352,4039,1727,0
364,1845,4086,0
365,2968,2219,0
409,4939,1853,0
402,2180,1455,0
403,2692,2804,0
405,5056,2498,0
399,3157,2090,0
398,4063,4975,1
397,4442,5489,1
396,3370,5628,1
390,26,3791,0
389,4586,1540,0
444,3688,668,0
446,1273,3906,0
447,1273,4992,1
434,1009,3931,1
438,4059,2774,1
429,2793,1601,0
428,3271,3611,0
431,2793,5174,0
416,3758,3843,0
418,2492,1687,0
421,2492,2235,0
422,1792,371,1
478,2598,4917,0
479,1599,5627,0
474,3288,1142,1
472,1382,5144,1
467,228,5155,1
465,2701,4917,1
459,3419,5306,0
454,3329,1191,1
453,2817,5197,1
452,4550,3943,1
448,759,939,0
509,1206,1461,1
505,3189,4716,1
503,4620,2846,0
495,1669,2470,0
488,5126,6289,1
485,2146,2314,0
486,3686,262,1
482,3843,2019,0
