@info
{
    "table":{
        "name":"EMS_AL_Labeled_Pairs",
        "description":"This table was produced incrementally from the active learning rounds",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"video_games",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbId",
                "type":"INTEGER"
            },
            {
                "name":"MobyGamesId",
                "type":"INTEGER"
            },
            {
                "name":"user_comment",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,theGamesDbId:INTEGER,MobyGamesId:INTEGER,user_comment:TEXT,label:INTEGER
17585,3551,4890,User supplied seed,0
3574,64,5585,User supplied seed,0
28701,3593,4026,User supplied seed,1
9325,1928,5664,User supplied seed,1
28,1081,2411,,1
25,2246,3237,,0
27,3093,4449,,0
11,3379,1981,,0
16,1146,6046,,0
3,280,3768,,0
26,2568,607,,0
4,651,2109,,0
2,1684,770,,1
29,3614,643,,0
715,1460,239,,0
557,847,3722,,0
687,134,390,,0
393,2092,6628,,0
533,2688,5033,,0
600,252,1815,,1
641,2332,6345,,1
200,1307,5573,,1
202,1504,2531,,1
813,1228,3538,,0
253,648,4265,,0
71,372,5831,,1
186,1821,4677,,1
56,2836,354,,1
69,1051,2597,,1
129,327,3810,,0
140,3444,4201,,1
7,1003,6410,,1
17,2653,3406,,1
263,2227,832,,1
376,3594,3038,,0
355,518,6487,,0
374,2001,670,,0
241,1775,3402,,0
288,927,2362,,0
60,2003,667,,0
150,635,1377,,0
134,3022,5007,,1
67,2003,666,,0
581,708,1677,,0
70,1133,1378,,0
40,2531,4325,,0
61,555,6451,,0
36,2942,3627,,0
41,1381,1943,,0
49,748,3294,,0
51,876,2330,,0
30,280,2145,,0
33,149,938,,0
72,2434,5221,,0
198,710,1678,,0
197,2222,828,,1
100,2112,3991,,0
143,2495,516,,1
161,1990,3110,,1
96,2174,2232,,0
98,2845,370,,0
66,3067,2794,,1
73,2672,669,,0
201,917,5303,,0
128,458,1461,,0
123,3244,2427,,0
120,165,1653,,0
113,3650,23,,0
121,2098,6623,,0
92,2376,1309,,0
103,574,5561,,0
85,2506,1622,,0
78,1133,706,,0
130,3613,5108,,0
156,3613,1130,,0
151,2215,827,,0
155,2185,2235,,1
145,1109,2119,,0
112,3293,5252,,0
131,2058,2228,,0
127,1029,920,,0
124,2563,6419,,0
132,586,3350,,1
159,101,5299,,0
652,634,4319,,1
519,3096,4798,,1
650,1470,4140,,1
461,3429,4748,,1
502,1145,5145,,1
319,1169,4290,,1
294,118,2560,,1
323,803,256,,1
362,1291,4086,,1
654,1704,3237,,1
214,1460,230,,0
190,2476,838,,0
210,2551,206,,0
184,2453,3421,,0
185,2551,4171,,0
195,1268,1186,,0
205,2531,1644,,0
168,65,876,,0
182,1339,1096,,0
215,2259,1084,,0
