@info
{
    "table":{
        "name":"candset_minus_gold",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"video_games",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbId",
                "type":"INTEGER"
            },
            {
                "name":"MobyGamesId",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbName",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesName",
                "type":"TEXT"
            },
            {
                "name":"theGamesDbDate",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesDate",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,theGamesDbId:INTEGER,MobyGamesId:INTEGER,theGamesDbName:TEXT,MobyGamesName:TEXT,theGamesDbDate:TEXT,MobyGamesDate:TEXT
1,2258,3666,b'Penny Arcade Adventures: Episode One',"b""Mafia II: Joe's Adventures""",10/23/2008,11/23/2010
2,1684,770,b'DiRT 3',b'DiRT 3',05/24/2011,05/24/2011
3,280,3768,b'Dead Island: Game of the Year Edition',b'Skylanders: Swap Force - Sheep Wreck Island Adventure Pack',06/26/2012,01/01/2014
4,651,2109,b'Lips: I Love the 80s',b'Sonic the Hedgehog 4: Episode I',04/02/2010,10/13/2010
5,3049,6601,b'EA Sports Active',b'EA Playground',05/19/2009,09/07/2007
6,1121,2082,b'Spider-Man: Shattered Dimensions',b'The Amazing Spider-Man: Oscorp Search and Destroy Pack',09/07/2010,09/26/2012
7,1003,6410,b'Rock of the Dead',b'Rock of the Dead',10/19/2010,10/19/2010
8,2890,159,b'Battle of Giants: Dinosaurs Strike',b'Skylanders: Swap Force - Star Strike (LightCore)',,10/13/2013
9,2096,6625,b'Metal Gear Solid V Ground Zeroes',b'Metal Gear Solid 4: Guns of the Patriots',03/18/2014,06/12/2008
10,32,270,b'All-Pro Football 2K8',b'NCAA Football 09',07/16/2007,07/15/2008
11,3379,1981,b'NHL 2K11',b'NHL 2K10',08/24/2010,09/15/2009
12,3229,2960,b'Last Airbender',b'Last Ninja 2: Back with a Vengeance',06/29/2010,09/21/2009
13,270,3360,b'Darkest of Days',b'Kane & Lynch 2: Dog Days',09/08/2009,08/17/2010
14,2516,516,b'SingStar Vol. 3',b'SingStar ABBA',11/14/2008,12/02/2008
15,998,4707,b'Rock Band Country Track Pack',b'Advanced Rock Paper Scissors',07/21/2009,08/12/2009
16,1146,6046,b'Street Fighter X Tekken Special Edition',"b""Monkey Island 2: LeChuck's Revenge - Special Edition""",03/06/2012,07/07/2010
17,2653,3406,b'The Elder Scrolls V: Skyrim Legendary Edition',b'The Elder Scrolls V: Skyrim - Legendary Edition',06/04/2013,06/04/2013
18,81,3060,b'Batman: Arkham City',b'Batman: Arkham Asylum - Game of the Year Edition',10/18/2011,05/11/2010
19,2596,3315,b'Star Wars: The Force Unleashed II',b'CellFactor: Psychokinetic Wars',10/26/2010,06/03/2009
20,2614,2843,b'Super Street Fighter IV: Arcade Edition',"b""Street Fighter IV (Collector's Edition)""",06/28/2011,02/17/2009
21,3206,3919,b'Just Dance: Disney Party',b'Disney Infinity: Wreck-it Ralph',10/23/2012,11/22/2013
23,2447,3471,b'SBK Generations',b'SBK 09: Superbike World Championship',06/01/2012,05/01/2009
24,2831,1127,"b""2011 The Legend of Zelda: Skyward Sword Collector's Edition""",b'The Legend of Zelda: A Link to the Past',11/20/2011,01/22/2007
25,2246,3237,b'Operation Flashpoint: Dragon Rising',b'Dragon Age II',10/06/2009,03/08/2011
26,2568,607,b'Soul Calibur IV & Tekken 6',b'Murdered: Soul Suspect',10/30/2012,06/03/2014
27,3093,4449,b'Fishing Resort',b'Cocoto Fishing Master',11/22/2011,06/16/2008
28,1081,2411,b'Skylanders Giants Portal Owners Pack',b'Skylanders Giants: Bouncer',10/21/2012,10/21/2012
29,3614,643,b'The Legend of Spyro: The Eternal Night',b'Skylanders Giants: Bash (Series 2) / Spyro (Series 2) / Hot Dog',12/06/2007,06/18/2013
30,280,2145,b'Dead Island: Game of the Year Edition',b'Dossun Island',06/26/2012,05/23/2010
