@info
{
    "table":{
        "name":"gold",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"video_games",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbId",
                "type":"INTEGER"
            },
            {
                "name":"MobyGamesId",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbName",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesName",
                "type":"TEXT"
            },
            {
                "name":"theGamesDbDate",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesDate",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,theGamesDbId:INTEGER,MobyGamesId:INTEGER,theGamesDbName:TEXT,MobyGamesName:TEXT,theGamesDbDate:TEXT,MobyGamesDate:TEXT,label:INTEGER
1,3551,4890,b'Spy Games: Elevator Mission',b'World Party Games',11/02/2007,08/20/2009,0
2,64,5585,b'Assault Heroes',b'Universe at War: Earth Assault',12/13/2006,03/25/2008,0
3,2283,6416,b'PlayStation All-Stars Battle Royale',b'Sonic & All-Stars Racing Transformed',11/20/2012,11/18/2012,0
4,2891,2637,b'Battle of the Bands',b'Battle Lode Runner',04/21/2008,04/27/2007,0
5,2800,5603,b'Worms Revolution',b'Worms Crazy Golf: Carnival Course',10/09/2012,11/01/2011,0
6,3199,2431,b'Just Dance',b'Just Dance 4',11/17/2009,10/09/2012,0
7,877,6315,b'Operation Flashpoint: Dragon Rising',b'Double Dragon',10/06/2009,05/09/2007,0
8,53,3530,b'Ashes Cricket 2009',b'Virtua Tennis 2009',08/07/2009,05/29/2009,0
9,2903,4032,b'Big Time Rush: Dance Party',b'Are You Smarter Than a 5th Grader?: Game Time',11/06/2012,10/26/2009,0
10,82,3068,b'Batman: Arkham City: Game of the Year Edition',b'Batman: Arkham City - Nightwing Bundle Pack',05/29/2012,11/01/2011,0
11,2392,525,b'Risen 2: Dark Waters',b'Alone in the Dark: Inferno',08/03/2012,11/18/2008,0
12,2455,2543,b'Schlag den Raab: Das 3. Spiel',"b""BioShock 2: Minerva's Den""",09/11/2012,08/31/2010,0
13,1946,3148,b'Jikkyou Powerful Pro Yakyuu 2010',b'International Cricket 2010',07/15/2010,06/18/2010,0
14,1924,4726,b'Ice Age: Dawn of the Dinosaurs',b'Dragon Age: Origins -  The Darkspawn Chronicles',06/30/2009,05/18/2010,0
15,802,265,b'NBA 2K7',b'NBA Live 10',09/25/2006,10/05/2009,0
16,3593,4026,b'The Ant Bully',b'The Ant Bully',11/20/2006,07/24/2006,1
17,3025,1586,b'DJ Hero',b'Bomberman Hero',10/27/2009,03/07/2011,0
18,2223,826,b'NHL 2K8',b'NHL 14',09/10/2007,09/10/2013,0
19,2986,2432,b'Dance Dance Revolution Hottest Party 5',b'Just Dance Kids',11/25/2011,11/09/2010,0
20,3293,5368,b'Marvel Super Hero Squad: Comic Combat',b'Ghost Squad',11/15/2011,11/20/2007,0
21,512,6459,b'Guitar Hero: Metallica',b'Marvel Super Hero Squad: The Infinity Gauntlet',03/29/2009,11/16/2010,0
22,2245,4593,b'One Piece: Pirate Warriors 2',b'Heavy Rain: Chronicle One - The Taxidermist',09/30/2013,04/01/2010,0
23,1210,4570,b'The Lord of the Rings: The War in the North',b'Gears of War 2 (Limited Edition)',11/01/2011,11/07/2008,0
24,978,1710,b'Resident Evil 6 Archives',b'Resident Evil: Revelations',10/02/2012,08/09/2013,0
25,2596,5753,b'Star Wars: The Force Unleashed II',b'Skylanders: Swap Force - Legendary Zoo Lou',10/26/2010,10/13/2013,0
26,1502,175,b'Beyond Good & Evil HD',b'Resident Evil 5 (Limited Edition)',06/28/2011,03/13/2009,0
27,495,485,b'Grand Theft Auto V (Special Edition)',b'Grand Theft Auto: San Andreas',09/17/2013,11/11/2008,0
28,1194,433,b'The First Templar',b'Sacred 3: First Edition',05/10/2011,08/01/2014,0
29,326,3804,b'Disney Epic Mickey 2: The Power of Two',b'Disney Infinity: Agent P',11/18/2012,04/29/2014,0
30,2171,2230,b'NBA 09 The Inside',b'NBA 2K11',10/07/2008,10/05/2010,0
31,1190,3796,b'The Elder Scrolls IV: Oblivion -- Game of the Year Edition',b'Dishonored: Game of the Year Edition',09/10/2007,10/08/2013,0
32,2899,2652,b'Big Beach Sports 2',b'Big Brain Academy: Wii Degree',06/18/2010,06/12/2007,0
33,1657,6438,b'Dead Space Ignition',b'Space Channel 5: Part 2',10/12/2010,10/04/2011,0
34,2824,6291,b'Zen Pinball 2',b'Pinball FX2: Paranormal',09/04/2012,09/04/2012,0
35,1928,5664,b'Infamous 2',b'inFAMOUS 2',06/07/2011,06/07/2011,1
36,2376,5631,b'Resident Evil: The Umbrella Chronicles',b'Puzzle Chronicles',07/17/2012,04/22/2010,0
37,2242,1900,b'Of Orcs and Men',b'Of Orcs and Men',10/11/2012,10/12/2012,1
