@info
{
    "table":{
        "name":"brand_candset",
        "description":"",
        "idAttrib":{
            "name":"pairId",
            "type":"INTEGER"
        },
        "projectName":"wgec_amazon_samsung",
        "attributes":[
            {
                "name":"pairId",
                "type":"INTEGER"
            },
            {
                "name":"samsung.id",
                "type":"TEXT"
            },
            {
                "name":"amazon.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairId:INTEGER,samsung.id:TEXT,amazon.id:TEXT
1,89,6869
2,89,6881
3,89,2948
4,199,1845
5,89,520
6,199,1839
7,89,1837
8,89,2999
9,89,2985
10,89,1806
11,89,552
12,89,8910
13,89,8918
14,89,8924
15,199,8930
16,89,6825
17,199,1865
18,89,6841
19,89,8982
20,199,8981
21,89,2934
22,89,4712
23,199,2920
24,89,4608
25,89,4648
26,89,1715
27,89,403
28,89,402
29,89,6763
30,89,423
31,199,6757
32,89,2891
33,89,446
34,89,6796
35,89,2876
36,89,1763
37,89,6738
38,89,2804
39,89,1740
40,89,6714
41,89,16
42,89,10
43,89,77
44,199,58
45,199,60
46,89,489
47,89,4595
48,199,4583
49,89,339
50,89,333
51,89,316
52,89,311
53,89,1624
54,89,4949
55,199,1649
56,199,4957
57,89,1666
58,199,1690
59,89,4902
60,89,4888
61,89,4886
62,199,4854
63,199,5950
64,89,5937
65,199,376
66,89,204
67,89,220
68,199,5911
69,199,6990
70,89,5908
71,89,1510
72,199,1571
73,89,1569
74,89,1540
75,199,1533
76,199,1454
77,89,1472
78,199,5847
79,89,5849
80,89,942
81,199,911
82,89,2523
83,89,7070
84,89,7074
85,89,5758
86,89,4228
87,89,2483
88,89,4251
89,199,4258
90,89,2464
91,199,7088
92,89,4282
93,89,8534
94,89,7018
95,199,5793
96,89,5789
97,89,1316
98,199,829
99,89,819
100,89,808
101,89,8639
102,89,8627
103,199,836
104,89,8631
105,89,8613
106,89,8622
107,199,8604
108,89,870
109,89,4180
110,89,4176
111,89,4115
112,89,2316
113,89,2317
114,89,7192
115,89,4151
116,89,1259
117,89,7117
118,89,8734
119,89,8733
120,89,702
121,199,8709
122,89,8702
123,89,2740
124,89,2751
125,89,2750
126,89,783
127,199,784
128,89,2718
129,89,766
130,89,1188
131,89,2681
132,89,2675
133,89,2666
134,89,1108
135,89,4404
136,89,5537
137,89,4416
138,89,5547
139,199,5555
140,89,1123
141,199,8775
142,89,8872
143,89,629
144,89,8857
145,199,8827
146,199,8804
147,89,2623
148,89,2638
149,89,649
150,89,634
151,89,2614
152,89,658
153,89,653
154,89,4391
155,89,1093
156,89,1086
157,89,1065
158,89,4345
159,199,5404
160,89,4334
161,89,5444
162,199,5494
163,89,5459
164,199,1022
165,89,5368
166,89,3299
167,89,8233
168,199,2111
169,89,5332
170,89,2109
171,89,3234
172,89,5326
173,89,2121
174,89,5314
175,199,7575
176,199,8205
177,89,2128
178,89,2125
179,199,5300
180,89,3270
181,89,7559
182,89,2135
183,89,9756
184,89,9751
185,199,8297
186,89,2166
187,89,3211
188,89,2167
189,199,3213
190,89,9759
191,89,9792
192,89,8261
193,89,8289
194,89,6041
195,89,9718
196,199,9733
197,89,7536
198,89,7548
199,89,7549
200,89,8121
201,89,2201
202,89,5215
203,89,5240
204,89,2264
205,89,2260
206,89,7477
207,89,2231
208,89,7474
209,89,7460
210,89,5201
211,199,7459
212,199,9649
213,89,2290
214,89,9641
215,89,9642
216,89,3319
217,89,3317
218,199,2274
219,199,8174
220,89,9697
221,89,8164
222,199,3300
223,199,3309
224,199,3310
225,199,9677
226,199,9609
227,89,5260
228,89,5279
229,199,7326
230,89,7377
231,89,9556
232,89,4031
233,199,9547
234,89,3406
235,199,9570
236,89,9572
237,89,6276
238,199,3421
239,89,4002
240,89,4000
241,89,6251
242,89,3461
243,89,9522
244,89,9516
245,89,6223
246,199,5163
247,89,5179
248,199,7311
249,89,8324
250,89,2019
251,199,7201
252,89,8300
253,89,7242
254,89,7248
255,199,8353
256,89,8358
257,199,6193
258,89,9471
259,89,9467
260,89,3540
261,89,3536
262,199,6152
263,199,8385
264,89,6189
265,89,8382
266,89,8380
267,89,6188
268,89,3517
269,89,2080
270,89,6125
271,199,2052
272,89,3594
273,89,2067
274,89,9403
275,89,6106
276,89,2058
277,89,3589
278,89,2032
279,89,2024
280,89,2043
281,199,3565
282,89,3615
283,89,3601
284,89,5051
285,199,5055
286,89,5080
287,89,6497
288,89,6484
289,89,9300
290,89,3631
291,89,3746
292,199,7992
293,199,7966
294,89,6420
295,89,7948
296,89,7929
297,199,6466
298,89,6429
299,89,6351
300,89,163
301,89,160
302,89,6389
303,89,115
304,89,9248
305,89,9234
306,199,9264
307,89,3751
308,89,3755
309,89,3849
310,89,7899
311,89,9181
312,89,7851
313,89,102
314,199,7811
315,89,8015
316,199,8047
317,89,4963
318,199,8065
319,89,4977
320,89,3879
321,89,9154
322,89,3002
323,89,9156
324,89,9169
325,89,3022
326,89,9175
327,199,3057
328,89,3075
329,89,3925
330,89,7745
331,89,3094
332,199,3915
333,89,3912
334,199,3940
335,89,7781
336,89,7778
337,199,9096
338,89,3985
339,199,3981
340,89,6677
341,199,6642
342,89,6622
343,89,7688
344,89,9042
345,89,7696
346,199,9036
347,199,3191
348,89,9012
349,89,3159
350,89,7608
351,89,7628
352,199,7655
353,199,7671
354,89,6554
355,199,1910
356,199,1912
357,89,6567
358,89,6518
359,89,6502
360,199,1956
