@info
{
    "table":{
        "name":"pn_candset",
        "description":"",
        "idAttrib":{
            "name":"pairId",
            "type":"INTEGER"
        },
        "projectName":"wgec_amazon_samsung",
        "attributes":[
            {
                "name":"pairId",
                "type":"INTEGER"
            },
            {
                "name":"samsung.id",
                "type":"TEXT"
            },
            {
                "name":"amazon.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairId:INTEGER,samsung.id:TEXT,amazon.id:TEXT
1,159,4660
2,159,1120
3,159,1087
4,34,8128
5,37,6280
6,40,7992
7,204,354
8,204,727
9,204,785
10,204,6072
11,204,2217
12,204,3509
13,204,180
14,200,8939
15,200,6812
16,200,1509
17,200,5825
18,200,5821
19,200,8501
20,200,7070
21,200,5774
22,200,813
23,200,876
24,200,5680
25,200,8817
26,200,634
27,200,8497
28,200,4011
29,200,6269
30,200,6251
31,200,5036
32,22,1873
33,22,4550
34,22,5945
35,22,4800
36,22,1509
37,22,5821
38,22,5804
39,22,7070
40,22,5774
41,22,4174
42,22,707
43,22,9800
44,22,763
45,22,634
46,22,2572
47,22,9682
48,22,6269
49,22,3696
50,22,7926
51,22,6350
52,22,8030
53,22,4962
54,23,7853
55,24,3592
56,206,6796
57,206,1595
58,206,4176
59,206,7166
60,206,8702
61,206,9801
62,206,1059
63,206,9642
64,206,9572
65,206,6276
66,206,9467
67,166,4438
68,166,5290
69,27,8497
70,208,5863
71,29,6111
72,167,293
73,167,5067
74,167,6327
75,167,9033
76,3,2167
77,3,5388
78,3,3664
79,2,5327
80,1,2878
81,1,1595
82,1,5950
83,1,7166
84,1,9801
85,1,2653
86,7,6896
87,7,996
88,7,7568
89,30,6511
90,5,5937
91,5,293
92,31,8939
93,31,6280
94,31,7214
95,9,2878
96,9,7191
97,9,3661
98,211,6896
99,211,5359
100,210,6588
101,215,8939
102,19,3592
103,179,8939
104,12,354
105,12,727
106,12,785
107,12,6072
108,12,2217
109,12,3509
110,12,180
111,21,8939
112,21,8972
113,21,70
114,21,5821
115,21,8501
116,21,7070
117,21,5774
118,21,813
119,21,876
120,21,5680
121,21,8817
122,21,634
123,21,8497
124,21,4011
125,21,6251
126,21,5036
127,170,8939
128,174,5985
129,174,4815
130,175,1120
131,175,4365
132,175,5200
133,220,1715
134,220,2876
135,220,4176
136,220,1065
137,220,2121
138,220,3912
139,222,8939
140,187,8101
141,187,6111
142,189,2878
143,189,7191
144,189,3661
145,180,8939
146,180,6812
147,180,1509
148,180,5825
149,180,5821
150,180,8501
151,180,7070
152,180,5774
153,180,813
154,180,876
155,180,5680
156,180,8817
157,180,634
158,180,8497
159,180,4011
160,180,6269
161,180,6251
162,180,5036
163,10,6511
164,184,1873
165,184,4550
166,184,5945
167,184,4800
168,184,1509
169,184,5821
170,184,5804
171,184,7070
172,184,5774
173,184,4174
174,184,707
175,184,9800
176,184,763
177,184,634
178,184,2572
179,184,9682
180,184,6269
181,184,3696
182,184,7926
183,184,6350
184,184,8030
185,184,4962
186,111,2398
187,111,3459
188,111,3583
189,118,4359
190,118,3458
191,119,8939
192,82,8939
193,80,8432
194,129,2878
195,129,7191
196,129,3661
197,120,6896
198,120,996
199,120,7568
200,72,6940
201,74,745
202,74,3309
203,74,8085
204,74,9068
205,75,1140
206,134,4334
207,134,7925
208,134,9156
209,57,8939
210,55,9081
211,65,8939
212,65,6812
213,65,1509
214,65,5825
215,65,5821
216,65,8501
217,65,7070
218,65,5774
219,65,813
220,65,876
221,65,5680
222,65,8817
223,65,634
224,65,8497
225,65,4011
226,65,6269
227,65,6251
228,65,5036
229,62,2405
230,62,3262
231,62,3726
232,60,1736
233,60,9765
234,131,6859
235,130,8939
236,130,6812
237,130,1509
238,130,5825
239,130,5821
240,130,8501
241,130,7070
242,130,5774
243,130,813
244,130,876
245,130,5680
246,130,8817
247,130,634
248,130,8497
249,130,4011
250,130,6269
251,130,6251
252,130,5036
253,143,4878
254,143,745
255,143,3258
256,143,153
257,143,136
258,144,8939
259,144,6280
260,144,7214
261,145,6511
262,147,8939
263,147,6812
264,147,1509
265,147,5825
266,147,5821
267,147,8501
268,147,7070
269,147,5774
270,147,813
271,147,876
272,147,5680
273,147,8817
274,147,634
275,147,8497
276,147,4011
277,147,6269
278,147,6251
279,147,5036
280,44,6511
281,46,8939
282,46,6812
283,46,1509
284,46,5825
285,46,5821
286,46,8501
287,46,7070
288,46,5774
289,46,813
290,46,876
291,46,5680
292,46,8817
293,46,634
294,46,8497
295,46,4011
296,46,6269
297,46,6251
298,46,5036
299,51,4540
300,51,984
301,51,2731
302,51,1059
303,51,9508
304,140,6511
305,50,1016
306,141,595
307,141,778
308,141,9045
309,106,3231
310,100,4815
311,93,3258
312,90,6940
313,195,605
314,196,108
315,191,8939
316,198,1873
317,198,4550
318,198,5945
319,198,4800
320,198,1509
321,198,5821
322,198,5804
323,198,7070
324,198,5774
325,198,4174
326,198,707
327,198,9800
328,198,763
329,198,634
330,198,2572
331,198,9682
332,198,6269
333,198,3696
334,198,7926
335,198,6350
336,198,8030
337,198,4962
338,199,8077
