@info
{
    "table":{
        "name":"pt_brand_candset",
        "description":"",
        "idAttrib":{
            "name":"pairId",
            "type":"INTEGER"
        },
        "projectName":"wgec_amazon_samsung",
        "attributes":[
            {
                "name":"pairId",
                "type":"INTEGER"
            },
            {
                "name":"samsung.id",
                "type":"TEXT"
            },
            {
                "name":"amazon.id",
                "type":"TEXT"
            },
            {
                "name":"samsung.Product_Type",
                "type":"TEXT"
            },
            {
                "name":"samsung.Product_Name",
                "type":"TEXT"
            },
            {
                "name":"samsung.Brand",
                "type":"TEXT"
            },
            {
                "name":"amazon.Product_Type",
                "type":"TEXT"
            },
            {
                "name":"amazon.Product_Name",
                "type":"TEXT"
            },
            {
                "name":"amazon.Brand",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairId:INTEGER,samsung.id:TEXT,amazon.id:TEXT,samsung.Product_Type:TEXT,samsung.Product_Name:TEXT,samsung.Brand:TEXT,amazon.Product_Type:TEXT,amazon.Product_Name:TEXT,amazon.Brand:TEXT
1,48,6869,"[""Blu Ray & DVD Players""]","[""Streaming Blu-ray Disc\u201aÑ¢ player with Super Wi-Fi ¬Æ""]","[""Sony""]","[""Blu Ray & DVD Players""]","[""\""Sony BDP-BX110/S1100 Blu-ray Player with HDMI cable, Ethernet Streaming 1080p HD Video [Derivative]\""""]","[""Sony""]"
2,1,6869,"[""Blu Ray & DVD Players""]","[""1080p Upscaling DVD Player""]","[""Sony""]","[""Blu Ray & DVD Players""]","[""\""Sony BDP-BX110/S1100 Blu-ray Player with HDMI cable, Ethernet Streaming 1080p HD Video [Derivative]\""""]","[""Sony""]"
3,113,6869,"[""Blu Ray & DVD Players""]","[""Wi-Fi ¬Æ Streaming Blu-ray Disc\u201aÑ¢ player with 4k upscaling""]","[""Sony""]","[""Blu Ray & DVD Players""]","[""\""Sony BDP-BX110/S1100 Blu-ray Player with HDMI cable, Ethernet Streaming 1080p HD Video [Derivative]\""""]","[""Sony""]"
4,87,6869,"[""Blu Ray & DVD Players""]","[""3D Streaming Blu-ray Disc\u201aÑ¢ player with TRILUMINOS technology""]","[""Sony""]","[""Blu Ray & DVD Players""]","[""\""Sony BDP-BX110/S1100 Blu-ray Player with HDMI cable, Ethernet Streaming 1080p HD Video [Derivative]\""""]","[""Sony""]"
5,134,2948,"[""default""]","[""Soft Carrying Case""]","[""Sony""]","[""default""]","[""Sony Pictures Sound Effects Series Volumes 1-5""]","[""Sony""]"
6,112,2948,"[""default""]","[""Xperia T3""]","[""Sony""]","[""default""]","[""Sony Pictures Sound Effects Series Volumes 1-5""]","[""Sony""]"
7,110,2948,"[""default""]","[""Œ±58 DSLR and 18-55mm Lens""]","[""Sony""]","[""default""]","[""Sony Pictures Sound Effects Series Volumes 1-5""]","[""Sony""]"
8,165,2948,"[""default""]","[""RMF-YD001""]","[""Sony""]","[""default""]","[""Sony Pictures Sound Effects Series Volumes 1-5""]","[""Sony""]"
9,174,1845,"[""Cell Phone Cases""]","[""Book Cover Case for ATIV Tab 5 11.6\"" - Gray""]","[""Samsung""]","[""Cell Phone Cases""]","[""OEM Samsung Galaxy S5 SM-G900 Battery Door Back Cover Replacement - Charcoal Black (Samsung Logo)""]","[""Samsung""]"
10,206,520,"[""Digital Audio Players""]","[""Sony 4K Ultra HD Media Player""]","[""Sony""]","[""Digital Audio Players""]","[""Sony D-NE510 ATRAC3/MP3 CD Walkman""]","[""Sony""]"
11,89,520,"[""Digital Audio Players""]","[""Black 4 GB Bluetooth Sports Wearable MP3 Player""]","[""Sony""]","[""Digital Audio Players""]","[""Sony D-NE510 ATRAC3/MP3 CD Walkman""]","[""Sony""]"
12,117,1839,"[""default""]","[""Samsung SHAPE\u201aÑ¢ Wireless Audio Hub""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
13,210,1839,"[""default""]","[""Bell'O CW342 Curved Wood Audio Video System""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
14,58,1839,"[""default""]","[""SSD 840 EVO 2.5-inch SATA 120GB (Desktop Kit)""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
15,138,1839,"[""default""]","[""Gear VR Innovator Edition for S6""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
16,216,1839,"[""default""]","[""Bell'O Corner-Fit Cherry Wood Trim Audio/Video System""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
17,56,1839,"[""default""]","[""CY-TP55LCC \u201aÄî 55\"" Touch Overlay""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
18,137,1839,"[""default""]","[""Samsung Gear\u201aÑ¢ Circle, Black""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
19,36,1839,"[""default""]","[""IA-BP85ST""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
20,178,1839,"[""default""]","[""MX-H835 Giga System""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
21,217,1839,"[""default""]","[""Radiant-360 R7""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
22,16,1839,"[""default""]","[""MLT-D104X""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
23,157,1839,"[""default""]","[""Portable SSD T1 1TB""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
