@info
{
    "table":{
        "name":"trainPnPsdPld2",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"wgec_el_2",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"walmart.id",
                "type":"TEXT"
            },
            {
                "name":"vendor.id",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,walmart.id:TEXT,vendor.id:TEXT,label:INTEGER
1,4217002,4217002#eBags,1
2,5347115,5347115#eBags,1
3,8245516,8245516#eBags,1
4,8586825,8586825#eBags,1
5,9193948,9193948#eBags,1
6,3377768,3377768#eBags,1
7,4217014,4217014#eBags,1
8,9447294,9447294#eBags,1
9,3356833,3356833#eBags,1
10,3377763,3377763#eBags,1
11,3377767,3377767#eBags,1
12,3356835,3356835#eBags,1
13,8586819,8586819#eBags,1
14,9225287,9225287#eBags,1
15,9225291,9225291#eBags,1
16,8586826,8586826#eBags,1
17,9225276,9225276#eBags,1
18,4805973,4805973#eBags,1
19,9225280,9225280#eBags,1
20,9225292,9225292#eBags,1
21,4216995,4216995#eBags,1
22,9875796,9875796#eBags,1
23,9225273,9225273#eBags,1
24,9225293,9225293#eBags,1
25,3356836,3356836#eBags,1
26,3371668,3371668#eBags,1
27,4217000,4217000#eBags,1
28,8586822,8586822#eBags,1
29,9225274,9225274#eBags,1
30,4217003,4217003#eBags,1
31,9225275,9225275#eBags,1
32,3985006,3985006#eBags,1
33,3356838,3356838#eBags,1
34,5996481,5996481#eBags,1
35,5996470,5996470#eBags,1
36,9863777,9863777#eBags,1
37,9225288,9225288#eBags,1
38,3356840,3356840#eBags,1
39,9208106,9208106#eBags,1
40,9225277,9225277#eBags,1
41,9722003,9722003#eBags,1
42,10073803,10073803#eBags,1
43,10910315,10910315#eBags,1
44,11068335,11068335#eBags,1
45,11082496,11082496#eBags,1
46,11084238,11084238#eBags,1
47,11988059,11988059#eBags,1
48,11988076,11988076#eBags,1
49,11997515,11997515#eBags,1
50,12180028,12180028#eBags,1
51,12180070,12180070#eBags,1
52,12180103,12180103#eBags,1
53,12181608,12181608#eBags,1
54,12181609,12181609#eBags,1
55,12181620,12181620#eBags,1
56,12181700,12181700#eBags,1
57,12181705,12181705#eBags,1
58,12182239,12182239#eBags,1
59,12182374,12182374#eBags,1
60,12182400,12182400#eBags,1
61,12182846,12182846#eBags,1
62,12183204,12183204#eBags,1
63,932031,932031#Limited Goods,1
64,1234894,1234894#Limited Goods,1
