@info
{
    "table":{
        "name":"wv_candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"wgec_el_2",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"walmart.id",
                "type":"TEXT"
            },
            {
                "name":"vendor.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,walmart.id:TEXT,vendor.id:TEXT
1,4217002,4217002#eBags
2,5347115,5347115#eBags
3,8245516,8245516#eBags
4,8586825,8586825#eBags
5,9193948,9193948#eBags
6,3377768,3377768#eBags
7,4217014,4217014#eBags
8,9447294,9447294#eBags
9,3356833,3356833#eBags
10,3377763,3377763#eBags
11,3377767,3377767#eBags
12,3356835,3356835#eBags
13,8586819,8586819#eBags
14,9225287,9225287#eBags
15,9225291,9225291#eBags
16,8586826,8586826#eBags
17,9225276,9225276#eBags
18,4805973,4805973#eBags
19,9225280,9225280#eBags
20,9225292,9225292#eBags
21,4216995,4216995#eBags
22,9875796,9875796#eBags
23,9225273,9225273#eBags
24,9225293,9225293#eBags
25,3356836,3356836#eBags
26,3371668,3371668#eBags
27,4217000,4217000#eBags
28,8586822,8586822#eBags
29,9225274,9225274#eBags
30,4217003,4217003#eBags
31,9225275,9225275#eBags
32,3985006,3985006#eBags
33,3356838,3356838#eBags
34,5996481,5996481#eBags
35,5996470,5996470#eBags
36,9863777,9863777#eBags
37,9225288,9225288#eBags
38,3356840,3356840#eBags
39,9208106,9208106#eBags
40,9225277,9225277#eBags
41,9722003,9722003#eBags
42,10073803,10073803#eBags
43,10910315,10910315#eBags
44,11068335,11068335#eBags
45,11082496,11082496#eBags
46,11084238,11084238#eBags
47,11988059,11988059#eBags
48,11988076,11988076#eBags
49,11997515,11997515#eBags
50,12180028,12180028#eBags
51,12180070,12180070#eBags
52,12180103,12180103#eBags
53,12181608,12181608#eBags
54,12181609,12181609#eBags
55,12181620,12181620#eBags
56,12181700,12181700#eBags
57,12181705,12181705#eBags
58,12182239,12182239#eBags
59,12182374,12182374#eBags
60,12182400,12182400#eBags
61,12182846,12182846#eBags
62,12183204,12183204#eBags
63,932031,932031#Limited Goods
64,1234894,1234894#Limited Goods
65,3756896,3756896#Limited Goods
66,4025874,4025874#Limited Goods
67,7754443,7754443#Limited Goods
68,9189660,9189660#Limited Goods
69,9225261,9225261#Limited Goods
70,9871188,9871188#Limited Goods
71,12184525,12184525#eBags
72,12184565,12184565#eBags
73,872051,872051#ivgStores
74,2585639,2585639#ivgStores
75,3387612,3387612#ivgStores
76,3576485,3576485#ivgStores
77,12186203,12186203#eBags
78,12186211,12186211#eBags
79,12186335,12186335#eBags
80,4664464,4664464#ivgStores
81,5723587,5723587#ivgStores
82,12187451,12187451#eBags
83,12187705,12187705#eBags
84,12187816,12187816#eBags
85,12187871,12187871#eBags
86,12342530,12342530#eBags
87,12343007,12343007#eBags
88,12343021,12343021#eBags
89,9225253,9225253#ivgStores
90,2445355,2445355#ivgStores
91,2585638,2585638#ivgStores
92,2685981,2685981#ivgStores
93,17771102,17771102#Babyhaven
94,12360588,12360588#eBags
95,12361423,12361423#eBags
96,7964947,7964947#ivgStores
97,7964948,7964948#ivgStores
98,12444923,12444923#eBags
99,1233539,1233539#ivgStores
100,2160472,2160472#ivgStores
101,12509863,12509863#eBags
102,2470635,2470635#ivgStores
103,2470642,2470642#ivgStores
104,2585627,2585627#ivgStores
105,12528315,12528315#eBags
106,3321417,3321417#ivgStores
107,29829040,29829040#Perf-Moto
108,12548329,12548329#eBags
109,15010243,15010243#Babyhaven
110,13045149,13045149#eBags
111,13050315,13050315#eBags
112,8154370,8154370#ivgStores
114,13219542,13219542#eBags
115,13219580,13219580#eBags
116,13219589,13219589#eBags
117,13219595,13219595#eBags
118,9893700,9893700#ivgStores
119,13241061,13241061#eBags
120,1233548,1233548#ivgStores
121,13246663,13246663#eBags
122,13246664,13246664#eBags
123,13248342,13248342#eBags
124,13252811,13252811#eBags
125,13730097,13730097#eBags
126,13730100,13730100#eBags
127,13812840,13812840#eBags
128,5934005,5934005#ivgStores
129,13983018,13983018#eBags
130,8111422,8111422#ivgStores
131,8144079,8144079#ivgStores
132,14118875,14118875#eBags
133,8144086,8144086#ivgStores
134,14178205,14178205#eBags
135,14313307,14313307#eBags
136,14574778,14574778#eBags
137,14644597,14644597#eBags
138,932034,932034#ivgStores
139,2470128,2470128#ivgStores
140,14664902,14664902#eBags
141,3576486,3576486#ivgStores
142,3630474,3630474#ivgStores
143,14967560,14967560#eBags
144,14978725,14978725#eBags
145,15040735,15040735#eBags
146,15040761,15040761#eBags
147,15042368,15042368#eBags
148,15042380,15042380#eBags
149,15062939,15062939#eBags
150,5799655,5799655#ivgStores
151,15062963,15062963#eBags
152,15111419,15111419#eBags
153,15172512,15172512#eBags
154,8136492,8136492#ivgStores
155,15406802,15406802#eBags
156,15421546,15421546#eBags
157,15522312,15522312#eBags
158,15524252,15524252#eBags
159,15524257,15524257#eBags
160,15525124,15525124#eBags
161,9907221,9907221#ivgStores
162,15525125,15525125#eBags
163,9919109,9919109#ivgStores
164,15539671,15539671#eBags
165,1043457,1043457#ivgStores
166,2470713,2470713#ivgStores
167,2470838,2470838#ivgStores
168,15571944,15571944#eBags
169,15580523,15580523#eBags
170,15580580,15580580#eBags
171,15637114,15637114#eBags
172,15637124,15637124#eBags
173,7754471,7754471#ivgStores
174,15716918,15716918#eBags
175,15722364,15722364#eBags
176,15722382,15722382#eBags
177,932031,932031#ivgStores
178,2193980,2193980#ivgStores
179,16225401,16225401#eBags
180,16225405,16225405#eBags
181,16332634,16332634#eBags
182,3576511,3576511#ivgStores
183,16332658,16332658#eBags
184,16530330,16530330#eBags
185,16541537,16541537#eBags
186,16541545,16541545#eBags
187,16550056,16550056#eBags
188,16561673,16561673#eBags
189,16561688,16561688#eBags
190,16561711,16561711#eBags
191,16561787,16561787#eBags
192,16565533,16565533#eBags
193,16636672,16636672#eBags
194,5799656,5799656#ivgStores
195,5924809,5924809#ivgStores
196,16641283,16641283#eBags
197,16641285,16641285#eBags
198,16641310,16641310#eBags
199,16660595,16660595#eBags
200,16660597,16660597#eBags
201,16660704,16660704#eBags
202,870855,870855#ivgStores
203,870864,870864#ivgStores
204,1234888,1234888#ivgStores
205,16792219,16792219#eBags
206,16794871,16794871#eBags
207,16794882,16794882#eBags
208,16914020,16914020#eBags
209,16927127,16927127#eBags
210,16954485,16954485#eBags
211,17129629,17129629#eBags
212,17129650,17129650#eBags
213,17134142,17134142#eBags
214,17182015,17182015#eBags
215,17182017,17182017#eBags
216,5723581,5723581#ivgStores
217,17182073,17182073#eBags
218,17211233,17211233#eBags
219,17211257,17211257#eBags
220,6958528,6958528#ivgStores
221,8223017,8223017#ivgStores
222,8223021,8223021#ivgStores
223,8399430,8399430#ivgStores
224,17277037,17277037#eBags
225,9917038,9917038#ivgStores
226,872063,872063#ivgStores
227,872077,872077#ivgStores
228,1234849,1234849#ivgStores
229,2160471,2160471#ivgStores
230,17350676,17350676#eBags
231,17352778,17352778#eBags
232,2585626,2585626#ivgStores
233,17395983,17395983#eBags
234,17396012,17396012#eBags
235,5065210,5065210#ivgStores
236,17510991,17510991#eBags
237,8725133,8725133#ivgStores
238,9189612,9189612#ivgStores
239,9225259,9225259#ivgStores
240,17811882,17811882#eBags
241,9225260,9225260#ivgStores
242,19201326,19201326#eBags
243,870854,870854#ivgStores
244,1679172,1679172#ivgStores
245,19236954,19236954#eBags
246,19236956,19236956#eBags
247,2553353,2553353#ivgStores
248,39952262,39952262#Babyhaven
249,19325556,19325556#eBags
250,19341638,19341638#eBags
251,19341643,19341643#eBags
252,19400594,19400594#eBags
253,8223018,8223018#ivgStores
254,8223022,8223022#ivgStores
255,9917036,9917036#ivgStores
256,1234893,1234893#ivgStores
257,19486741,19486741#eBags
258,19486754,19486754#eBags
259,2685980,2685980#ivgStores
260,3136048,3136048#ivgStores
261,3356821,3356821#ivgStores
262,3576512,3576512#ivgStores
263,19500426,19500426#eBags
264,19500505,19500505#eBags
265,19502565,19502565#eBags
266,19502570,19502570#eBags
267,19502578,19502578#eBags
268,19519692,19519692#eBags
269,19519718,19519718#eBags
270,19581629,19581629#eBags
271,19581641,19581641#eBags
272,19581643,19581643#eBags
273,39810122,39810122#Babyhaven
274,19647530,19647530#eBags
275,19691395,19691395#eBags
276,9193942,9193942#ivgStores
277,9893707,9893707#ivgStores
278,9917035,9917035#ivgStores
279,19858304,19858304#eBags
280,10073781,10073781#eBags
281,10073789,10073789#eBags
282,10603587,10603587#eBags
