@info
{
    "table":{
        "name":"candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"wgec_el_30k",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT
1,215471,215471#Walmart.com
2,216573,216573#Walmart.com
3,248280,248280#Walmart.com
4,249673,249673#Walmart.com
5,272168,272168#Walmart.com
6,283430,283430#Walmart.com
7,312235,312235#Walmart.com
8,320179,320179#Walmart.com
9,320246,320246#Walmart.com
10,354366,354366#Walmart.com
11,375443,375443#Walmart.com
12,379254,379254#Walmart.com
13,405487,405487#Walmart.com
14,453694,453694#Walmart.com
15,454695,454695#Walmart.com
16,468887,468887#Walmart.com
17,481771,481771#Walmart.com
18,491627,491627#Walmart.com
19,496626,496626#Walmart.com
20,501402,501402#Walmart.com
21,518860,518860#Walmart.com
22,519343,519343#Walmart.com
23,521175,521175#Walmart.com
24,532132,532132#Walmart.com
25,538351,538351#Walmart.com
26,538798,538798#Walmart.com
27,567718,567718#Walmart.com
28,568906,568906#Walmart.com
29,575290,575290#Walmart.com
30,582680,582680#Walmart.com
31,599768,599768#Walmart.com
32,619990,619990#Walmart.com
33,621665,621665#Walmart.com
34,623000,623000#Walmart.com
35,630079,630079#Walmart.com
36,638215,638215#Walmart.com
37,639034,639034#Walmart.com
38,665138,665138#Walmart.com
39,670654,670654#Walmart.com
40,676261,676261#Walmart.com
41,700450,700450#Walmart.com
42,722766,722766#Walmart.com
43,757755,757755#Walmart.com
44,784164,784164#Walmart.com
45,799511,799511#Walmart.com
46,809812,809812#Walmart.com
47,830513,830513#Walmart.com
48,830813,830813#Walmart.com
49,831793,831793#Walmart.com
50,836251,836251#Walmart.com
51,841542,841542#Walmart.com
52,845358,845358#Walmart.com
53,849492,849492#Walmart.com
54,853594,853594#Walmart.com
55,853794,853794#Walmart.com
56,857458,857458#Walmart.com
57,864453,864453#Walmart.com
58,865798,865798#Walmart.com
59,870826,870826#Walmart.com
60,870856,870856#Walmart.com
61,870864,870864#Walmart.com
62,872067,872067#Walmart.com
63,891703,891703#Walmart.com
64,908068,908068#Walmart.com
65,922880,922880#Walmart.com
66,929157,929157#Walmart.com
67,931998,931998#Walmart.com
68,202896,202896#Walmart.com
69,214690,214690#Walmart.com
70,223050,223050#Walmart.com
71,238588,238588#Walmart.com
72,238642,238642#Walmart.com
73,245478,245478#Walmart.com
74,283666,283666#Walmart.com
