@info
{
    "table":{
        "name":"testClean",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"wgec_el_30k",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT,label:INTEGER
30000,3985002,3985002#eBags,1
30001,4217002,4217002#eBags,1
30002,5347115,5347115#eBags,1
30003,8245516,8245516#eBags,1
30004,8586825,8586825#eBags,1
30005,9193948,9193948#eBags,1
30006,3377768,3377768#eBags,1
30007,4217013,4217013#eBags,1
30008,4217014,4217014#eBags,1
30009,9447294,9447294#eBags,1
30010,3356833,3356833#eBags,1
30011,3377763,3377763#eBags,1
30012,3377767,3377767#eBags,1
30013,3356835,3356835#eBags,1
30014,8586819,8586819#eBags,1
30015,8829633,8829633#eBags,1
30016,9225287,9225287#eBags,1
30017,9225291,9225291#eBags,1
30018,8586826,8586826#eBags,1
30019,9225276,9225276#eBags,1
30020,4805973,4805973#eBags,1
30021,9225280,9225280#eBags,1
30022,9225292,9225292#eBags,1
30023,4216995,4216995#eBags,1
30024,9875796,9875796#eBags,1
30025,9225273,9225273#eBags,1
30026,9225293,9225293#eBags,1
30027,3356836,3356836#eBags,1
30028,3371668,3371668#eBags,1
30029,4217000,4217000#eBags,1
30030,8586822,8586822#eBags,1
30031,9225274,9225274#eBags,1
30032,4217003,4217003#eBags,1
30033,8586821,8586821#eBags,1
30034,9225275,9225275#eBags,1
30035,9225289,9225289#eBags,1
30036,3985006,3985006#eBags,1
30037,3356838,3356838#eBags,1
30038,5996481,5996481#eBags,1
30039,9721996,9721996#eBags,1
30040,5996470,5996470#eBags,1
30041,9863777,9863777#eBags,1
30042,4217012,4217012#eBags,1
30043,9225288,9225288#eBags,1
30044,3356832,3356832#eBags,1
30045,3356840,3356840#eBags,1
30046,9208106,9208106#eBags,1
30047,9225277,9225277#eBags,1
30048,9722003,9722003#eBags,1
30049,10073803,10073803#eBags,1
30050,10910315,10910315#eBags,1
30051,11068335,11068335#eBags,1
30052,11082496,11082496#eBags,1
30053,11084238,11084238#eBags,1
30054,11988059,11988059#eBags,1
30055,11988076,11988076#eBags,1
30056,11997515,11997515#eBags,1
30057,12179434,12179434#eBags,1
30058,12180028,12180028#eBags,1
30059,12180070,12180070#eBags,1
30060,12180103,12180103#eBags,1
30061,12181608,12181608#eBags,1
30062,12181609,12181609#eBags,1
30063,12181620,12181620#eBags,1
30064,12181700,12181700#eBags,1
30065,12181705,12181705#eBags,1
30066,15010242,15010242#Babyhaven,1
30067,12182239,12182239#eBags,1
30068,12182374,12182374#eBags,1
30069,12182400,12182400#eBags,1
30070,12182846,12182846#eBags,1
30071,12183204,12183204#eBags,1
30072,932031,932031#Limited Goods,1
30073,1234894,1234894#Limited Goods,1
30074,2470128,2470128#Limited Goods,1
30075,3756896,3756896#Limited Goods,1
30076,4025874,4025874#Limited Goods,1
30077,5871514,5871514#Limited Goods,1
30078,7080511,7080511#Limited Goods,1
30079,7754443,7754443#Limited Goods,1
30080,9189660,9189660#Limited Goods,1
30081,9225261,9225261#Limited Goods,1
30082,9871188,9871188#Limited Goods,1
30083,12184525,12184525#eBags,1
30084,12184565,12184565#eBags,1
30085,872051,872051#ivgStores,1
30086,2585639,2585639#ivgStores,1
30087,3387612,3387612#ivgStores,1
30088,3576485,3576485#ivgStores,1
30089,12186203,12186203#eBags,1
30090,12186211,12186211#eBags,1
30091,12186335,12186335#eBags,1
30092,4664464,4664464#ivgStores,1
30093,5723587,5723587#ivgStores,1
30094,12187451,12187451#eBags,1
30095,12187705,12187705#eBags,1
30096,12187816,12187816#eBags,1
30097,12187871,12187871#eBags,1
30098,12323715,12323715#eBags,1
30099,12342530,12342530#eBags,1
30100,12343007,12343007#eBags,1
30101,12343021,12343021#eBags,1
30102,9225253,9225253#ivgStores,1
30103,9447127,9447127#ivgStores,1
30104,2445355,2445355#ivgStores,1
30105,2585638,2585638#ivgStores,1
30106,2685981,2685981#ivgStores,1
30107,17771102,17771102#Babyhaven,1
30108,12360588,12360588#eBags,1
30109,4172357,4172357#ivgStores,1
30110,12361423,12361423#eBags,1
30111,12361427,12361427#eBags,1
30112,7964947,7964947#ivgStores,1
30113,7964948,7964948#ivgStores,1
30114,12444923,12444923#eBags,1
30115,872052,872052#ivgStores,1
30116,1233539,1233539#ivgStores,1
30117,2160472,2160472#ivgStores,1
30118,15010234,15010234#Babyhaven,1
30119,12509863,12509863#eBags,1
30120,2470635,2470635#ivgStores,1
30121,2470642,2470642#ivgStores,1
30122,2585627,2585627#ivgStores,1
30123,2685988,2685988#ivgStores,1
30124,12528315,12528315#eBags,1
30125,3321417,3321417#ivgStores,1
30126,3630469,3630469#ivgStores,1
30127,29829040,29829040#Perf-Moto,1
30128,12548329,12548329#eBags,1
30129,29829781,29829781#Perf-Moto,1
30130,15010243,15010243#Babyhaven,1
30131,13045149,13045149#eBags,1
30132,13050315,13050315#eBags,1
30133,8154370,8154370#ivgStores,1
30135,13219542,13219542#eBags,1
30136,13219580,13219580#eBags,1
30137,13219589,13219589#eBags,1
30138,13219595,13219595#eBags,1
30139,9893700,9893700#ivgStores,1
30140,13241002,13241002#eBags,1
30141,13241061,13241061#eBags,1
30142,1233548,1233548#ivgStores,1
30143,13246663,13246663#eBags,1
30144,13246664,13246664#eBags,1
30145,2585647,2585647#ivgStores,1
30146,13248342,13248342#eBags,1
30147,13252811,13252811#eBags,1
30148,4404164,4404164#ivgStores,1
30149,13376604,13376604#eBags,1
30150,13730097,13730097#eBags,1
30151,13730100,13730100#eBags,1
30152,13812840,13812840#eBags,1
30153,5799661,5799661#ivgStores,1
30154,5934005,5934005#ivgStores,1
30155,13983018,13983018#eBags,1
30156,8111422,8111422#ivgStores,1
30157,8144079,8144079#ivgStores,1
30158,14118875,14118875#eBags,1
30159,8144086,8144086#ivgStores,1
30160,14178205,14178205#eBags,1
30161,14313307,14313307#eBags,1
30162,14574778,14574778#eBags,1
30163,14644597,14644597#eBags,1
30164,932034,932034#ivgStores,1
30165,2470128,2470128#ivgStores,1
30166,14664902,14664902#eBags,1
30167,14698031,14698031#eBags,1
30168,14698043,14698043#eBags,1
30169,3576486,3576486#ivgStores,1
30170,3630474,3630474#ivgStores,1
30171,14967560,14967560#eBags,1
30172,14978725,14978725#eBags,1
30173,15040735,15040735#eBags,1
30174,15040761,15040761#eBags,1
30175,15042368,15042368#eBags,1
30176,15042380,15042380#eBags,1
30177,15062939,15062939#eBags,1
30178,5799655,5799655#ivgStores,1
30179,15062963,15062963#eBags,1
30180,15111419,15111419#eBags,1
30181,15172512,15172512#eBags,1
30182,8136492,8136492#ivgStores,1
30183,8154406,8154406#ivgStores,1
30184,15406802,15406802#eBags,1
30185,15421546,15421546#eBags,1
30186,15442717,15442717#eBags,1
30187,15522312,15522312#eBags,1
30188,29837780,29837780#Perf-Moto,1
30189,15524252,15524252#eBags,1
30190,15524257,15524257#eBags,1
