@info
{
    "table":{
        "name":"train1K",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"wgec_el_30k",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT,label:INTEGER
17603,9875794,9875794#UnbeatableSale.com,1
6572,41192594,41192594#TEKENVY,1
5,272168,272168#Walmart.com,1
4406,41459375,41459375#TEKENVY,1
17607,3167616,3167616#UnbeatableSale.com,1
23905,22213187,22213188#eBags,0
26281,20575042,20575037#eBags,0
13148,16817382,16817382#Shoplet,1
2196,41053701,41053701#US Micro,1
10997,17129088,17129088#Circuit City,1
19542,22293091,22293092#eBags,0
4385,41367068,41367068#TEKENVY,1
6584,13215169,13215169#Music123,1
23929,22351376,22254152#eBags,0
2187,40605316,40605316#US Micro,1
13127,25185716,25185716#Tech For Less Inc,1
6577,41192714,41192714#TEKENVY,1
19583,22585604,22585606#eBags,0
21976,31027106,23859900#eBags,0
2228,41177296,41177296#US Micro,1
6532,41183254,41183254#TEKENVY,1
4353,41261159,41261159#TEKENVY,1
8785,40985986,40985986#TEKENVY,1
13159,22251475,22251475#Tech For Less Inc,1
21956,23859635,23859633#eBags,0
13156,21345644,21345644#Tech For Less Inc,1
28173,16541898,24232289#eBags,0
8794,40986198,40986198#TEKENVY,1
26264,29732922,29732925#eBags,0
19553,22351288,22351287#eBags,0
4367,41269510,41269510#TEKENVY,1
15350,40501134,40501134#Monoprice Inc,1
28164,24008053,24008004#eBags,0
13077,24076822,24076822#Tech For Less Inc,1
17543,872053,872053#UnbeatableSale.com,1
26343,27512151,21128603#eBags,0
13079,25490703,25490703#Tech For Less Inc,1
6639,41194031,41194031#TEKENVY,1
8737,40984798,40984798#TEKENVY,1
6635,41193941,41193941#TEKENVY,1
76,309909,309909#Walmart.com,1
8744,40984974,40984974#TEKENVY,1
13083,26096294,26096294#Tech For Less Inc,1
8758,40985188,40985188#TEKENVY,1
2251,41286257,41286257#US Micro,1
10916,15410642,15410642#Circuit City,1
23822,21711946,21711984#eBags,0
19518,22286253,22286254#eBags,0
23821,21711945,21711984#eBags,0
13108,26464394,26464394#Tech For Less Inc,1
10906,15140336,15140336#Circuit City,1
28246,26094289,26090796#eBags,0
10903,15105368,15105368#Circuit City,1
4442,41493900,41493900#TEKENVY,1
28238,26010232,26010234#eBags,0
23839,21811806,21811816#eBags,0
4421,41493461,41493461#TEKENVY,1
10890,14927362,14927362#Circuit City,1
112,774643,774643#Walmart.com,1
15287,17480511,17480511#Shoplet,1
10886,14916395,14916395#Circuit City,1
17595,7754462,7754462#UnbeatableSale.com,1
17593,626758,626758#Walmart.com,1
26159,27347261,25296091#eBags,0
10870,14235399,14235399#Circuit City,1
24040,22576763,22584804#eBags,0
21873,22572710,22570052#eBags,0
15178,15993997,15993997#Shoplet,1
133,913614,913614#Walmart.com,1
10878,27948746,27948746#Music123,1
28351,42509074,42570355#Trend Nation LLC,0
21865,22398271,22400806#eBags,0
24048,22627458,22627456#eBags,0
28327,28988411,28966961#eBags,0
8944,41032446,41032446#TEKENVY,1
17495,5799657,5799657#UnbeatableSale.com,1
24062,29996214,29850324#Perf-Moto,0
2063,42523522,42523522#US Micro,1
8905,41031711,41031711#TEKENVY,1
17519,518786,518786#Walmart.com,1
24007,22291031,22291004#eBags,0
6406,41031133,41031133#TEKENVY,1
4500,42557441,42557441#TEKENVY,1
6422,41031572,41031572#TEKENVY,1
21837,37419609,22294146#eBags,0
21836,22292703,22292688#eBags,0
19691,35841883,24305948#eBags,0
2088,40605300,40605300#US Micro,1
21825,22290879,22290861#eBags,0
8918,41031899,41031899#TEKENVY,1
8919,41031985,41031985#TEKENVY,1
21820,22287395,22287921#eBags,0
2133,41177469,41177469#US Micro,1
19606,22398300,22627459#eBags,0
4607,42614243,42614243#TEKENVY,1
8878,41030713,41030713#TEKENVY,1
26216,12180076,27512116#eBags,0
10802,13056956,13056956#Circuit City,1
13204,24182887,24182887#Tech For Less Inc,1
2143,41177586,41177586#US Micro,1
21809,22286658,22286651#eBags,0
192,16422789,16422789#Tonzof,1
195,480809,480809#Walmart.com,1
15115,15079083,15079083#Shoplet,1
13196,17292437,17292437#Shoplet,1
28388,12184523,33120329#eBags,0
6517,41182575,41182575#TEKENVY,1
17439,3371536,3371536#UnbeatableSale.com,1
26235,28414907,28414906#eBags,0
8891,41031445,41031445#TEKENVY,1
23998,22289817,22289831#eBags,0
4577,42558832,42558832#TEKENVY,1
26226,21128586,27512340#eBags,0
211,15994000,15994000#Bic Warehouse,1
26190,26990295,26990296#eBags,0
13245,28875772,28875772#Tech For Less Inc,1
26186,26989468,26989461#eBags,0
234,42964854,42964854#O.co,1
28371,31027100,31027098#eBags,0
8838,40987390,40987390#TEKENVY,1
17447,4858245,4858245#UnbeatableSale.com,1
28381,31031434,31031437#eBags,0
28378,31030077,31030081#eBags,0
6472,41032561,41032561#TEKENVY,1
19621,22789222,22789212#eBags,0
252,42967214,42967214#O.co,1
6484,41181974,41181974#TEKENVY,1
245,16606780,16606780#Tonzof,1
28360,30648349,30648201#eBags,0
17456,7080509,7080509#UnbeatableSale.com,1
11243,14915827,14915827#Circuit City,1
2443,41177567,41177567#US Micro,1
4133,41194657,41194657#TEKENVY,1
26548,22286228,22286235#eBags,0
4138,41194744,41194744#TEKENVY,1
284,15993998,15993998#Bic Warehouse,1
23659,20746126,20746132#eBags,0
28479,35843697,35843699#eBags,0
12886,15730036,15730036#Tech For Less Inc,1
11263,15111285,15111285#Circuit City,1
15053,666003,666003#Walmart.com,1
