@info
{
    "table":{
        "name":"candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"wgec_home_garden",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT
1,3159,3159#Walmart.com
2,3354,3354#Walmart.com
3,3977,3977#Walmart.com
4,190841,190841#Walmart.com
5,205620,205620#Walmart.com
6,205967,205967#Walmart.com
7,206732,206732#Walmart.com
8,209869,209869#Walmart.com
9,211534,211534#Walmart.com
10,212641,212641#Walmart.com
11,213926,213926#Walmart.com
12,215561,215561#Walmart.com
13,223440,223440#Walmart.com
14,226175,226175#Walmart.com
15,228743,228743#Walmart.com
16,229563,229563#Walmart.com
17,229584,229584#Walmart.com
18,230169,230169#Walmart.com
19,236972,236972#Walmart.com
20,238178,238178#Walmart.com
21,238355,238355#Walmart.com
22,240426,240426#Walmart.com
23,245764,245764#Walmart.com
24,248308,248308#Walmart.com
25,248344,248344#Walmart.com
26,250613,250613#Walmart.com
27,250872,250872#Walmart.com
28,254632,254632#Walmart.com
29,254740,254740#Walmart.com
30,256897,256897#Walmart.com
31,265077,265077#Walmart.com
32,275473,275473#Walmart.com
33,278865,278865#Walmart.com
34,283228,283228#Walmart.com
35,283238,283238#Walmart.com
36,283515,283515#Walmart.com
37,283549,283549#Walmart.com
38,283609,283609#Walmart.com
39,284026,284026#Walmart.com
40,286716,286716#Walmart.com
41,291333,291333#Walmart.com
42,304187,304187#Walmart.com
43,304883,304883#Walmart.com
44,308764,308764#Walmart.com
45,309369,309369#Walmart.com
46,311877,311877#Walmart.com
47,318601,318601#Walmart.com
48,322533,322533#Walmart.com
49,326685,326685#Walmart.com
50,326877,326877#Walmart.com
51,330108,330108#Walmart.com
52,338382,338382#Walmart.com
53,339566,339566#Walmart.com
54,346575,346575#Walmart.com
55,348648,348648#Walmart.com
56,351872,351872#Walmart.com
57,364458,364458#Walmart.com
58,364489,364489#Walmart.com
59,364747,364747#Walmart.com
60,368293,368293#Walmart.com
61,368395,368395#Walmart.com
62,368774,368774#Walmart.com
63,369114,369114#Walmart.com
64,369259,369259#Walmart.com
65,369854,369854#Walmart.com
66,370848,370848#Walmart.com
67,370912,370912#Walmart.com
68,371233,371233#Walmart.com
69,371264,371264#Walmart.com
70,371950,371950#Walmart.com
71,372588,372588#Walmart.com
72,373163,373163#Walmart.com
73,375006,375006#Walmart.com
74,376742,376742#Walmart.com
75,376829,376829#Walmart.com
76,377727,377727#Walmart.com
77,378480,378480#Walmart.com
78,378504,378504#Walmart.com
79,378871,378871#Walmart.com
80,378883,378883#Walmart.com
